coverage_key	family	candidate_index	x	y	z_hint	min_z	max_z	local_x	local_y
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	1	115568	13868	988	888	1088	115584	13868
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	2	115650	13830	988	888	1088	115666	13830
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	3	115649	13662	988	888	1088	115665	13662
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	4	115430	13570	988	888	1088	115446	13570
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	5	115746	13941	988	888	1088	115762	13941
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	6	115868	13754	988	888	1088	115884	13754
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	7	115487	14074	988	888	1088	115503	14074
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	8	115624	14128	988	888	1088	115640	14128
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	9	115390	13795	988	888	1088	115406	13795
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TOWER_OF_INSOLENCE	10	115350	14020	988	888	1088	115366	14020
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	1	112925	17804	996	896	1096	112941	17804
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	2	112864	17856	996	896	1096	112880	17856
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	3	112794	17666	996	896	1096	112810	17666
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	4	112624	17774	996	896	1096	112640	17774
