connector_id	validation_status	path_length	path_segments	required_buffer	max_pathfind_buffer	door_intersections	fence_intersections	door_ids	fence_names	collision_proof
content.bridge.05a6147f670da3c185394dc2	VALID_PATH	2617	29	276	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.4e8cd7fb9ce1ec7a80ed76de	NO_PATH_WITHIN_BUFFER	0	0	292	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.58359de1e16c654c25fcb9d3	NO_PATH_WITHIN_BUFFER	0	0	418	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.2fc5a1b3db79700df9602bec	VALID_PATH	5462	69	486	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.529d1e76c50e5e68689b64b4	VALID_PATH	5347	73	452	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.bf7c4e1c6a75f1651b2b237e	NO_PATH_WITHIN_BUFFER	0	0	492	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.09340ef69b4f542ba77d7fae	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	578	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.d014c26e4a42b98c19b3a68f	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	616	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.8b1ab1f6ebb91cc585ff9682	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	526	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.57ff3c359cc089222418e2b7	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	516	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.9eba1a5ceb000c5111ed8300	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	616	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.9752eb3204fb2aca68cf9238	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	688	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.0eddabe1b5b37228fa854511	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	596	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.bd220a049b05beef4e9a4ada	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	762	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.48688b7de7a0a794ece0109f	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	780	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.02060ba002734a5ee4a2669d	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	730	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.eabadd2436f77f44d84b22cc	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	634	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.0f9acb4ba51e0c6fff886585	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	640	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.cb1d8ab4533b255ff7482aa6	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	790	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.d0388525fb4591e2d8b92118	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	620	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.6e0098de9a7625fcd74ce7d4	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	854	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.cab27390fe35b3a8aebfb651	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	862	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1704ef132cac163cf12b0d89	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	874	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.45b039508dc2efe9c2797067	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	790	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.952c499c67e1d5dcdb6da604	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	832	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1cf36e76fa399601ff3758c7	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	712	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.890473a93226c4a1e070cc35	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	790	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f9a1c5b583509d4d873a0453	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	706	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.6fb201db17f1bb1c975fa7b7	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	902	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.829cd4b98fe126a8350c4586	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	854	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.b9bd5d80b1bbaa0acc474309	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	966	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.b90ae114f3b4995a28264f90	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	792	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.14fc72e2258073fdc8b5a23b	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	982	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.7e610ff161df57e198ebca4d	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	990	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.7158f5d453a3f9f1bb792ea1	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	836	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.b7a61853717b0c3e2158393b	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	902	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.734e47abf80bdf1db2f66002	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	752	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f6063bf3a69cf3dd1060f5bb	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	788	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.83e12604ff8c261de047ef2b	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	962	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.3d41d2ee9b674427e850e8e2	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1006	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.9b485544ebddb3ddd79d35cd	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1068	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.d0ec9b477a94882ab04050eb	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1060	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1ac8d4a5bc63f84eb128d422	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1080	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.20fd72ed700df1d37c68f06c	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1066	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.271d6465aee8370f36c53883	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	904	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.48ef4687d9dae42be1bbcd55	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	992	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.572c150d2202743f086c6ccc	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	850	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.ab13588f9f1f9ad5752b9d44	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	948	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1f1e7997dc4acfba1d2378d2	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1100	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.092618f20fabe558a0029379	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1062	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.31280df98ce87d345e54a9d0	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1180	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.958501ee0385a9d3d8d94ce1	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1152	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.52e7ad1a5d36643c5ab8c7a3	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1240	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.4e464e825c42f2717c418f19	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1142	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.0712c650a7b39045569974e6	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1142	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.e9e1946c50eedba935207c3c	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1282	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.c7889301aeb44c0d4ea9a7cb	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1320	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.a55135d7942dccd20df70743	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1344	500	0	0	[]	[]	STATIC_XML_CLEAR
