connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.bridge.fdd9a823d96f12d7bb8b075f	50083	210401	-3728	0	49816	210366	-2704	0
content.bridge.7ef93a906dafe9552270ab6c	50083	210401	-3728	0	50862	210942	-2904	0
content.bridge.aae0a92dcdf79dd7cb7b5033	46584	210594	-3592	0	45799	209611	-3592	0
content.bridge.d85b5f49bd64a53a19abcf38	50083	210401	-3728	0	49849	211615	-3224	0
content.bridge.690d59680fc5c95a86b77ee0	50083	210401	-3728	0	50879	209960	-2704	0
content.bridge.5865ef2f5e74f283292b8b9a	45837	214210	-3752	0	45315	215591	-3904	0
content.bridge.d3bd3ba809ce8407e27cc89b	45875	211773	-3640	0	47437	211609	-3592	0
content.bridge.b723b4dc0c73776e73eeb7f6	50083	210401	-3728	0	50882	211620	-3024	0
content.bridge.9fb29527c1933987256f0a7a	45797	213402	-3752	0	44231	212510	-3712	0
content.bridge.76cd25514050ede0b9c3209d	50083	210401	-3728	0	49081	211948	-3344	0
content.bridge.98df7f72859705343b1a626b	48448	208626	-3552	0	50127	208268	-2704	0
content.bridge.37203c20ec54c8f858983d37	50083	210401	-3728	0	51604	209960	-2608	0
content.bridge.bf7d4bd569171c1a20e0e003	45837	214210	-3752	0	46777	215933	-3752	0
content.bridge.f3542fed60be243e0e39936f	45837	214210	-3752	0	45282	216235	-3904	0
content.bridge.eeb50eca267e992a89a4ba7a	50083	210401	-3728	0	50260	212504	-3344	0
content.bridge.86125c8ae095222cabc01909	50083	210401	-3728	0	51929	211263	-3024	0
content.bridge.2cd9d4ad85ca6ef5e0b9b608	45875	211773	-3640	0	47894	212506	-3344	0
content.bridge.8e050ce8d21e7cdf3a941b1f	45837	214210	-3752	0	43852	215115	-3904	0
content.bridge.e99d1573eedb33d29ade0b74	45797	213402	-3752	0	43614	213590	-3712	0
content.bridge.c45858b11f8d4996fdb38f20	45837	214210	-3752	0	47964	213774	-3424	0
content.bridge.582aad64ff9a8e967f71af40	45666	212569	-3752	0	43274	212660	-3712	0
content.bridge.ca909061b0ae27aba915cc19	50083	210401	-3728	0	52220	210994	-2464	0
content.bridge.acf9a3a6a0767b0e8fc0a1f4	50083	210401	-3728	0	51592	212516	-3344	0
content.bridge.3f760bd3e845fdd49d5c3718	45837	214210	-3752	0	43156	214305	-3688	0
content.bridge.abc704b4f5ebe6ff66932fcc	45875	211773	-3640	0	43593	210299	-3712	0
content.bridge.9c44eb0223a10c3f2c5e3205	50083	210401	-3728	0	52593	209968	-2464	0
content.bridge.06014400a54ca1b778f7901f	50083	210401	-3728	0	52379	212080	-3344	0
content.bridge.7d1c9dadb1118ed2f489338f	50083	210401	-3728	0	52226	208922	-2464	0
content.bridge.2d6c3cbe9a3b2ec2e6116bda	45837	214210	-3752	0	43854	216418	-3904	0
content.bridge.02e07730cd73fa9b44bffffd	45837	214210	-3752	0	45333	217147	-3920	0
content.bridge.64205f867d8d689993851402	45837	214210	-3752	0	48277	216069	-3584	0
content.bridge.4985421651231ac4022c4032	50083	210401	-3728	0	49082	213336	-3424	0
content.bridge.fd7aaf81c09701b52683f5ae	45666	212569	-3752	0	42715	211504	-3712	0
content.bridge.89cd1f589c90dc51535099e0	45837	214210	-3752	0	49082	214093	-3424	0
content.bridge.224385c7f91c13238aec5773	45837	214210	-3752	0	49086	214498	-3504	0
content.bridge.51a7c577bc0967a6640a8ab7	49528	207404	-3592	0	52149	205402	-3880	0
content.bridge.927882ec46d8c4111f2d9760	50083	210401	-3728	0	50114	213785	-3364	0
content.bridge.042fd1c16475f6504d750b5a	50035	208692	-3728	0	51413	205551	-4000	0
content.bridge.6ab3ef5b03d06e03cdc8adff	45837	214210	-3752	0	46743	217545	-3752	0
