connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.edge.003b6da1edc85f68f7a3f322	146485	85380	-5424	0	148000	87254	-5424	0
content.edge.00a0b4515b3ffd223bc2b0f1	115931	17350	-3608	0	115958	17421	-5096	0
content.edge.010e789b3cbc462b8f9af2b3	50950	118927	-5408	0	50946	117844	-5408	0
content.edge.0148ccf3050b79dfe7f87e92	-42224	87267	-4736	0	-42860	85093	-4736	0
content.edge.0187bbfa6bb8f51fa5311a9d	119774	136266	-4824	0	118957	135030	-4824	0
content.edge.01dc6149fa7d1b863a1dedae	-15893	-241730	-8160	0	-18066	-241093	-8160	0
content.edge.02a42e0043a8d83a3746290a	50843	206598	-4000	0	51413	205551	-4000	0
content.edge.02bf689f9e42b2de0e92e8dc	113369	16068	1944	0	113025	16454	2952	0
content.edge.035241fd6d0badf9454b3e54	114563	16496	-640	0	114724	15551	-640	0
content.edge.052b6ddb2ace72ecef4b779b	174866	-17612	-4896	0	176310	-17219	-4896	0
content.edge.05407ba7db75d1982f08ca09	115833	15575	3960	0	116114	16672	3960	0
content.edge.056598ca98977460e8bd4979	145408	79684	-5424	0	146478	79678	-5424	0
content.edge.05cd9ab664f3db02bbe3d46f	177248	-11924	-4896	0	175360	-11543	-4896	0
content.edge.065534f0c2131c4d9602ae6b	46532	122886	-5408	0	46520	121136	-5408	0
content.edge.06af528254b62fa49e453e7b	45799	209611	-3592	0	47276	209176	-3584	0
content.edge.06d8e1d539e7025aed63d4f0	51773	214789	-4004	0	52518	214410	-4216	0
content.edge.07b51f7945b70bf13b5805b3	-43504	79486	-4736	0	-43116	81218	-4736	0
content.edge.07eab5dbbc524cd2cacd97de	183670	-78108	-5960	0	183665	-80987	-5320	0
content.edge.07fc2048a3c292682f027676	-15595	-246178	-8160	0	-14513	-246175	-8160	0
content.edge.08248519c89b2547dbed970c	-19572	-242081	-8160	0	-20206	-240486	-8160	0
content.edge.088c8b71eb1375ff7659e248	145415	89956	-5424	0	145074	88092	-5424	0
content.edge.08dc4e495eae49f12f8577ab	-14513	-246175	-8160	0	-14509	-245091	-8160	0
content.edge.08dd4ef2aab2d592611da7d1	43854	216418	-3904	0	45282	216235	-3904	0
content.edge.09038b7a8408e1e572f6d00c	114563	16496	-640	0	113892	17589	-640	0
content.edge.09e1a367314866b9ff59db5d	-48772	218554	-5080	0	-50604	218034	-5080	0
content.edge.0a7d4da9611c4d622dfdedb0	114658	17376	1944	0	115563	18325	928	0
content.edge.0a7de84f19d898539b4fab56	177900	-75318	-2728	0	175071	-75345	-2728	0
content.edge.0b1692bf41258e6f94f7be70	48317	219987	-3584	0	48233	220896	-3584	0
content.edge.0bc7078f210f84edcba983b0	178338	-7318	-4896	0	180748	-7282	-4896	0
content.edge.0cffce4f423e5ed5839a90de	176310	-17219	-4896	0	177278	-17601	-4896	0
content.edge.0d181946766aabca700118c9	-17801	15712	-4896	0	-15999	16216	-4896	0
content.edge.0d3339a0f52840a3088eb8b1	121355	134303	-4824	0	120866	136128	-4824	0
content.edge.0e5d5437fb3ab689a532d0e9	114637	16062	7992	0	114647	15064	7992	0
content.edge.0e8ba6397f239ccacd21b195	-43209	88762	-4736	0	-42224	87267	-4736	0
content.edge.0ebb9d9bdeb69479f7bf8dd4	-14410	81329	-5168	0	-14416	79585	-5168	0
content.edge.0f1ca2dfdd0312e1c881cb8b	49082	214093	-3424	0	49086	214498	-3504	0
content.edge.0f48bc17d40376f5065733d0	46406	120047	-5408	0	45245	120646	-5408	0
content.edge.0fe5de49bd4a26277237d73d	-9905	-240482	-8160	0	-10996	-240481	-8160	0
content.edge.10d5cca5e47722e7f9de8009	90280	218357	-5432	0	90852	219521	-5432	0
content.edge.10f23e8b0ec6ecad0fa275e3	115975	17355	-2120	0	115931	17350	-3608	0
content.edge.1122609acde2920e82dd0cfd	48909	217325	-3584	0	48903	218874	-3584	0
content.edge.1179e0bf61bce5178d381f67	-15688	77377	-5168	0	-16789	77380	-5168	0
content.edge.11bef03bb21e121e89658d7f	146474	89960	-5424	0	145415	89956	-5424	0
content.edge.125266af4a1449af39c0b008	178760	-10010	-4896	0	180478	-10428	-4896	0
content.edge.12af29ddac0e45c34e5b6736	-13390	18124	-4896	0	-14484	18118	-4896	0
content.edge.131df5f2f8a00e7a6d12bb14	-47156	-239971	-7904	0	-48245	-239970	-7904	0
content.edge.1371c36af0177461cbc065c7	-12367	-245091	-8160	0	-11982	-243210	-8160	0
content.edge.142d8d634490128565a61800	52593	209968	-2464	0	52220	210994	-2464	0
content.edge.143bcebf429881e9c12309a7	-19500	13508	-4905	0	-19091	15232	-4896	0
content.edge.14c73d20a9b7e847d644b306	92493	209518	-5432	0	93740	209221	-5432	0
content.edge.14f63f68e484f5490d589853	115563	18325	928	0	116362	17808	928	0
content.edge.1506eaf8dcef5bb0b36d9720	-47230	212940	-5080	0	-45540	213140	-5080	0
content.edge.153aacaf5ecc23d769d59e2d	-21387	81972	-5168	0	-21391	83075	-5168	0
content.edge.155c9d65478d7a8b437a65fb	-15601	-245092	-8160	0	-15595	-246178	-8160	0
content.edge.159eef81994c1d7efd5df5d2	124733	133753	-4824	0	127073	133182	-4824	0
content.edge.16121a96405d4e08643585a2	175360	-11543	-4896	0	173046	-10940	-4896	0
content.edge.161b0d7992ec17a57a98a8f8	-46177	210132	-5080	0	-47274	210124	-5080	0
content.edge.1632835f46f7a82abaf621c1	45666	212569	-3752	0	45797	213402	-3752	0
content.edge.1651f70f77d72cbba799679a	182975	-13028	-4896	0	182570	-14392	-4896	0
content.edge.1658b943168b8f66768d1b03	-47274	210124	-5080	0	-47264	211216	-5080	0
content.edge.1689e0c61cd0dee145b8de96	-14513	-246175	-8160	0	-13873	-247777	-8160	0
content.edge.16ee7e8a18e055eb3112d885	114652	18498	5984	0	113717	18309	5984	0
content.edge.17944d3dadca2742f4f67f90	177263	-12990	-4896	0	177248	-11924	-4896	0
content.edge.17b14504594d82eca456935d	112839	15207	-640	0	113827	14502	-640	0
content.edge.18208dd7eb3498d78177ed8e	43852	215115	-3904	0	43854	216418	-3904	0
content.edge.183e49a642630fa3355fcdf7	-14509	-245091	-8160	0	-14510	-242720	-8160	0
content.edge.18b85f156c6f3afada09be29	113111	16856	-640	0	112654	16058	-640	0
content.edge.18e42eee78a7a7d0a54fb157	45282	216235	-3904	0	45333	217147	-3920	0
content.edge.1976fef484a79afa51bae474	-10028	19486	-4896	0	-11032	18109	-4896	0
content.edge.197ac56e773c14b908d50e0d	114647	16068	-2120	0	114648	16079	-3608	0
content.edge.1987c14b8d0ee0857c01c733	-12668	21984	-4896	0	-13387	23811	-4896	0
content.edge.198cbe57df59c993a3e499e9	-19091	15232	-4896	0	-17937	14633	-4896	0
content.edge.19d460863fbc5183d6b54a7d	46625	220505	-3584	0	45055	220422	-3584	0
content.edge.19f3c31cd421c6e3576016e3	-50434	-239963	-7904	0	-51880	-240364	-7904	0
content.edge.1a1fbf19aaac191904f02721	118308	132800	-4833	0	120089	133469	-4824	0
content.edge.1b546fbbd146afae93d3480e	-19505	86172	-5168	0	-21390	87674	-5168	0
content.edge.1c280f5ae3cba48186bb2cf3	47437	211609	-3592	0	47894	212506	-3344	0
content.edge.1c52415c4c54a68588e79018	-47263	215822	-5080	0	-47950	217267	-5080	0
content.edge.1cb27ed262649bf2c987816d	140404	79678	-5431	0	140784	81694	-5424	0
content.edge.1d419e7a674a98cf4709805d	-41614	84806	-4736	0	-41616	83717	-4736	0
content.edge.1d9ed1594284915df0de3c85	-41570	209785	-5089	0	-43004	210862	-5080	0
content.edge.1df4cca03e2a6127f37a813e	84528	209215	-5432	0	86260	209187	-5432	0
content.edge.1e119e71c5d890b047b3f592	-47264	214734	-5080	0	-47263	215822	-5080	0
content.edge.1fc74f9247e7354cf7f13f91	50879	209960	-2704	0	51604	209960	-2608	0
content.edge.1ff8d4f2c77b186e34b1b563	114612	17074	7992	0	114637	16062	7992	0
content.edge.20f49c754a0de49adce5d756	-19505	86172	-5168	0	-18222	86977	-5168	0
content.edge.2129a4d311e44df2efea3cd7	52379	212080	-3344	0	51592	212516	-3344	0
content.edge.21742a4296a47b09209fac1a	114761	174758	-5432	0	116224	174010	-5432	0
content.edge.21e5c1a9af95986eb17a978c	-46218	81494	-4736	0	-47280	81922	-4736	0
content.edge.2259034e1e202264d0cbd4cb	18644	-246482	-9576	0	18637	-248486	-9576	0
content.edge.225d4cec2bba6ed73e8ead2b	52262	172711	-4976	0	52650	171263	-4976	0
content.edge.22bb55062fa283806ea0ae3e	-44945	-250272	-7904	0	-43507	-249896	-7904	0
content.edge.23006ec7abe53b1d1bfc4bc7	114677	14743	1944	0	115803	14964	1944	0
content.edge.230df9cf4fcfb2610eee7737	172654	-7329	-4896	0	174078	-7665	-4896	0
