connector_id	validation_status	path_length	path_segments	required_buffer	max_pathfind_buffer	door_intersections	fence_intersections	door_ids	fence_names	collision_proof
content.edge.003b6da1edc85f68f7a3f322	VALID_PATH	3355	21	298	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.00a0b4515b3ffd223bc2b0f1	NO_PATH_WITHIN_BUFFER	0	0	72	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.010e789b3cbc462b8f9af2b3	VALID_DIRECT	1084	1	198	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0148ccf3050b79dfe7f87e92	VALID_PATH	2726	13	336	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0187bbfa6bb8f51fa5311a9d	VALID_PATH	4672	27	218	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.01dc6149fa7d1b863a1dedae	VALID_PATH	2683	9	336	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.02a42e0043a8d83a3746290a	STATIC_DOOR_INTERSECTION_UNRESOLVED	0	0	196	500	1	0	[21240004]	[]	STATIC_DOOR_INTERSECTION_UNRESOLVED
content.edge.02bf689f9e42b2de0e92e8dc	NO_PATH_WITHIN_BUFFER	0	0	112	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.035241fd6d0badf9454b3e54	NO_PATH_WITHIN_BUFFER	0	0	184	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.052b6ddb2ace72ecef4b779b	VALID_PATH	4209	21	244	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.05407ba7db75d1982f08ca09	VALID_PATH	1347	15	202	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.056598ca98977460e8bd4979	VALID_DIRECT	1071	1	196	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.05cd9ab664f3db02bbe3d46f	VALID_PATH	2061	7	300	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.065534f0c2131c4d9602ae6b	VALID_DIRECT	1751	1	282	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.06af528254b62fa49e453e7b	PATH_SEGMENT_BLOCKED	0	0	248	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.06d8e1d539e7025aed63d4f0	PATH_SEGMENT_BLOCKED	0	0	158	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.07b51f7945b70bf13b5805b3	VALID_PATH	1907	3	282	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.07eab5dbbc524cd2cacd97de	VALID_DIRECT	2950	1	424	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.07fc2048a3c292682f027676	VALID_DIRECT	1083	1	198	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.08248519c89b2547dbed970c	VALID_PATH	2368	15	264	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.088c8b71eb1375ff7659e248	VALID_PATH	2017	3	298	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.08dc4e495eae49f12f8577ab	VALID_DIRECT	1085	1	198	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.08dd4ef2aab2d592611da7d1	VALID_PATH	1744	9	244	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.09038b7a8408e1e572f6d00c	VALID_DIRECT	1283	1	200	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.09e1a367314866b9ff59db5d	VALID_PATH	4816	27	292	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0a7d4da9611c4d622dfdedb0	NO_PATH_WITHIN_BUFFER	0	0	182	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0a7de84f19d898539b4fab56	VALID_DIRECT	2830	1	418	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0b1692bf41258e6f94f7be70	NO_PATH_WITHIN_BUFFER	0	0	178	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0bc7078f210f84edcba983b0	NO_PATH_WITHIN_BUFFER	0	0	364	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0cffce4f423e5ed5839a90de	VALID_PATH	1323	7	184	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0d181946766aabca700118c9	VALID_PATH	4759	27	290	500	0	0	[]	[]	STATIC_XML_CLEAR
content.edge.0d3339a0f52840a3088eb8b1	VALID_PATH	4823	27	294	500	0	0	[]	[]	STATIC_XML_CLEAR
