connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.bridge.406a8426e6b7dc9d3a5197db	181429	-78686	-2728	0	180820	-81018	-4672	0
content.bridge.ba8d9f2ee0b2d3e6c966f9b5	181429	-78686	-2728	0	180488	-75315	-2728	0
content.bridge.4893c97f97a2c8b7e0f6c0bf	181429	-78686	-2728	0	177962	-78188	-3376	0
content.bridge.17a624226b3c517546f897f1	181429	-78686	-2728	0	183670	-78108	-5960	0
content.bridge.6eebcece0707e9e5bdb07371	181429	-78686	-2728	0	183665	-80987	-5320	0
content.bridge.bf36281a14aa7e083bf02037	181429	-78686	-2728	0	177960	-81043	-4024	0
content.bridge.cefd37348c1aae4313def136	181429	-78686	-2728	0	177900	-75318	-2728	0
content.bridge.306e6651668231df42ce1133	181429	-78686	-2728	0	180620	-82324	-6592	0
content.bridge.eb545826f57e4c21bcca4c21	181429	-78686	-2728	0	181064	-83400	-6592	0
content.bridge.d58124afadd77a64c3af3948	181429	-78686	-2728	0	175073	-78218	-2728	0
content.bridge.e8685914e55e4b5d802698d3	181429	-78686	-2728	0	186549	-78098	-6608	0
content.bridge.a36aca6ea51bb13fe0dd6d12	181429	-78686	-2728	0	186556	-80988	-5960	0
content.bridge.42b92aa077508ae0bcf1d158	181429	-78686	-2728	0	183679	-83872	-5960	0
content.bridge.26f6e31b08cdc4c3d0db15e3	181429	-78686	-2728	0	175102	-81091	-3376	0
content.bridge.9f50ac40af26c56aa5852ea4	181429	-78686	-2728	0	175071	-75345	-2728	0
content.bridge.ba6dd96309c8abbfbdd781b3	181429	-78686	-2728	0	186542	-83852	-5320	0
content.bridge.8cea9e3707efb7344a25c7aa	181429	-78686	-2728	0	189446	-80970	-6608	0
content.bridge.aecc4fedd2658292f5b6c06a	181429	-78686	-2728	0	189447	-78098	-7256	0
content.bridge.9ff511bab05ede6aa5aa4865	181429	-78686	-2728	0	189438	-83846	-5960	0
