connector_id	validation_status	path_length	path_segments	required_buffer	max_pathfind_buffer	door_intersections	fence_intersections	door_ids	fence_names	collision_proof
content.bridge.f7d5c06c0882f073e82e046e	VALID_DIRECT	2919	1	420	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.60b921d860dda4c11720f82f	NO_PATH_WITHIN_BUFFER	0	0	362	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.565d978e0bbe075cd021ad2c	NO_PATH_WITHIN_BUFFER	0	0	396	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.3a52ee5e7e3006e2a9df6de9	VALID_PATH	5849	39	420	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1f4198340d0868ddd9522301	VALID_PATH	5885	35	428	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.db7538aeba8ac1d15fb8d2f9	VALID_DIRECT	5879	1	780	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f4a2f6403c057ea646112437	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	778	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.c66b46b8eec9c6ac27e25ecf	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	780	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.9e43c81aaed98c63734549fb	VALID_DIRECT	8841	1	1142	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.5a612b06311577f661a9cf68	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1140	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.338a571e880d2f14c01ad64f	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	1142	500	0	0	[]	[]	STATIC_XML_CLEAR
