connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.seed.retry.3b629bef555fd66ce48a34da	85391	16228	-3672	0	88434	18691	-5288	0
content.seed.retry.a3ffd2eba22e6e01e3ac5735	85399	16197	-3674	0	88434	18691	-5288	0
content.seed.retry.8de6bc5fe9a53435a59b7f6a	85391	16228	-3672	0	81482	15546	-5288	0
content.seed.retry.568cbd4604a0042ddfd9d5a4	85399	16197	-3674	0	81482	15546	-5288	0
content.seed.retry.36a70b7dfea8eff89fd90caf	84915	15969	-4289	0	87682	12715	-5288	0
content.seed.retry.9632c8faeb151621a049cbd0	85399	16197	-3674	0	87682	12715	-5288	0
content.seed.retry.9323d0d68f67e0fd74c0facf	84915	15969	-4289	0	81394	18546	-5288	0
content.seed.retry.a3754a6d7404d0d0cb41ead0	85391	16228	-3672	0	87682	12715	-5288	0
content.seed.retry.a26624359a6744c4fd3c571e	84915	15969	-4289	0	81604	18912	-5288	0
content.seed.retry.9c15812e76c8397a1dc23e80	84915	15969	-4289	0	88434	18691	-5288	0
content.seed.retry.afa6d492864a34e2de63e4ba	85399	16197	-3674	0	89695	15767	-5288	0
content.seed.retry.16d4da0bb91387bf1488aab4	85391	16228	-3672	0	89695	15767	-5288	0
content.seed.retry.9cb6b3f20cd7080e462432b7	85399	16197	-2804	0	88434	18691	-5288	0
content.seed.retry.7ab7935b38d66279046226c0	85399	16197	-2804	0	81482	15546	-5288	0
content.seed.retry.fb9c63a434c07312fdfdb35c	85399	16197	-3674	0	84380	11913	-5288	0
content.seed.retry.f7b04d99865c159ed37bd43f	85391	16228	-3672	0	84380	11913	-5288	0
content.seed.retry.c23de394d98029ade9b43461	85399	16197	-2804	0	87682	12715	-5288	0
content.seed.retry.db5c358be091a68603eed449	84915	15969	-4289	0	89695	15767	-5288	0
content.seed.retry.8b914db072400e0e8b808367	85391	16228	-3672	0	81394	18546	-5288	0
content.seed.retry.8071bc9a8c5ecb3a185c711f	85391	16228	-3672	0	81604	18912	-5288	0
content.seed.retry.0057a9ef018549ea6ebe2bdf	85399	16197	-3674	0	81394	18546	-5288	0
content.seed.retry.e3074ef59d457f7a3a5e662f	85391	16228	-3672	0	85850	20859	-5288	0
content.seed.retry.324a89b32fc0cce81ef52dc1	85399	16197	-3674	0	81604	18912	-5288	0
content.seed.retry.2fdbebf4b9d441f64f571376	85391	16228	-3672	0	88758	19467	-5272	0
content.seed.retry.4e6a4635031ef01d2448b6ca	85399	16197	-2288	0	88434	18691	-5288	0
content.seed.retry.fe29d7c567912bc465ed0a9b	85399	16197	-3674	0	88758	19467	-5272	0
content.seed.retry.0a19eda7b393763a14669a34	85399	16197	-3674	0	85850	20859	-5288	0
content.seed.retry.9fcdceeaf66d578cf68369fa	85399	16197	-2288	0	81482	15546	-5288	0
content.seed.retry.a950dec31f5a24958974be89	85399	16197	-2804	0	89695	15767	-5288	0
content.seed.retry.57840e98e8854d6705a1cc38	85399	16197	-2804	0	84380	11913	-5288	0
content.seed.retry.f03835a59e036dc4d552c546	84915	15969	-4289	0	85850	20859	-5288	0
content.seed.retry.f162fba470a4a91119102720	85399	16197	-2288	0	87682	12715	-5288	0
content.seed.retry.7543f8f208765629f1e29c42	85399	16197	-2288	0	89695	15767	-5288	0
content.seed.retry.294cafe9d274f9bc71c6aaf6	85399	16197	-2804	0	81394	18546	-5288	0
content.seed.retry.d8aa93efcadcb335b258f9a3	85399	16197	-1771	0	88434	18691	-5288	0
content.seed.retry.3a4cef79b71400cba3d71be4	85399	16197	-2804	0	81604	18912	-5288	0
content.seed.retry.301a9242f80d51bb5e12b650	84915	15969	-4289	0	88758	19467	-5272	0
content.seed.retry.2bd19211f9b15a4c603777a6	85399	16197	-2804	0	88758	19467	-5272	0
content.seed.retry.de0d24eb34ff2db9827e02ba	85399	16197	-2804	0	85850	20859	-5288	0
content.seed.retry.cfb6f0c18f6f79108d58bc2e	85399	16197	-1771	0	81482	15546	-5288	0
content.seed.retry.60de0fe5452defcb1510f08c	85399	16197	-2288	0	84380	11913	-5288	0
content.seed.retry.88c5f09b42a88707f06eccfc	85399	16197	-1771	0	87682	12715	-5288	0
content.seed.retry.19be86d7f5df73c2ca7fb057	85399	16197	-2288	0	81394	18546	-5288	0
content.seed.retry.4c731ea163e8c625e4e96f92	85399	16197	-2288	0	81604	18912	-5288	0
content.seed.retry.e049aceb311725f439aaa04c	85399	16197	-2288	0	88758	19467	-5272	0
content.seed.retry.02a77b4a6151f32448062dce	85399	16197	-2288	0	85850	20859	-5288	0
content.seed.retry.aaa9620ccb9630e9cc8e5ed6	85399	16197	-1771	0	89695	15767	-5288	0
content.seed.retry.2442782f6b15460db2192864	85399	16197	-1771	0	84380	11913	-5288	0
content.seed.retry.910bba4e8563ebfeb51d1043	85399	16197	-1771	0	81394	18546	-5288	0
content.seed.retry.cdab0f6f294b8b70cb727795	85399	16197	-1771	0	81604	18912	-5288	0
content.seed.retry.b193c09af646d2a91625269e	85399	16197	-1771	0	88758	19467	-5272	0
content.seed.retry.923725d4913e392bcd23888c	85399	16197	-1771	0	85850	20859	-5288	0
content.seed.retry.9eb489d3802bc27a0d45f5f2	84915	15969	-4289	0	76201	17710	-3848	0
content.seed.retry.509931c5c4b5c68f32c5bd8a	85399	16197	-2804	0	89259	8053	-3184	0
content.seed.retry.3629c87b273d565c102488db	85399	16197	-3674	0	89259	8053	-3184	0
content.seed.retry.a7b7677aa3ef6fa64cf24e89	85391	16228	-3672	0	92495	21839	-3512	0
content.seed.retry.9769382dff8cb70bd8c6f5b9	85399	16197	-2288	0	89259	8053	-3184	0
content.seed.retry.995d42ce80437d9ab8f90c0f	85391	16228	-3672	0	89259	8053	-3184	0
content.seed.retry.daef7bef231be5604f03eab6	85399	16197	-3674	0	92495	21839	-3512	0
content.seed.retry.35b727023b615289cd8244fd	85399	16197	-2804	0	92495	21839	-3512	0
content.seed.retry.61e84fd3b29ca7f9ba65c7e3	84915	15969	-4289	0	89259	8053	-3184	0
content.seed.retry.2b838a34243a0a06879158bb	85399	16197	-1771	0	89259	8053	-3184	0
content.seed.retry.af968cdcfd559c26be2ebf23	85399	16197	-2288	0	92495	21839	-3512	0
content.seed.retry.e25989246ff376ceeebf37b3	85399	16197	-2804	0	88693	7643	-3136	0
content.seed.retry.cabe2c43125afbed68b1caa9	85399	16197	-3674	0	88693	7643	-3136	0
content.seed.retry.a787b18911627a8bcb57608c	85399	16197	-2288	0	88693	7643	-3136	0
content.seed.retry.4760372c9a7c9c771c91418a	85391	16228	-3672	0	88693	7643	-3136	0
content.seed.retry.44a8314a2b5ded5f674d3e12	84915	15969	-4289	0	88693	7643	-3136	0
content.seed.retry.2957dce4d1393985faf5282c	85399	16197	-1771	0	92495	21839	-3512	0
content.seed.retry.1ac0dfcc33b3554bc7b47d20	85399	16197	-1771	0	88693	7643	-3136	0
