connector_id	validation_status	path_length	path_segments	required_buffer	max_pathfind_buffer	door_intersections	fence_intersections	door_ids	fence_names	collision_proof
content.seed.retry.3b629bef555fd66ce48a34da	NO_PATH_WITHIN_BUFFER	0	0	446	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.a3ffd2eba22e6e01e3ac5735	NO_PATH_WITHIN_BUFFER	0	0	444	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.8de6bc5fe9a53435a59b7f6a	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	552	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.568cbd4604a0042ddfd9d5a4	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	554	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.36a70b7dfea8eff89fd90caf	NO_PATH_WITHIN_BUFFER	0	0	472	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.9632c8faeb151621a049cbd0	NO_PATH_WITHIN_BUFFER	0	0	500	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.9323d0d68f67e0fd74c0facf	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	504	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.a3754a6d7404d0d0cb41ead0	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	504	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.a26624359a6744c4fd3c571e	NO_PATH_WITHIN_BUFFER	0	0	478	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.9c15812e76c8397a1dc23e80	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	504	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.afa6d492864a34e2de63e4ba	DIRECT_BLOCKED_PATHFINDER_OUT_OF_RANGE	0	0	600	500	0	0	[]	[]	STATIC_XML_CLEAR
