connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.bridge.a8bbded8345943a1221de0db	-41573	215826	-5080	0	-42530	216216	-5080	0
content.bridge.49c155f764b5ff871d54158f	-17801	15712	-4896	0	-17937	14633	-4896	0
content.bridge.797429777ec3b294861ecbec	-14484	18118	-4896	0	-13390	18124	-4896	0
content.bridge.25498c89b3d588d7f0b52788	-18992	84352	-5168	0	-17898	84222	-5168	0
content.bridge.a1464b547bd7d8c4264b9dc5	-41614	84806	-4736	0	-42860	85093	-4736	0
content.bridge.39d48473f4daab2f2988ac6c	-15699	79090	-5168	0	-14540	78494	-5168	0
content.bridge.a65f5194935ea9d2be34d8ac	47611	119247	-5408	0	46406	120047	-5408	0
content.bridge.1be8f7cbe391de84008a1518	-21070	79618	-5168	0	-20268	80830	-5168	0
content.bridge.4c0bb407b1df4d88f9711a87	50865	172673	-4976	0	50065	171456	-4976	0
content.bridge.004990a15aa0cfe136856ef8	118957	135030	-4824	0	119774	136266	-4824	0
content.bridge.dcf614e5656448b243cc3e95	-14484	18118	-4896	0	-13399	19199	-4896	0
content.bridge.06268fcf30cf260ef2040ccb	56884	180606	-4976	0	55727	179484	-4976	0
content.bridge.67b8307cee50b86bed702e59	16939	-246011	-9576	0	15956	-244509	-9576	0
content.bridge.89cbaca388766f4a4bbd13e7	-44032	214125	-5080	0	-45540	213140	-5080	0
content.bridge.1b21e162964b23326f9b0404	88051	211452	-5432	0	89880	212008	-5432	0
content.bridge.0f1176fe9c084dcdfe895815	147142	88562	-5424	0	148744	89655	-5424	0
content.bridge.44f136c91898fc93a8a2c030	88051	211452	-5432	0	89866	210670	-5432	0
content.bridge.792e15c3432c82960203981d	18637	-248486	-9576	0	18644	-246482	-9576	0
content.bridge.0e80105f79f2b09c8334e778	-46229	83706	-4736	0	-47280	81922	-4736	0
content.bridge.f994fba0f8cf7e43694c9777	182948	-7306	-4896	0	180748	-7282	-4896	0
content.bridge.833be8dca82487e7dd03bd73	88051	211452	-5432	0	88049	209228	-5432	0
content.bridge.0e78b5fab6d73855a9f6a987	-44032	214125	-5080	0	-46173	214732	-5080	0
content.bridge.6c7d1c4809e06adc4dd52973	16939	-246011	-9576	0	17568	-243851	-9576	0
content.bridge.4c928d449b2ab6760ee2b470	-47154	-244576	-7904	0	-47153	-242214	-7904	0
content.bridge.bc9e117d01db6e343b4b51b7	88051	211452	-5432	0	88048	213835	-5432	0
content.bridge.5f0addfc6787ba4bdda42f59	121895	178629	-5432	0	121910	176240	-5432	0
content.bridge.bd45bffa168186bfbdbcb061	-41573	215826	-5080	0	-43967	215820	-5080	0
