connector_id	validation_status	path_length	path_segments	required_buffer	max_pathfind_buffer	door_intersections	fence_intersections	door_ids	fence_names	collision_proof
content.bridge.b03eea9d53a5ec1a35c6c4c4	VALID_PATH	4784	27	224	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.5f6f4aec2afb85dfda923062	NO_PATH_WITHIN_BUFFER	0	0	214	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.c2a0b456156f6ad175c4fd08	VALID_PATH	1752	9	238	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.38046f7a77faf13e75654e00	NO_PATH_WITHIN_BUFFER	0	0	218	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.c2361634a3ac6db9f7caa09c	NO_PATH_WITHIN_BUFFER	0	0	216	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1487b28e043356fbb1f805f8	VALID_PATH	4131	17	242	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.4d091a086db42406169a9210	NO_PATH_WITHIN_BUFFER	0	0	208	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.0f0091119b9de51330aa939a	NO_PATH_WITHIN_BUFFER	0	0	210	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f5b861f728ede97f68026129	NO_PATH_WITHIN_BUFFER	0	0	208	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.fabd4cb20fb44527cf9d9152	NO_PATH_WITHIN_BUFFER	0	0	206	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.92264faa798e6df2470ccb05	NO_PATH_WITHIN_BUFFER	0	0	236	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.bd7c7448751f4a4ca319f8e9	VALID_PATH	2042	15	278	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.3671d728523c0e971408e13f	NO_PATH_WITHIN_BUFFER	0	0	250	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.d3a7c454ea6e1fd7ffab1e84	VALID_PATH	2537	20	260	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.add11698cc5ba2912cca4cf7	VALID_PATH	2080	7	300	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.3d4d50502ab7725173bbffbb	VALID_PATH	2593	10	292	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.40aee1bcc30a2acb5af1ad1e	VALID_PATH	2622	17	248	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.02e4c805b4506640719a4c75	VALID_PATH	2848	13	324	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f306be5229b11ac41315f68d	NO_PATH_WITHIN_BUFFER	0	0	330	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.2a4d14ad3edd4b46d817bf42	VALID_PATH	3788	21	344	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f952750c24d3c4b439e37aba	NO_PATH_WITHIN_BUFFER	0	0	332	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.bbe0cb31f26d7315274aa90a	VALID_PATH	3763	19	344	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.98cd4cc9bb7df5c85ca211b1	VALID_PATH	3311	15	290	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.a948d3f2eb08c23ff7bbb044	NO_PATH_WITHIN_BUFFER	0	0	296	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.d6b618ec12cc312ea2bd9da4	NO_PATH_WITHIN_BUFFER	0	0	302	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.ae3edbf8bc83261d86915c72	VALID_PATH	4904	27	344	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.97ba9df4233d241fb049dfdc	NO_PATH_WITHIN_BUFFER	0	0	308	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.d52ddcb4b9d0e3f9f20c3023	VALID_DIRECT	2508	1	376	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.7595012c9903c018aace9ee8	VALID_PATH	6506	25	340	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.c99ba7adb01e60cbe9d24d3a	NO_PATH_WITHIN_BUFFER	0	0	350	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.8fe3aad76ae1cc7548bed9f2	VALID_DIRECT	2584	1	388	500	0	0	[]	[]	STATIC_XML_CLEAR
