connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.seed.retry.346c436a3ce5a14595a7f87c	-20230	-250780	-8168	0	-20207	-249052	-8160	0
content.seed.retry.021ce82c13db7088b71a0329	-20230	-250780	-8168	0	-17841	-250467	-8160	0
content.seed.retry.27dbc3dfd4c16fd0a2cf96f7	-20230	-250780	-8168	0	-18925	-248578	-8160	0
content.seed.retry.4e59753cc8e1380f688fde6b	-20230	-250780	-8168	0	-17102	-248064	-8160	0
content.seed.retry.206df71c9d18e76854aee1a7	-20230	-250780	-8168	0	-18924	-246831	-8160	0
content.seed.retry.39dddd39d4ecf69510226e03	-20230	-250780	-8168	0	-16271	-249346	-8160	0
content.seed.retry.8564b60172b599274a6da685	-20230	-250780	-8168	0	-20218	-246174	-8160	0
content.seed.retry.60dbdff1009dfc18a72c1e7a	-20230	-250780	-8168	0	-15599	-250786	-8160	0
content.seed.retry.d520c75ff58a9071b1393b7b	-20230	-250780	-8168	0	-20202	-245084	-8160	0
content.seed.retry.bd5d1bcb09c54348cefb6a92	-20230	-250780	-8168	0	-14517	-250784	-8160	0
content.seed.retry.7d0f3c231bab77a27bd7dfc6	-20230	-250780	-8168	0	-15595	-246178	-8160	0
content.seed.retry.0d91237a4d70d59b93b501bf	-20230	-250780	-8168	0	-18386	-244353	-8160	0
content.seed.retry.25b5fcf83d5f9af6d392801b	-20230	-250780	-8168	0	-13873	-247777	-8160	0
content.seed.retry.9dc44aaa16f02dc287b731fa	-20230	-250780	-8168	0	-17039	-244346	-8160	0
content.seed.retry.531397e8db07a4e574655df6	-20230	-250780	-8168	0	-15601	-245092	-8160	0
content.seed.retry.04aa13b287a03c748b85766e	-20230	-250780	-8168	0	-14513	-246175	-8160	0
content.seed.retry.5d0a3292f27b70b3457cd965	-20230	-250780	-8168	0	-12687	-250038	-8160	0
content.seed.retry.5612bb659690803b20055c78	-20230	-250780	-8168	0	-14509	-245091	-8160	0
content.seed.retry.19696d3766aec32297847f80	-20230	-250780	-8168	0	-19572	-242081	-8160	0
