connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.bridge.29f72063ef3bbc576a6c46fa	115569	13828	5984	0	114880	14272	6992	0
content.bridge.efbc7d430a04694245f7b588	113717	18309	5984	0	114402	17854	6992	0
content.bridge.de176da51a909f9676caead1	113717	18309	5984	0	114402	17854	6992	0
content.bridge.c02740d9a49ff3b60d1895e8	112925	17804	928	0	113499	17170	1944	0
content.bridge.1ff5f1934d07551c4780a26e	115926	15866	928	0	115803	14964	1944	0
content.bridge.4a837f646c494103ff6d218c	112410	17002	5984	0	113525	17182	6992	0
content.bridge.371381b65bb7db3febf8aa54	112410	17002	5984	0	113536	17155	4976	0
content.bridge.2367a00a8ace331eb679e0c1	113717	18309	5984	0	114630	17463	4976	0
content.bridge.00ddc05a9ab4d21d4a898412	112410	17002	5984	0	113273	16063	4976	0
content.bridge.3564245ff74a5a64f17aab03	115926	15866	928	0	114658	16066	1944	0
content.bridge.c29e015e9bfbfc1b1d00eb45	113477	16850	928	0	114658	17376	1944	0
content.bridge.214ce052cd8fcf0fb8e8762d	112410	17002	5984	0	113379	16122	4976	0
content.bridge.6e5128ffce0f986746e54bf5	114652	18498	5984	0	114357	17162	4976	0
content.bridge.b01eb0312f034f96b5be136b	114665	16494	928	0	113369	16068	1944	0
content.bridge.51972e996f26b3e124d93d45	115926	15866	928	0	116180	15225	-640	0
content.bridge.cc60d0559bc75873e3c15579	115926	15866	928	0	116631	16046	-640	0
content.bridge.97eeaa205e54b65c6fbe47b7	115563	18325	928	0	115497	17591	-640	0
content.bridge.ba7e5e162fcd2850519b6d88	114648	13646	5984	0	115525	14771	4976	0
content.bridge.0a8f9b018b6c1d0cbbfe46b6	113477	16850	928	0	113892	17589	-640	0
content.bridge.3677a8fb9d416f605720dbfa	112948	14381	928	0	113827	14502	-640	0
content.bridge.5c813d91496b12aed121db57	116334	14373	928	0	115430	14533	-640	0
content.bridge.d6d2cb38ee560013c7488ec9	114665	16494	928	0	114724	15551	-640	0
content.bridge.71828aa1ca05c9d78b5ed0c1	116362	17808	928	0	116405	16862	-640	0
content.bridge.3d8250e938568f90af824863	112925	17804	928	0	113111	16856	-640	0
content.bridge.69de47cd9648e1f0c92b764c	115569	13828	5984	0	114684	15216	4976	0
content.bridge.49b9752fda0ea0383380dc05	113477	16850	928	0	114563	16496	-640	0
content.bridge.783f83e4aa7ff4aead7a7f87	115926	15866	928	0	114677	14743	1944	0
content.bridge.8f3e9435e7d21c1559f81199	114648	13646	5984	0	115755	14949	6992	0
content.bridge.ec40b8ef485d3d6ccbd77a31	112222	16061	5984	0	113719	15114	6992	0
content.bridge.76e0b3f77f22ab46b71aa817	112222	16061	5984	0	113719	15114	6992	0
content.bridge.90855de553fff5a5b41c3ef2	115926	15866	928	0	115566	15108	2952	0
content.bridge.e9785dc67386833f55826985	115926	15866	928	0	115566	15108	2952	0
content.bridge.37ceeed5392900a27d0cefce	112222	16061	5984	0	113760	14804	4976	0
content.bridge.41c415a1c4413e057f04370b	115563	18325	928	0	114624	18491	2952	0
content.bridge.7e68764d00aae19c7d5f062d	113737	13878	928	0	112839	15207	-640	0
content.bridge.94fd2e7eb8f380c67cba63a1	114648	13646	5984	0	115262	14564	3960	0
content.bridge.afb4050700260c4a1f9de781	112948	14381	928	0	112654	16058	-640	0
content.bridge.b1dec0cd4b87d443aa8702a7	113725	18327	928	0	114483	17487	2952	0
content.bridge.fded27cbd0f930fb5e29f551	113725	18327	928	0	114478	17472	2952	0
content.bridge.3ec94329cc62963233123d9b	113477	16850	928	0	114360	16095	2992	0
content.bridge.89a094a1b5b30fde4521ae6d	113477	16850	928	0	114360	16095	2992	0
content.bridge.656c07a9d0d041f673ddf566	113717	18309	5984	0	115584	17252	4976	0
content.bridge.156b4b185c7ba95d1b1207bf	115958	14775	-2120	0	114648	16079	-3608	0
content.bridge.6a814437878f1758c2021c1a	112948	14381	928	0	114244	14614	2952	0
content.bridge.d1855587219c3854161d796a	115569	13828	5984	0	114688	16080	5984	0
content.bridge.53a2ba43b1eb799b2eb80d47	112925	17804	928	0	113025	16454	2952	0
content.bridge.391c8391ad78748e57bd78ed	115569	13828	5984	0	115981	16054	4976	0
content.bridge.995fd8bce9f4f6ca66dd8cec	113717	18309	5984	0	115193	16587	6992	0
content.bridge.2401e7c989a2f78ee92fdc2d	115569	13828	5984	0	116017	16068	4976	0
content.bridge.c33f7067e27e6de9193ee2a8	113477	16850	928	0	113150	15418	2952	0
content.bridge.0cb1e9beec7d2564b2f550c8	112410	17002	5984	0	113632	16109	7992	0
content.bridge.6df52db8b0be60f8b36efe0c	113717	18309	5984	0	114612	17074	7992	0
content.bridge.a9714c2dd5b44cc585ef9cd9	115569	13828	5984	0	114647	15064	7992	0
content.bridge.a9489475213766fbca873ee8	115569	13828	5984	0	114184	14863	3960	0
content.bridge.28ae6ef4de9df8fedda93878	113717	18309	5984	0	115156	17252	3960	0
content.bridge.3981f1d06dc06da2a0ada378	115975	17355	-2120	0	115906	14853	-3608	0
content.bridge.7e214a456ab85d715422171e	115958	14775	-2120	0	113409	14811	-3608	0
content.bridge.a2d9ec24bab97f2b79cbdc4d	115958	14775	-2120	0	115931	17350	-3608	0
content.bridge.8365d2a7ed2aa65695cd4de0	115569	13828	5984	0	115628	16025	7992	0
content.bridge.e0e1564dd4f4fb8873a2e992	115975	17355	-2120	0	113392	17344	-3608	0
content.bridge.d400522a3941f38b56835571	116360	17765	5984	0	115833	15575	3960	0
content.bridge.b508f2072770fcaa038fd067	114652	18498	5984	0	116114	16672	3960	0
content.bridge.2be19ffd81267f588be14b29	115569	13828	5984	0	114670	16055	3960	0
content.bridge.7c73b8fa429a66e5efdcc66e	114648	13646	5984	0	114637	16062	7992	0
content.bridge.b7324ad3a5074d72664ee9ef	114647	16068	-2120	0	115968	14730	-5096	0
content.bridge.9c8f24e1b19570ffe59e7f95	114647	16068	-2120	0	115958	17421	-5096	0
content.bridge.390f42b5bec17da4f5c81ac6	115958	14775	-2120	0	113343	14754	-5096	0
content.bridge.6a11eb53c8bf39665db898fa	115975	17355	-2120	0	113332	17389	-5096	0
