connector_id	validation_status	path_length	path_segments	required_buffer	max_pathfind_buffer	door_intersections	fence_intersections	door_ids	fence_names	collision_proof
content.bridge.b11bbe1838a699d7cd83cf7b	NO_PATH_WITHIN_BUFFER	0	0	206	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.a6eba4d137a979c4da7dc0f9	NO_PATH_WITHIN_BUFFER	0	0	208	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.083505a0bccec6f35a05532d	NO_PATH_WITHIN_BUFFER	0	0	208	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.19187305f08c94bd8da72285	NO_PATH_WITHIN_BUFFER	0	0	182	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.23ee2529058e48e424922d4e	NO_PATH_WITHIN_BUFFER	0	0	248	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f93832ab94051ce080a0243e	NO_PATH_WITHIN_BUFFER	0	0	248	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1a6ba8ddd42bf13e4d34fb32	NO_PATH_WITHIN_BUFFER	0	0	172	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.5f5845c77b8db83d547f78ae	NO_PATH_WITHIN_BUFFER	0	0	242	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.0d1096894aadb98dac709d0d	NO_PATH_WITHIN_BUFFER	0	0	186	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.454b496221aa71c069ad8874	NO_PATH_WITHIN_BUFFER	0	0	188	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1def30a9666c9c2a0ced7451	NO_PATH_WITHIN_BUFFER	0	0	270	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.f1346342fd5a64b679e9890b	NO_PATH_WITHIN_BUFFER	0	0	270	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.1c4065a87f9d7bff2d7737a9	NO_PATH_WITHIN_BUFFER	0	0	214	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.82dfc741ff854eeb163a4727	NO_PATH_WITHIN_BUFFER	0	0	276	500	0	0	[]	[]	STATIC_XML_CLEAR
content.bridge.155299618eba6452c4fd0680	NO_PATH_WITHIN_BUFFER	0	0	276	500	0	0	[]	[]	STATIC_XML_CLEAR
