connector_id	from_x	from_y	from_z	from_instance	to_x	to_y	to_z	to_instance
content.seed.retry.c5da6e5f0a7e8a3af8e629cf	115384	16820	9000	0	115628	16025	7992	0
content.seed.retry.cc1f1342c419379d58c49896	115384	16820	9000	0	114637	16062	7992	0
content.seed.retry.7724ea0ea55c9ea3c7e95139	115384	16820	9000	0	115193	16587	6992	0
content.seed.retry.133b116d42cf47e4838505fe	115384	16820	9000	0	113632	16109	7992	0
content.seed.retry.e4f278161560bf969918177a	115384	16820	9000	0	114647	15064	7992	0
content.seed.retry.ffb20227b663a16a625b4fc3	118404	15988	832	0	116631	16046	-640	0
content.seed.retry.dd83526725972daefba80051	110848	16154	-2120	0	112654	16058	-640	0
content.seed.retry.b9f113113bb7a3b2066cee79	115384	16820	9000	0	114402	17854	6992	0
content.seed.retry.eedc6ff076968e6e126290ae	115384	16820	9000	0	114402	17854	6992	0
content.seed.retry.4ebd64447e32b25f043b08f6	118404	15988	832	0	115926	15866	928	0
content.seed.retry.75afed80e2ce0a5eef583722	118525	16455	5984	0	116360	17765	5984	0
content.seed.retry.8fc8c2b021523b755500f744	115064	12181	2960	0	114244	14614	2952	0
content.seed.retry.58721d8b20e45a653aa12088	115064	12181	2960	0	115262	14564	3960	0
content.seed.retry.4202121486caf70699ea5354	118404	15988	832	0	116334	14373	928	0
content.seed.retry.fa5283e85d7a1216c7c95295	118404	15988	832	0	116405	16862	-640	0
content.seed.retry.b2b40d7f29932fb288ec9a45	110848	16154	-2120	0	112839	15207	-640	0
content.seed.retry.2aa2e1de0c56f3672ee94ca2	115064	12181	2960	0	115568	13868	928	0
content.seed.retry.c25c3798dc345ba3b8f59f8c	118525	16455	5984	0	116017	16068	4976	0
content.seed.retry.777a13c37fbc5eaecc2daadb	118404	15988	832	0	116362	17808	928	0
content.seed.retry.79e116b9232002e836bd1a45	115384	16820	9000	0	113525	17182	6992	0
content.seed.retry.97174de9958bf6551009969a	118525	16455	5984	0	115981	16054	4976	0
content.seed.retry.9f563ce13ba10105115ef68a	115384	16820	9000	0	115755	14949	6992	0
content.seed.retry.14aa1232ac358f958d4df384	118404	15988	832	0	116180	15225	-640	0
content.seed.retry.fd1d1fd2cc384392c2996b88	115064	12181	2960	0	114677	14743	1944	0
content.seed.retry.2ea112432be3a029abf1b8cd	110848	16154	-2120	0	113111	16856	-640	0
content.seed.retry.d20cf0a66e7970aad0117ee7	110848	16154	-2120	0	113345	14741	-2120	0
content.seed.retry.ee964429d53c95a16f7f7fd9	115064	12181	2960	0	113737	13878	928	0
content.seed.retry.6ebc63a3181c57d0ea6d47bc	115064	12181	2960	0	115566	15108	2952	0
content.seed.retry.52473aba49f08fea1ba498d2	115064	12181	2960	0	115566	15108	2952	0
content.seed.retry.fa3a42fcaee116e6d53fe6c4	115064	12181	2960	0	114184	14863	3960	0
content.seed.retry.5939871e7dd6e44b8132f98d	118404	15988	832	0	115803	14964	1944	0
content.seed.retry.19fb6a5cce514bdcc7110ec1	118525	16455	5984	0	116364	14361	5984	0
content.seed.retry.b0e882ab70ebf05ec47e4020	115064	12181	2960	0	115803	14964	1944	0
content.seed.retry.7c81d75984500e8c380bd000	115384	16820	9000	0	113719	15114	6992	0
content.seed.retry.2ce97ca215b3fcc69ad91e6b	115384	16820	9000	0	113719	15114	6992	0
content.seed.retry.065d1c92f919a705a6153d3a	118525	16455	5984	0	116114	16672	3960	0
content.seed.retry.b29d7dfa4f69ef04a7c57501	110848	16154	-2120	0	113392	17344	-3608	0
content.seed.retry.a5c94dfb143fb80c8d58a0c1	118525	16455	5984	0	115584	17252	4976	0
content.seed.retry.08ee7ee04542bffe3c0cdd78	115064	12181	2960	0	116334	14373	928	0
content.seed.retry.1eb908c179293633a940d7c6	110848	16154	-2120	0	113409	14811	-3608	0
content.seed.retry.a4bc050ca31c04ddb9820e31	118525	16455	5984	0	115755	14949	6992	0
content.seed.retry.4c4b133e442cd6c02d6be2ee	115064	12181	2960	0	115525	14771	4976	0
content.seed.retry.410deb3e5743677a05c93887	115064	12181	2960	0	114648	13646	5984	0
content.seed.retry.6f5f204a10b3ee31824aa18b	118525	16455	5984	0	115833	15575	3960	0
content.seed.retry.95c8e5fa2b55756bf190bf8b	118525	16455	5984	0	115193	16587	6992	0
content.seed.retry.0e71d6239b91d23fd0b8cca2	118404	15988	832	0	115568	13868	928	0
content.seed.retry.985335a746bd88186a5310a4	118525	16455	5984	0	115628	16025	7992	0
content.seed.retry.9bb905398bc5d3fca4e2fccb	118525	16455	5984	0	115525	14771	4976	0
content.seed.retry.e7b6cf0613cc82dae805a2c0	118404	15988	832	0	115430	14533	-640	0
content.seed.retry.8ee1b93ba307f0b21ca9987e	118404	15988	832	0	115497	17591	-640	0
content.seed.retry.af577381180f9a833e839969	118404	15988	832	0	115566	15108	2952	0
