connector_id	validation_status	path_length	path_segments	required_buffer	max_pathfind_buffer	door_intersections	fence_intersections	door_ids	fence_names	collision_proof
content.seed.retry.c5da6e5f0a7e8a3af8e629cf	NO_PATH_WITHIN_BUFFER	0	0	164	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.cc1f1342c419379d58c49896	NO_PATH_WITHIN_BUFFER	0	0	160	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.7724ea0ea55c9ea3c7e95139	NO_PATH_WITHIN_BUFFER	0	0	94	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.133b116d42cf47e4838505fe	NO_PATH_WITHIN_BUFFER	0	0	282	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.e4f278161560bf969918177a	NO_PATH_WITHIN_BUFFER	0	0	284	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.ffb20227b663a16a625b4fc3	NO_PATH_WITHIN_BUFFER	0	0	286	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.dd83526725972daefba80051	NO_PATH_WITHIN_BUFFER	0	0	288	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.b9f113113bb7a3b2066cee79	NO_PATH_WITHIN_BUFFER	0	0	192	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.eedc6ff076968e6e126290ae	NO_PATH_WITHIN_BUFFER	0	0	192	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.4ebd64447e32b25f043b08f6	NO_PATH_WITHIN_BUFFER	0	0	374	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.75afed80e2ce0a5eef583722	VALID_PATH	3422	19	334	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.8fc8c2b021523b755500f744	NO_PATH_WITHIN_BUFFER	0	0	368	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.58721d8b20e45a653aa12088	NO_PATH_WITHIN_BUFFER	0	0	362	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.4202121486caf70699ea5354	VALID_PATH	3107	23	324	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.fa5283e85d7a1216c7c95295	NO_PATH_WITHIN_BUFFER	0	0	314	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.b2b40d7f29932fb288ec9a45	NO_PATH_WITHIN_BUFFER	0	0	312	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.2aa2e1de0c56f3672ee94ca2	NO_PATH_WITHIN_BUFFER	0	0	274	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.c25c3798dc345ba3b8f59f8c	NO_PATH_WITHIN_BUFFER	0	0	376	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.777a13c37fbc5eaecc2daadb	NO_PATH_WITHIN_BUFFER	0	0	320	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.79e116b9232002e836bd1a45	NO_PATH_WITHIN_BUFFER	0	0	296	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.97174de9958bf6551009969a	NO_PATH_WITHIN_BUFFER	0	0	382	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.9f563ce13ba10105115ef68a	NO_PATH_WITHIN_BUFFER	0	0	298	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.14aa1232ac358f958d4df384	NO_PATH_WITHIN_BUFFER	0	0	342	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.fd1d1fd2cc384392c2996b88	NO_PATH_WITHIN_BUFFER	0	0	384	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.2ea112432be3a029abf1b8cd	NO_PATH_WITHIN_BUFFER	0	0	346	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.d20cf0a66e7970aad0117ee7	VALID_PATH	4417	35	376	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.ee964429d53c95a16f7f7fd9	NO_PATH_WITHIN_BUFFER	0	0	276	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.6ebc63a3181c57d0ea6d47bc	NO_PATH_WITHIN_BUFFER	0	0	430	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.52473aba49f08fea1ba498d2	NO_PATH_WITHIN_BUFFER	0	0	430	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.fa3a42fcaee116e6d53fe6c4	NO_PATH_WITHIN_BUFFER	0	0	398	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.5939871e7dd6e44b8132f98d	NO_PATH_WITHIN_BUFFER	0	0	390	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.19fb6a5cce514bdcc7110ec1	VALID_PATH	3385	19	334	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.b0e882ab70ebf05ec47e4020	NO_PATH_WITHIN_BUFFER	0	0	412	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.7c81d75984500e8c380bd000	NO_PATH_WITHIN_BUFFER	0	0	278	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.2ce97ca215b3fcc69ad91e6b	NO_PATH_WITHIN_BUFFER	0	0	278	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.065d1c92f919a705a6153d3a	NO_PATH_WITHIN_BUFFER	0	0	364	500	0	0	[]	[]	STATIC_XML_CLEAR
content.seed.retry.b29d7dfa4f69ef04a7c57501	NO_PATH_WITHIN_BUFFER	0	0	382	500	0	0	[]	[]	STATIC_XML_CLEAR
