ordinal	geo_x	geo_y	world_x	world_y	geo_z
0	52628	32119	186696	-75912	-2824
1	52627	32119	186680	-75912	-2824
2	52626	32119	186664	-75912	-2824
3	52625	32119	186648	-75912	-2824
4	52624	32119	186632	-75912	-2824
5	52623	32119	186616	-75912	-2824
6	52622	32119	186600	-75912	-2824
7	52621	32119	186584	-75912	-2824
8	52620	32119	186568	-75912	-2808
9	52619	32119	186552	-75912	-2808
10	52619	32120	186552	-75896	-2808
11	52619	32121	186552	-75880	-2816
12	52619	32122	186552	-75864	-2816
13	52619	32123	186552	-75848	-2824
14	52619	32124	186552	-75832	-2824
15	52619	32125	186552	-75816	-2824
16	52619	32126	186552	-75800	-2824
17	52619	32127	186552	-75784	-2824
18	52619	32128	186552	-75768	-2824
19	52619	32129	186552	-75752	-2824
20	52619	32130	186552	-75736	-2824
21	52619	32131	186552	-75720	-2824
22	52619	32132	186552	-75704	-2824
23	52619	32133	186552	-75688	-2824
24	52618	32133	186536	-75688	-2808
25	52618	32134	186536	-75672	-2808
26	52617	32134	186520	-75672	-2808
27	52616	32134	186504	-75672	-2800
28	52615	32134	186488	-75672	-2792
29	52614	32134	186472	-75672	-2784
30	52613	32134	186456	-75672	-2776
31	52612	32134	186440	-75672	-2768
32	52611	32134	186424	-75672	-2768
33	52610	32134	186408	-75672	-2760
34	52609	32134	186392	-75672	-2752
35	52608	32134	186376	-75672	-2744
36	52607	32134	186360	-75672	-2736
37	52606	32134	186344	-75672	-2728
38	52605	32134	186328	-75672	-2728
39	52604	32134	186312	-75672	-2728
40	52603	32134	186296	-75672	-2728
41	52602	32134	186280	-75672	-2728
42	52601	32134	186264	-75672	-2728
43	52600	32134	186248	-75672	-2728
44	52599	32134	186232	-75672	-2728
45	52598	32134	186216	-75672	-2728
46	52597	32134	186200	-75672	-2728
47	52596	32134	186184	-75672	-2728
48	52595	32134	186168	-75672	-2728
49	52594	32134	186152	-75672	-2728
50	52593	32134	186136	-75672	-2728
51	52592	32134	186120	-75672	-2728
52	52591	32134	186104	-75672	-2728
53	52590	32134	186088	-75672	-2728
54	52589	32134	186072	-75672	-2728
55	52588	32134	186056	-75672	-2728
56	52587	32134	186040	-75672	-2728
57	52586	32134	186024	-75672	-2728
58	52585	32134	186008	-75672	-2728
59	52584	32134	185992	-75672	-2728
60	52583	32134	185976	-75672	-2728
61	52582	32134	185960	-75672	-2728
62	52581	32134	185944	-75672	-2728
63	52580	32134	185928	-75672	-2728
64	52579	32134	185912	-75672	-2728
65	52578	32134	185896	-75672	-2728
66	52577	32134	185880	-75672	-2728
67	52576	32134	185864	-75672	-2728
68	52575	32134	185848	-75672	-2728
69	52574	32134	185832	-75672	-2728
70	52573	32134	185816	-75672	-2728
71	52572	32134	185800	-75672	-2728
72	52571	32134	185784	-75672	-2728
73	52570	32134	185768	-75672	-2728
74	52569	32134	185752	-75672	-2728
75	52568	32134	185736	-75672	-2728
76	52567	32134	185720	-75672	-2728
77	52566	32134	185704	-75672	-2728
78	52565	32134	185688	-75672	-2728
79	52564	32134	185672	-75672	-2728
