case_id	input	context_fixture	expected_status	expected_intent	expected_slots	minimum_confidence	reason_key
cyr001	пригласи Иван	player-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr002	позови Иван	player-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr003	пожалуйста пригласи Иван	player-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr004	ну позови Иван	player-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr005	пригласи Иван в группу	player-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr006	пригласи его	selected-managed	ACCEPTED	party.invite	TARGET_PLAYER=profile:00000000-0000-0000-0000-000000000019	6000	accept.matched
cyr007	пригласи лидера	leader	ACCEPTED	party.invite	TARGET_PLAYER=character.object:301	6000	accept.matched
cyr008	пригласи того	previous-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr009	пригласи меня	speaker-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr010	пригласи, Иван!	player-ivan	ACCEPTED	party.invite	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr011	согласен	none	ACCEPTED	party.accept	-	6000	accept.matched
cyr012	пожалуйста согласен	none	ACCEPTED	party.accept	-	6000	accept.matched
cyr013	принимаю	none	ACCEPTED	party.accept	-	6000	accept.matched
cyr014	да	none	ACCEPTED	party.accept	-	6000	accept.matched
cyr015	ну да	none	ACCEPTED	party.accept	-	6000	accept.matched
cyr016	отказываюсь	none	ACCEPTED	party.refuse	-	6000	accept.matched
cyr017	нет	none	ACCEPTED	party.refuse	-	6000	accept.matched
cyr018	не согласен	none	ACCEPTED	party.refuse	-	6000	accept.matched
cyr019	просто нет	none	ACCEPTED	party.refuse	-	6000	accept.matched
cyr020	пожалуйста отказываюсь	none	ACCEPTED	party.refuse	-	6000	accept.matched
cyr021	покинь группу	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr022	выйди из группы	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr023	уйди из группы	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr024	пожалуйста покинь группу	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr025	ну выйди из группы	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr026	просто уйди из группы	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr027	покинь, группу!	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr028	давай покинь группу	none	ACCEPTED	party.leave	-	6000	accept.matched
cyr029	нужен танк	none	ACCEPTED	party.role.query	PARTY_ROLE=party.role:frontline.guardian	6000	accept.matched
cyr030	кто нужен хилер	none	ACCEPTED	party.role.query	PARTY_ROLE=party.role:support.healer	6000	accept.matched
cyr031	нужен речардж	none	ACCEPTED	party.role.query	PARTY_ROLE=party.role:support.recharge	6000	accept.matched
cyr032	кто нужен бафер	none	ACCEPTED	party.role.query	PARTY_ROLE=party.role:support.enhancement	6000	accept.matched
cyr033	какая роль у Иван	player-ivan	ACCEPTED	party.role.query	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr034	какая роль у лидера	leader	ACCEPTED	party.role.query	TARGET_PLAYER=character.object:301	6000	accept.matched
cyr035	пожалуйста нужен танк	none	ACCEPTED	party.role.query	PARTY_ROLE=party.role:frontline.guardian	6000	accept.matched
cyr036	ну кто нужен хилер	none	ACCEPTED	party.role.query	PARTY_ROLE=party.role:support.healer	6000	accept.matched
cyr037	какая роль у его	selected-managed	ACCEPTED	party.role.query	TARGET_PLAYER=profile:00000000-0000-0000-0000-000000000019	6000	accept.matched
cyr038	кто нужен танк	none	ACCEPTED	party.role.query	PARTY_ROLE=party.role:frontline.guardian	6000	accept.matched
cyr039	идем в город гиран	none	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:giran.city	6000	accept.matched
cyr040	двигаемся в регион гиран	none	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:giran.region	6000	accept.matched
cyr041	идем в бакалея гирана	none	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:giran.shop.30081	6000	accept.matched
cyr042	идем в некрополь прошлого	none	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:ssq.necropolis.past	6000	accept.matched
cyr043	идем к центру гирана	none	ACCEPTED	party.travel	LOCATION=topology.node:giran.city	6000	accept.matched
cyr044	идем к магазин гирана	none	ACCEPTED	party.travel	LOCATION=topology.node:giran.shop.30081	6000	accept.matched
cyr045	идем туда	current-giran	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:giran.city	6000	accept.matched
cyr046	пожалуйста идем в город гиран	none	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:giran.city	6000	accept.matched
cyr047	ну двигаемся в регион гиран	none	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:giran.region	6000	accept.matched
cyr048	идем в город гиран!	none	ACCEPTED	party.travel	TOPOLOGY_NODE=topology.node:giran.city	6000	accept.matched
cyr049	нужно лечение	none	ACCEPTED	party.support.request	CAPABILITY=capability:combat.heal	6000	accept.matched
cyr050	дай усиление	none	ACCEPTED	party.support.request	CAPABILITY=capability:combat.buff	6000	accept.matched
cyr051	нужно танкование	none	ACCEPTED	party.support.request	CAPABILITY=capability:combat.tank	6000	accept.matched
cyr052	дай воскрешение	none	ACCEPTED	party.support.request	CAPABILITY=capability:combat.resurrection	6000	accept.matched
cyr053	помоги Иван	player-ivan	ACCEPTED	party.assist.request	TARGET_PLAYER=character.object:101	6000	accept.matched
cyr054	ассистируй Иван	player-ivan	ACCEPTED	party.assist.request	TARGET_PLAYER=character.object:101	6000	accept.matched
