source_family	coverage_key	entrance_status	entrance_kind	outside_anchor	inside_anchor	door_ids	door_default_statuses	floor_key	transition_source	geodata_status	planner_status	blocker	instance_id	room_territory	zone_refs	evidence_refs
TowerOfInsolence	003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	UNPROVEN						z:888:1088		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:888:1088:115292,13272|116168,13640|115680,14388|115132,14172	aden37_2318_05	data/spawns/Aden/TowerOfInsolence.xml|TOPOLOGY_CANDIDATES.tsv:003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1
TowerOfInsolence	01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	UNPROVEN						z:896:1096		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:896:1096:112324,17744|113000,17312|113404,17760|112972,18400	aden37_2318_08	data/spawns/Aden/TowerOfInsolence.xml|TOPOLOGY_CANDIDATES.tsv:01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f
CatacombOfTheWitch	018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	UNPROVEN						z:-5464:-5264		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5464:-5264:142524,81448|143203,81448|143203,83327|142524,83347	ssq13_2420_ssq05	data/spawns/Catacombs/CatacombOfTheWitch.xml|TOPOLOGY_CANDIDATES.tsv:018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58
NecropolisOfThePilgrims	01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	UNPROVEN						z:-5449:-5299		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5449:-5299:52667,123210|54012,123195|54010,123862|52673,123864	ssq07_2121_ssq16	data/spawns/Catacombs/NecropolisOfThePilgrims.xml|TOPOLOGY_CANDIDATES.tsv:01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433
NecropolisOfThePatriots	021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	UNPROVEN						z:-5205:-5055		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5205:-5055:-21684,81663|-21088,81659|-21094,82286|-21682,82282	ssq03_1920_ssq03	data/spawns/Catacombs/NecropolisOfThePatriots.xml|TOPOLOGY_CANDIDATES.tsv:021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16
NecropolisOfThePilgrims	0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	UNPROVEN						z:-5449:-5299		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5449:-5299:50625,116455|51260,116454|51259,117050|50631,117048	ssq07_2121_ssq28	data/spawns/Catacombs/NecropolisOfThePilgrims.xml|TOPOLOGY_CANDIDATES.tsv:0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918
NecropolisOfDevotion	02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	UNPROVEN						z:-4774:-4624		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-4774:-4624:-52241,83405|-51603,83405|-51593,84004|-52235,84020	ssq02_1820_ssq03	data/spawns/Catacombs/NecropolisOfDevotion.xml|TOPOLOGY_CANDIDATES.tsv:02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277
DevilsIsle	02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	UNPROVEN						z:-3060:-2860		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3060:-2860:50630,211383|51129,211383|51129,211858|50642,211858	giran08_2124_073	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361
TowerOfInsolence	0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	UNPROVEN				23180001|23180002	close|close	z:-2160:-1960		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-2160:-1960:114324,14992|114976,15004|115280,15128|115600,15432|115724,15728|115724,16388|115560,16720|115280,17008|114980,17136|114304,17144|114032,17024|113696,16700|113596,16416|113580,15720|113692,15436|114008,15108	aden35_2318_01	data/spawns/Aden/TowerOfInsolence.xml|TOPOLOGY_CANDIDATES.tsv:0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f|data/Doors.xml#23180001|data/Doors.xml#23180002
NecropolisOfSacrifice	04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	UNPROVEN						z:-5119:-4969		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5119:-4969:-46487,216906|-45115,216892|-45109,217549|-46483,217578	ssq01_1824_ssq11	data/spawns/Catacombs/NecropolisOfSacrifice.xml|TOPOLOGY_CANDIDATES.tsv:04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999
NecropolisOfThePilgrims	047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	UNPROVEN						z:-5449:-5299		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5449:-5299:52527,112901|53856,112912|53852,113581|52518,113563	ssq07_2121_ssq24	data/spawns/Catacombs/NecropolisOfThePilgrims.xml|TOPOLOGY_CANDIDATES.tsv:047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6
NecropolisOfDevotion	0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	UNPROVEN						z:-4775:-4625		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-4775:-4625:-43827,78815|-43178,78819|-43174,80155|-43838,80155	ssq02_1820_ssq15	data/spawns/Catacombs/NecropolisOfDevotion.xml|TOPOLOGY_CANDIDATES.tsv:0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961
CatacombOfTheForbiddenPath	0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	UNPROVEN						z:-9616:-9416		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-9616:-9416:15968,-248894|16668,-248894|16687,-247499|15968,-247502	ssq12_2320_ssq05	data/spawns/Catacombs/CatacombOfTheForbiddenPath.xml|TOPOLOGY_CANDIDATES.tsv:0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601
CatacombOfTheApostate	05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	UNPROVEN						z:-8199:-8049		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-8199:-8049:-20536,-246475|-19904,-246474|-19895,-245871|-20536,-245874	ssq11_2220_ssq03	data/spawns/Catacombs/CatacombOfTheApostate.xml|TOPOLOGY_CANDIDATES.tsv:05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758
IvoryTower	06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	UNPROVEN						z:-3720:-3120		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3720:-3120:95548,11520|97332,13276|94972,16864|93984,13832	oren30_2218_06s	data/spawns/Oren/IvoryTower.xml|TOPOLOGY_CANDIDATES.tsv:06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164
TowerOfInsolence	06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	UNPROVEN						z:888:1088		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:888:1088:116308,13744|116924,14372|116252,14872|115852,14504	aden37_2318_04	data/spawns/Aden/TowerOfInsolence.xml|TOPOLOGY_CANDIDATES.tsv:06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94
TowerOfInsolence	06fee8bd847287fd403eda1bae341e137fcd793b8841cf366dfcce412b2e3c64	UNPROVEN						z:3933:4283		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:3933:4283:114524,17013|115433,16626|115802,17479|114863,17889	aden40_2318_06	data/spawns/Aden/TowerOfInsolence.xml|TOPOLOGY_CANDIDATES.tsv:06fee8bd847287fd403eda1bae341e137fcd793b8841cf366dfcce412b2e3c64
CatacombOfTheHeretic	0717538beb7cf9175429ef4cce0943160fa5d194492485a831862b7898d53416	UNPROVEN						z:-7943:-7793		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-7943:-7793:-51024,-246956|-50393,-246958|-50389,-245628|-51031,-245623	ssq06_2122_ssq07	data/spawns/Catacombs/CatacombOfTheHeretic.xml|TOPOLOGY_CANDIDATES.tsv:0717538beb7cf9175429ef4cce0943160fa5d194492485a831862b7898d53416
CatacombOfTheApostate	072a51911bfa6e6e8cfd555c2f8739004fdf6d54fb157714cee943f9f744a053	UNPROVEN						z:-8200:-8050		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-8200:-8050:-14825,-243409|-14197,-243401|-14199,-242039|-14821,-242031	ssq11_2220_ssq27	data/spawns/Catacombs/CatacombOfTheApostate.xml|TOPOLOGY_CANDIDATES.tsv:072a51911bfa6e6e8cfd555c2f8739004fdf6d54fb157714cee943f9f744a053
