row_kind	family	coverage_key	source_family	status	blocker	blocker_edge_id	geo_reason	entrance_class	entrance_owner	native_condition	farm_anchor_id	internal_component_id	source_path	floor_key	proof_ref
GROUP	TOWER_OF_INSOLENCE	003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TowerOfInsolence	REACHABLE_CONDITIONAL			PROVEN_NATIVE_ENTRY_AND_INTERNAL_GRAPH	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NOBLESSE_TOKEN_13722_OR_NOBLES_ADENA_1000;EXACT_FLOOR_DESTINATION	generated.farm.003ce483f1390dd1f2c56598.anchor	component.466c51ee761838d01643a1cf	data/spawns/Aden/TowerOfInsolence.xml	z:888:1088	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	TOWER_OF_INSOLENCE	01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TowerOfInsolence	REACHABLE_CONDITIONAL			PROVEN_NATIVE_ENTRY_AND_INTERNAL_GRAPH	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NOBLESSE_TOKEN_13722_OR_NOBLES_ADENA_1000;EXACT_FLOOR_DESTINATION	generated.farm.01196fc406e6183446f2b1c4.anchor	component.466c51ee761838d01643a1cf	data/spawns/Aden/TowerOfInsolence.xml	z:896:1096	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	CatacombOfTheWitch	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31117.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.018e0d62812dab482b8e9b66.anchor	component.acae4dfbcc94433b54ab8989	data/spawns/Catacombs/CatacombOfTheWitch.xml	z:-5464:-5264	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	NecropolisOfThePilgrims	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31096.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.01b1defa9522009b05e93ef2.anchor	component.cbddc918f33160dda52bb64d	data/spawns/Catacombs/NecropolisOfThePilgrims.xml	z:-5449:-5299	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	NecropolisOfThePatriots	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31098.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.021822d8a1cb8c1c2a32ea67.anchor	component.888b1c386bb56285d9aedda1	data/spawns/Catacombs/NecropolisOfThePatriots.xml	z:-5205:-5055	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	NecropolisOfThePilgrims	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31096.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.0251d78e20131518ee9f324d.anchor	component.cbddc918f33160dda52bb64d	data/spawns/Catacombs/NecropolisOfThePilgrims.xml	z:-5449:-5299	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	NecropolisOfDevotion	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31099.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.02ba0f777f16cfc2ec39483b.anchor	component.4f51ad139140e844e92eec35	data/spawns/Catacombs/NecropolisOfDevotion.xml	z:-4774:-4624	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	DEVILS_ISLE	02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DevilsIsle	GEODATA_INTERNAL_BLOCKED	GEODATA_INTERNAL_BLOCKED	content.edge.2f245bd67242132243b83a07	PATH_SEGMENT_BLOCKED	NORMAL	data/teleporters/town/30080.xml	NORMAL_NATIVE	generated.farm.02f3460b46ad2daccf3455d4.anchor	component.ff2770f1156bc4ee6cac8379	data/spawns/Giran/DevilsIsle.xml	z:-3060:-2860	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	TOWER_OF_INSOLENCE	0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TowerOfInsolence	DOOR_STATE_BLOCKED	DOOR_STATE_BLOCKED	native_closed_door	default_status=close	NORMAL	data/teleporters/town/30848.xml	NORMAL_NATIVE	generated.farm.0342f2ab29359668ef4eb46b.anchor	component.a8733388f98d1c365934382d	data/spawns/Aden/TowerOfInsolence.xml	z:-2160:-1960	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	NecropolisOfSacrifice	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31095.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.04199f10955f0df4ab3ac51c.anchor	component.ce7bae4e503482cb2b998003	data/spawns/Catacombs/NecropolisOfSacrifice.xml	z:-5119:-4969	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	NecropolisOfThePilgrims	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31096.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.047e45cfcece79be9e9372d1.anchor	component.cbddc918f33160dda52bb64d	data/spawns/Catacombs/NecropolisOfThePilgrims.xml	z:-5449:-5299	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	NecropolisOfDevotion	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31099.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.0561637d99bf779d51d7d316.anchor	component.4f51ad139140e844e92eec35	data/spawns/Catacombs/NecropolisOfDevotion.xml	z:-4775:-4625	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	CatacombOfTheForbiddenPath	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31119.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.0570910db17d9f20a9d86883.anchor	component.137ee57453c450cb1450f091	data/spawns/Catacombs/CatacombOfTheForbiddenPath.xml	z:-9616:-9416	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	SSQ_CATACOMBS_NECROPOLIS	05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	CatacombOfTheApostate	NATIVE_CONDITION_UNMODELED	NATIVE_CONDITION_UNMODELED	ZIGGURAT_OTHER	PROVEN_INTERNAL_GRAPH	SCRIPT_CONDITIONAL	data/teleporters/dungeon/31116.xml	OTHER_holder_unmodeled;OracleTeleport_rift_branch:level>=20,activeQuests<=40,item7079,levelScaledAdena;not_backgroundEligible	generated.farm.05bbbe1f28986b0a9c5cc4d0.anchor	component.034a5b9796857e6f481e60f0	data/spawns/Catacombs/CatacombOfTheApostate.xml	z:-8199:-8049	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	IVORY_TOWER	06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IvoryTower	CONTENT_TELEPORT_SEMANTIC_BLOCKED	CONTENT_TELEPORT_SEMANTIC_BLOCKED	IVORY_OTHER	NO_PROVEN_NATIVE_ENTRY_TO_ROOM	NORMAL	data/teleporters/town/30177.xml	NORMAL_NATIVE	generated.farm.06ce1343592e93889b5c2352.anchor	component.c4b636c9eb8016830063ad9d	data/spawns/Oren/IvoryTower.xml	z:-3720:-3120	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	TOWER_OF_INSOLENCE	06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TowerOfInsolence	REACHABLE_CONDITIONAL			PROVEN_NATIVE_ENTRY_AND_INTERNAL_GRAPH	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NOBLESSE_TOKEN_13722_OR_NOBLES_ADENA_1000;EXACT_FLOOR_DESTINATION	generated.farm.06de56e48e26f447faba1eec.anchor	component.466c51ee761838d01643a1cf	data/spawns/Aden/TowerOfInsolence.xml	z:888:1088	data/phantoms/evidence/live002-content-anchor-geo.tsv
GROUP	TOWER_OF_INSOLENCE	06fee8bd847287fd403eda1bae341e137fcd793b8841cf366dfcce412b2e3c64	TowerOfInsolence	GEODATA_INTERNAL_BLOCKED	GEODATA_INTERNAL_BLOCKED	content.edge.6c9f9b2f2eb07a34cf993814	NO_PATH_WITHIN_BUFFER	NORMAL	data/teleporters/town/30848.xml	NORMAL_NATIVE	generated.farm.06fee8bd847287fd403eda1b.anchor	component.a1b53bce22fbf4c9b69281cd	data/spawns/Aden/TowerOfInsolence.xml	z:3933:4283	data/phantoms/evidence/live002-content-anchor-geo.tsv
