connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.bridge.140f7515dbbe6d94a0b1444e	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.b3c506f879469832e1f5e977.anchor	49441	220257	-3584	48317	219987	-3584	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	1156
content.bridge.8d2c3993387f94be1cb9d533	DEVILS_ISLE	DevilsIsle	generated.farm.0cfb8358fd4e4c4b3fd43e1f.anchor	generated.farm.e10f1a2e01f362b2d97892f6.anchor	43614	213590	-3712	44231	212510	-3712	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	1244
content.bridge.ccbb2f115dad615bdeeb25ca	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.249a7831febb71267b349c4a.anchor	49441	220257	-3584	48903	218874	-3584	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	1484
content.bridge.7fb401cf0aace707abb9fa1b	DEVILS_ISLE	DevilsIsle	generated.farm.6b786e1c0dd0685449ed5efc.anchor	generated.farm.f5fe8b6b1af5e3a4b087be25.anchor	42152	212508	-3712	42161	214194	-3712	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	1687
content.bridge.7deb3359362e4e1699c4e052	DEVILS_ISLE	DevilsIsle	generated.farm.7fe0706d470228a627209868.anchor	generated.farm.93d3857fae924cae1a747693.anchor	46584	210594	-3592	47894	212506	-3344	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	2331
content.bridge.acbc118e148319eed1a9bf02	DEVILS_ISLE	DevilsIsle	generated.farm.0d58be8322d126fd103d1799.anchor	generated.farm.26cdc2a0529f8dbd600d5562.anchor	48241	206962	-3520	50127	208268	-2704	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	2435
content.bridge.f5555f3df459289d330a2f96	DEVILS_ISLE	DevilsIsle	generated.farm.32030ead7ab63c0f3ff5d307.anchor	generated.farm.7428ed8d09596a3467e9da7f.anchor	45666	212569	-3752	47964	213774	-3424	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	2616
content.bridge.4b3a51f14015b13b09bc85a1	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.a32f22aea8b15cc2eeb525c5.anchor	48448	208626	-3552	45799	209611	-3592	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	2827
content.bridge.73236b150696701d05d1df93	DEVILS_ISLE	DevilsIsle	generated.farm.d11d2a30ca183a08744a7a92.anchor	generated.farm.32ffd656856492185c94d6c7.anchor	50083	210401	-3728	47437	211609	-3592	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	2912
content.bridge.8a726b41106ac4198c1e201f	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.f6b78cd1050f37ba9023d939.anchor	49441	220257	-3584	48909	217325	-3584	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	2980
content.bridge.570cb059bdbfc46b4fa6722e	DEVILS_ISLE	DevilsIsle	generated.farm.3f1497cd3cf69b18164eb3d8.anchor	generated.farm.f684983fdb6a1ba7d13241fb.anchor	45282	216235	-3904	48277	216069	-3584	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3017
content.bridge.2646f6e1e40f2b55b4918ef6	DEVILS_ISLE	DevilsIsle	generated.farm.1991e88e53e504fb9709fedc.anchor	generated.farm.727636f611ea22b87fae9606.anchor	49528	207404	-3592	49816	210366	-2704	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3106
content.bridge.9e0cfd11e82bdd67c85eabcb	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.0f93cd0ce1e5c8bef14dcca9.anchor	48448	208626	-3552	49081	211948	-3344	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3389
content.bridge.bc44046015556187e9c22b79	DEVILS_ISLE	DevilsIsle	generated.farm.1168bd89e8693814315a56d2.anchor	generated.farm.2cc58b1a38dda7cf0aa18860.anchor	46777	215933	-3752	49082	213336	-3424	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3488
content.bridge.27f9fb7a4f8427997840e746	DEVILS_ISLE	DevilsIsle	generated.farm.5844391794232531818c2c53.anchor	generated.farm.44d106775916043501d3f163.anchor	47276	209176	-3584	49849	211615	-3224	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3564
content.bridge.05a1ed0891a8a168ecad31fd	DEVILS_ISLE	DevilsIsle	generated.farm.bea70c8b55217f2d3a4c2703.anchor	generated.farm.54b4a5284bb69a860c5ba3a6.anchor	50843	206598	-4000	50879	209960	-2704	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3604
content.bridge.7676381ed61096fdf6549d74	DEVILS_ISLE	DevilsIsle	generated.farm.bea70c8b55217f2d3a4c2703.anchor	generated.farm.aa3465328a9f7c4f498131a4.anchor	50843	206598	-4000	51604	209960	-2608	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3718
content.bridge.4c53a77289c294c0ae7d5477	DEVILS_ISLE	DevilsIsle	generated.farm.32030ead7ab63c0f3ff5d307.anchor	generated.farm.0b1f91e21cb2b235abb8b3eb.anchor	45666	212569	-3752	49082	214093	-3424	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3755
content.bridge.de167bbf17110e7b575b686b	DEVILS_ISLE	DevilsIsle	generated.farm.b518232112aaf0c6a53e36cf.anchor	generated.farm.ff510820d435e13ea81ec3ca.anchor	46743	217545	-3752	49086	214498	-3504	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3852
content.bridge.7aa4bb892e17b13fb085feb6	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.197f72e29e8bdd3eb57c5280.anchor	48448	208626	-3552	52226	208922	-2464	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	3943
content.bridge.83fd9c7d704bcc38cf1b58d5	DEVILS_ISLE	DevilsIsle	generated.farm.5844391794232531818c2c53.anchor	generated.farm.1a5bf02c5550c83f7d43221a.anchor	47276	209176	-3584	50862	210942	-2904	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4055
content.bridge.65b67c54dc3da0787fdddc54	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.8e98797f6fb795a46cd4d962.anchor	49441	220257	-3584	52220	217250	-3336	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4102
content.bridge.681ad9f235332fffb0934b5e	DEVILS_ISLE	DevilsIsle	generated.farm.6b09ee1d3852d548b02efb72.anchor	generated.farm.cc17488fb251d241e69c50fa.anchor	45315	215591	-3904	49468	215909	-3584	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4178
content.bridge.06b10fa30270cb794f93cd37	DEVILS_ISLE	DevilsIsle	generated.farm.b30369f621b577fce042a3e8.anchor	generated.farm.2b62b01782e484a9d8d6e20d.anchor	45797	213402	-3752	50114	213785	-3364	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4352
content.bridge.d1856130a224e9aa4f3a6c16	DEVILS_ISLE	DevilsIsle	generated.farm.7fe0706d470228a627209868.anchor	generated.farm.02f3460b46ad2daccf3455d4.anchor	46584	210594	-3592	50882	211620	-3024	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4456
content.bridge.95bfd752917b85272448e640	DEVILS_ISLE	DevilsIsle	generated.farm.fa92c35d572b5318b07c7af1.anchor	generated.farm.a369af9a2363f4ba9b2c0046.anchor	45875	211773	-3640	50260	212504	-3344	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4456
content.bridge.51bd963b8db05e3fd93eb28c	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.e63eebe6d2e8eb9e622a464b.anchor	48448	208626	-3552	52593	209968	-2464	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4491
content.bridge.f6157a3c45d0751c450965cb	DEVILS_ISLE	DevilsIsle	generated.farm.bea70c8b55217f2d3a4c2703.anchor	generated.farm.7690ff7815711ed728f8fed1.anchor	50843	206598	-4000	52220	210994	-2464	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4856
content.bridge.1070e8194f9cc24be7f48898	DEVILS_ISLE	DevilsIsle	generated.farm.bea70c8b55217f2d3a4c2703.anchor	generated.farm.28f24d17defb1e40d4c3f272.anchor	50843	206598	-4000	51929	211263	-3024	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4889
content.bridge.1a48aec9b34bbfa94b5896c1	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.43ebc61747fc037eabbc58fc.anchor	48448	208626	-3552	52149	205402	-3880	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	4920
content.bridge.9798cd79a0429230a122ec8e	DEVILS_ISLE	DevilsIsle	generated.farm.d11d2a30ca183a08744a7a92.anchor	generated.farm.36715714c54c1ca62f741941.anchor	50083	210401	-3728	51413	205551	-4000	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5037
content.bridge.49e3048ef2196d1da42ed123	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.16ff11210a125a9bcc695726.anchor	48448	208626	-3552	53604	208957	-2464	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5280
content.bridge.bd1166d54066294392377fb2	DEVILS_ISLE	DevilsIsle	generated.farm.5844391794232531818c2c53.anchor	generated.farm.5ff4440a1e081d06c2712b6a.anchor	47276	209176	-3584	51592	212516	-3344	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5463
content.bridge.cf0e201b15c7b4dd2a5e0f75	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.1293ef162e479b96da1b6c37.anchor	49441	220257	-3584	51281	215080	-3744	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5497
content.bridge.02f12a32dce331423a53ce53	DEVILS_ISLE	DevilsIsle	generated.farm.0d58be8322d126fd103d1799.anchor	generated.farm.e39d7e1d3993532559223e57.anchor	48241	206962	-3520	53773	206732	-3720	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5541
content.bridge.7b4b36af5f403b9f1cd5bb05	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.3f6dc2670fb114808c8d7b12.anchor	48448	208626	-3552	53489	210757	-2456	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5582
content.bridge.5641fafc335bdc6d28486194	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.41f9a2919fea6b533d03885d.anchor	48448	208626	-3552	53842	209964	-2464	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5663
content.bridge.b9997c692383ac572072d502	DEVILS_ISLE	DevilsIsle	generated.farm.bea70c8b55217f2d3a4c2703.anchor	generated.farm.700cb41de222c3911513268e.anchor	50843	206598	-4000	52379	212080	-3344	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5731
content.bridge.a7c2c5cf4dd05449df29cf71	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.40af9f40b57ea9cd42e3aaf7.anchor	49441	220257	-3584	52214	215156	-3336	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5812
content.bridge.6df9cdd71ed7ec45400b0a17	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.5bb65a568a31ac59423e5f35.anchor	49441	220257	-3584	53438	215871	-4056	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5953
content.bridge.d55fc8220f785ef610477230	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.58e7efa4ffc5c3fe89bc3822.anchor	49441	220257	-3584	51773	214789	-4004	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	5960
content.bridge.6ef6ee712a6cbef7eed41667	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.516fe93c4e16a4610b09d4c0.anchor	49441	220257	-3584	52518	214410	-4216	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	6638
content.bridge.040651e29ee7a179df117d19	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.562889de3bc9c19b5901bd74.anchor	48448	208626	-3552	55049	209949	-2464	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	6820
content.bridge.2dbc11d4b9353714a7aa575b	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.dad828b80defa2994537f4a4.anchor	48448	208626	-3552	55042	210544	-2464	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	6953
content.bridge.078f1f026b8f43ccf152de9f	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.e667f5ba6ea5fcda728a4fad.anchor	49441	220257	-3584	55101	216166	-4056	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	7000
content.bridge.0ca3f2bf780f003cb921c89f	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.854e7ba9648bfb44a6bd4bdc.anchor	48448	208626	-3552	55005	211856	-3880	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	7317
content.bridge.3c5cd1fbed5bc631d279cf8a	DEVILS_ISLE	DevilsIsle	generated.farm.f847b1b8d2b3b5b1bda757a6.anchor	generated.farm.9e55866a98bd50589854bf43.anchor	48448	208626	-3552	54982	211998	-3880	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	7361
content.bridge.d328f45f764b4f886b21b207	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.8f6454d7218e4df02a4bb6dd.anchor	49441	220257	-3584	55166	215094	-4216	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	7736
content.bridge.4ea6b3e5f115b05e99115a71	DEVILS_ISLE	DevilsIsle	generated.farm.89c65b1f432cc04d377d0d23.anchor	generated.farm.abe6ab0befb2a33740ddcdc4.anchor	49441	220257	-3584	55163	213986	-4216	WALK_PASSAGE	data/teleporters/town/30080.xml	COMPONENT_BOUNDARY_BRIDGE	8513
