family	coverage_key	source_family	source_path	source_group	room_territory	floor_key	anchor_id	anchor_x	anchor_y	anchor_z	local_x	local_y	local_z	validation_status	collision_proof	candidate_attempts	entrance_class	access_status	internal_component_id
TOWER_OF_INSOLENCE	003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	TowerOfInsolence	data/spawns/Aden/TowerOfInsolence.xml	aden37_2318_05	territory:888:1088:115292,13272|116168,13640|115680,14388|115132,14172	z:888:1088	generated.farm.003ce483f1390dd1f2c56598.anchor	115568	13868	928	115584	13868	928	VALID	STATIC_XML_CLEAR	1	NOBLESSE_CONDITIONAL	REACHABLE_CONDITIONAL	component.466c51ee761838d01643a1cf
TOWER_OF_INSOLENCE	01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TowerOfInsolence	data/spawns/Aden/TowerOfInsolence.xml	aden37_2318_08	territory:896:1096:112324,17744|113000,17312|113404,17760|112972,18400	z:896:1096	generated.farm.01196fc406e6183446f2b1c4.anchor	112925	17804	928	112941	17804	928	VALID	STATIC_XML_CLEAR	1	NOBLESSE_CONDITIONAL	REACHABLE_CONDITIONAL	component.466c51ee761838d01643a1cf
SSQ_CATACOMBS_NECROPOLIS	018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	CatacombOfTheWitch	data/spawns/Catacombs/CatacombOfTheWitch.xml	ssq13_2420_ssq05	territory:-5464:-5264:142524,81448|143203,81448|143203,83327|142524,83347	z:-5464:-5264	generated.farm.018e0d62812dab482b8e9b66.anchor	142864	82392	-5424	142880	82392	-5424	VALID	STATIC_XML_CLEAR	1	SCRIPT_CONDITIONAL	NATIVE_CONDITION_UNMODELED	component.acae4dfbcc94433b54ab8989
SSQ_CATACOMBS_NECROPOLIS	01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	NecropolisOfThePilgrims	data/spawns/Catacombs/NecropolisOfThePilgrims.xml	ssq07_2121_ssq16	territory:-5449:-5299:52667,123210|54012,123195|54010,123862|52673,123864	z:-5449:-5299	generated.farm.01b1defa9522009b05e93ef2.anchor	53340	123533	-5408	53356	123533	-5408	VALID	STATIC_XML_CLEAR	1	SCRIPT_CONDITIONAL	NATIVE_CONDITION_UNMODELED	component.cbddc918f33160dda52bb64d
SSQ_CATACOMBS_NECROPOLIS	021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	NecropolisOfThePatriots	data/spawns/Catacombs/NecropolisOfThePatriots.xml	ssq03_1920_ssq03	territory:-5205:-5055:-21684,81663|-21088,81659|-21094,82286|-21682,82282	z:-5205:-5055	generated.farm.021822d8a1cb8c1c2a32ea67.anchor	-21387	81972	-5168	-21371	81972	-5168	VALID	STATIC_XML_CLEAR	1	SCRIPT_CONDITIONAL	NATIVE_CONDITION_UNMODELED	component.888b1c386bb56285d9aedda1
SSQ_CATACOMBS_NECROPOLIS	0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	NecropolisOfThePilgrims	data/spawns/Catacombs/NecropolisOfThePilgrims.xml	ssq07_2121_ssq28	territory:-5449:-5299:50625,116455|51260,116454|51259,117050|50631,117048	z:-5449:-5299	generated.farm.0251d78e20131518ee9f324d.anchor	50944	116752	-5408	50960	116752	-5408	VALID	STATIC_XML_CLEAR	1	SCRIPT_CONDITIONAL	NATIVE_CONDITION_UNMODELED	component.cbddc918f33160dda52bb64d
SSQ_CATACOMBS_NECROPOLIS	02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	NecropolisOfDevotion	data/spawns/Catacombs/NecropolisOfDevotion.xml	ssq02_1820_ssq03	territory:-4774:-4624:-52241,83405|-51603,83405|-51593,84004|-52235,84020	z:-4774:-4624	generated.farm.02ba0f777f16cfc2ec39483b.anchor	-51918	83708	-4736	-51902	83708	-4736	VALID	STATIC_XML_CLEAR	1	SCRIPT_CONDITIONAL	NATIVE_CONDITION_UNMODELED	component.4f51ad139140e844e92eec35
DEVILS_ISLE	02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DevilsIsle	data/spawns/Giran/DevilsIsle.xml	giran08_2124_073	territory:-3060:-2860:50630,211383|51129,211383|51129,211858|50642,211858	z:-3060:-2860	generated.farm.02f3460b46ad2daccf3455d4.anchor	50882	211620	-3024	50898	211620	-3024	VALID	STATIC_XML_CLEAR	1	NORMAL	GEODATA_INTERNAL_BLOCKED	component.ff2770f1156bc4ee6cac8379
TOWER_OF_INSOLENCE	0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TowerOfInsolence	data/spawns/Aden/TowerOfInsolence.xml	aden35_2318_01	territory:-2160:-1960:114324,14992|114976,15004|115280,15128|115600,15432|115724,15728|115724,16388|115560,16720|115280,17008|114980,17136|114304,17144|114032,17024|113696,16700|113596,16416|113580,15720|113692,15436|114008,15108	z:-2160:-1960	generated.farm.0342f2ab29359668ef4eb46b.anchor	114647	16068	-2120	114663	16068	-2120	VALID	STATIC_XML_CLEAR	1	NORMAL	DOOR_STATE_BLOCKED	component.a8733388f98d1c365934382d
SSQ_CATACOMBS_NECROPOLIS	04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	NecropolisOfSacrifice	data/spawns/Catacombs/NecropolisOfSacrifice.xml	ssq01_1824_ssq11	territory:-5119:-4969:-46487,216906|-45115,216892|-45109,217549|-46483,217578	z:-5119:-4969	generated.farm.04199f10955f0df4ab3ac51c.anchor	-45798	217231	-5080	-45782	217231	-5080	VALID	STATIC_XML_CLEAR	1	SCRIPT_CONDITIONAL	NATIVE_CONDITION_UNMODELED	component.ce7bae4e503482cb2b998003
