connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.edge.003b6da1edc85f68f7a3f322	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheWitch	generated.farm.2ef967be2a098437fd8e58c5.anchor	generated.farm.f9f3c9dc77615632096b1dd1.anchor	146485	85380	-5424	148000	87254	-5424	SCRIPT_CONDITIONAL	dungeon/31117.xml	NATIVE_ROOM_SPANNING	2410
content.edge.00a0b4515b3ffd223bc2b0f1	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.9f2999152d0bde899d8b5a16.anchor	generated.farm.7f80d8980ae00ec702cadf93.anchor	115931	17350	-3608	115958	17421	-5096	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ROOM_SPANNING	1490
content.edge.010e789b3cbc462b8f9af2b3	SSQ_CATACOMBS_NECROPOLIS	NecropolisOfThePilgrims	generated.farm.e31904cfc982921fd1bba3c0.anchor	generated.farm.7899965a2fe2b89495d62605.anchor	50950	118927	-5408	50946	117844	-5408	SCRIPT_CONDITIONAL	dungeon/31096.xml	NATIVE_ROOM_SPANNING	1084
content.edge.0148ccf3050b79dfe7f87e92	SSQ_CATACOMBS_NECROPOLIS	NecropolisOfDevotion	generated.farm.8207454758980f05f3d773a4.anchor	generated.farm.cc83473fdeb209c66182b291.anchor	-42224	87267	-4736	-42860	85093	-4736	SCRIPT_CONDITIONAL	dungeon/31099.xml	NATIVE_ROOM_SPANNING	2266
content.edge.0187bbfa6bb8f51fa5311a9d	SSQ_CATACOMBS_NECROPOLIS	NecropolisOfMartyrdom	generated.farm.4ee3ec4e852d5a76105439f3.anchor	generated.farm.2667a812e0761a158b3828cd.anchor	119774	136266	-4824	118957	135030	-4824	SCRIPT_CONDITIONAL	dungeon/31100.xml	NATIVE_ROOM_SPANNING	1482
content.edge.01dc6149fa7d1b863a1dedae	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.bbbecb5b9657054418d4b673.anchor	generated.farm.aca55a8252d93ee24ba599e9.anchor	-15893	-241730	-8160	-18066	-241093	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ROOM_SPANNING	2265
content.edge.02a42e0043a8d83a3746290a	DEVILS_ISLE	DevilsIsle	generated.farm.bea70c8b55217f2d3a4c2703.anchor	generated.farm.36715714c54c1ca62f741941.anchor	50843	206598	-4000	51413	205551	-4000	NORMAL	data/teleporters/town/30080.xml	NATIVE_ROOM_SPANNING	1193
content.edge.02bf689f9e42b2de0e92e8dc	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.15119b73d21e29db70861bab.anchor	generated.farm.448c9e186db2db4ceb90572e.anchor	113369	16068	1944	113025	16454	2952	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ROOM_SPANNING	1133
content.edge.035241fd6d0badf9454b3e54	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.d0b63b05f9bc023f251bd17a.anchor	generated.farm.f3dac0a8425b271bd215a74f.anchor	114563	16496	-640	114724	15551	-640	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ROOM_SPANNING	959
content.edge.052b6ddb2ace72ecef4b779b	SSQ_CATACOMBS_NECROPOLIS	NecropolisOfTheDisciples	generated.farm.9571d6fa6b737f47385e19a1.anchor	generated.farm.f58f261c18c9f3405cca7caf.anchor	174866	-17612	-4896	176310	-17219	-4896	SCRIPT_CONDITIONAL	dungeon/31101.xml	NATIVE_ROOM_SPANNING	1497
content.edge.05407ba7db75d1982f08ca09	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.38b68e68ac3353a432b2e592.anchor	generated.farm.61abcaf9558faaf3ac5d0be9.anchor	115833	15575	3960	116114	16672	3960	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ROOM_SPANNING	1133
content.edge.056598ca98977460e8bd4979	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheWitch	generated.farm.25c4cceb85a64afa16b7b0e9.anchor	generated.farm.e184ed4a4a40241dc73ce2ac.anchor	145408	79684	-5424	146478	79678	-5424	SCRIPT_CONDITIONAL	dungeon/31117.xml	NATIVE_ROOM_SPANNING	1071
content.edge.05cd9ab664f3db02bbe3d46f	SSQ_CATACOMBS_NECROPOLIS	NecropolisOfTheDisciples	generated.farm.602209bcafc49701c110fad8.anchor	generated.farm.3d7e77b408a6d678ac86110c.anchor	177248	-11924	-4896	175360	-11543	-4896	SCRIPT_CONDITIONAL	dungeon/31101.xml	NATIVE_ROOM_SPANNING	1927
content.edge.065534f0c2131c4d9602ae6b	SSQ_CATACOMBS_NECROPOLIS	NecropolisOfThePilgrims	generated.farm.8fb0d9d00cc09982d1a1a86a.anchor	generated.farm.383b2f11c773c501d5a80426.anchor	46532	122886	-5408	46520	121136	-5408	SCRIPT_CONDITIONAL	dungeon/31096.xml	NATIVE_ROOM_SPANNING	1751
