connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.bridge.23bb1cc35c731ff69ab3c741	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.d0acb54fb45f64c750753b3f.anchor	177962	-78188	-3376	177960	-81043	-4024	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	2928
content.bridge.7c51a12bd7c668e097eceea8	IMPERIAL_TOMB	ImperialTomb	generated.farm.eb19b9fba767b54ef29e9070.anchor	generated.farm.11e5c21033dc9a3f75ca7ebd.anchor	175073	-78218	-2728	175102	-81091	-3376	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	2946
content.bridge.f4ff95037b933d4babb3873a	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.e1f713cd1471a176f5fb632d.anchor	177962	-78188	-3376	180820	-81018	-4672	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	4226
content.bridge.0c1050f2159d3af07b4bf7b0	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.6291986d89ade1f56ea17160.anchor	177962	-78188	-3376	180620	-82324	-6592	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	5875
content.bridge.6505c6175c7175dee84e4b2f	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.65f2c33fbfea3c51738dfccd.anchor	177962	-78188	-3376	183670	-78108	-5960	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	6267
content.bridge.01bc922a8490d293d1311583	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.6b6f6c2545639fb2f48a1515.anchor	177962	-78188	-3376	183665	-80987	-5320	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	6644
content.bridge.cc4f335873a7f09abd66a312	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.c33b905ac0194e9ae4520c61.anchor	177962	-78188	-3376	181064	-83400	-6592	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	6866
content.bridge.c98921bf4bd1dc9ad4ee27db	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.8a09c0c169c64214e17f0247.anchor	177962	-78188	-3376	183679	-83872	-5960	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	8466
content.bridge.dac37d4cec3b9be2ed027f9d	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.4f0b1780f352370bcdae7327.anchor	177962	-78188	-3376	186549	-78098	-6608	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	9176
content.bridge.65779fa159cc60f6e293a4f9	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.fa744c535286dc2ceeee001e.anchor	177962	-78188	-3376	186556	-80988	-5960	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	9401
content.bridge.e8e412e38f55942c83f83918	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.4f3be7fae963d8c88704f4a8.anchor	177962	-78188	-3376	186542	-83852	-5320	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	10464
content.bridge.fc5a2e36afa03d7eeb605f14	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.09edc98c74eb257722cb0c34.anchor	177962	-78188	-3376	189447	-78098	-7256	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	12124
content.bridge.b18c24db16724faac10a402c	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.afd63c757206e9f4a0987356.anchor	177962	-78188	-3376	189446	-80970	-6608	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	12251
content.bridge.91f358047a8491505622c489	IMPERIAL_TOMB	ImperialTomb	generated.farm.7404957fd9f2ac9aa8910274.anchor	generated.farm.121af166e52d46efe8e1e15d.anchor	177962	-78188	-3376	189438	-83846	-5960	WALK_PASSAGE	data/teleporters/town/31275.xml	COMPONENT_BOUNDARY_BRIDGE	13054
