connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.seed.retry.b3b5f11217cf7a852fb6d9b3	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.65f2c33fbfea3c51738dfccd.anchor	186699	-75915	-2826	183670	-78108	-5960	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	4880
content.seed.retry.c75a8855d8cf708a51be1fa8	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.09edc98c74eb257722cb0c34.anchor	186699	-75915	-2826	189447	-78098	-7256	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	5652
content.seed.retry.543d73f8d9fce464b08b4221	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.0ac141f2d795f5695b18d40a.anchor	186699	-75915	-2826	181429	-78686	-2728	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	5955
content.seed.retry.ffbc77ece13f8ffa719241e6	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.fa744c535286dc2ceeee001e.anchor	186699	-75915	-2826	186556	-80988	-5960	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	5965
content.seed.retry.392b77ff6a62dffb2a4e540b	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.72007cc387f17e963e4fcf2c.anchor	186699	-75915	-2826	180488	-75315	-2728	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	6241
content.seed.retry.351e568bca56d243589a2cae	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.6b6f6c2545639fb2f48a1515.anchor	186699	-75915	-2826	183665	-80987	-5320	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	6415
content.seed.retry.964ca9f7ffeee6924c2a08cc	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.afd63c757206e9f4a0987356.anchor	186699	-75915	-2826	189446	-80970	-6608	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	6885
content.seed.retry.06c6f7a90cbaff0823ccd338	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.e1f713cd1471a176f5fb632d.anchor	186699	-75915	-2826	180820	-81018	-4672	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	8001
content.seed.retry.3f5d6b8ca5a96e81d01d15ba	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.4f3be7fae963d8c88704f4a8.anchor	186699	-75915	-2826	186542	-83852	-5320	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	8322
content.seed.retry.69e33cb2c0643f9102949b96	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.33630bee515c5257b2db0fe8.anchor	186699	-75915	-2826	177900	-75318	-2728	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	8820
content.seed.retry.ff0d1c4f50c01219f4aa1ed3	IMPERIAL_TOMB	ImperialTomb	entry.d825710789c684cbdd5a5c7e	generated.farm.121af166e52d46efe8e1e15d.anchor	186699	-75915	-2826	189438	-83846	-5960	NOBLES_TOKEN	data/teleporters/town/31275.xml	NATIVE_ENTRY_RETRY	8957
