connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.seed.retry.3b629bef555fd66ce48a34da	IVORY_TOWER	IvoryTower	entry.4849d4769ad9f4dcb06f37bb	generated.farm.c9e3afcc6dac028a689820ed.anchor	85391	16228	-3672	88434	18691	-5288	NORMAL	data/teleporters/town/30177.xml	NATIVE_ENTRY_RETRY	4236
content.seed.retry.a3ffd2eba22e6e01e3ac5735	IVORY_TOWER	IvoryTower	entry.ivory.internal.f6e88eebf32fd703b8287db3	generated.farm.c9e3afcc6dac028a689820ed.anchor	85399	16197	-3674	88434	18691	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30162.xml	NATIVE_ENTRY_RETRY	4247
content.seed.retry.8de6bc5fe9a53435a59b7f6a	IVORY_TOWER	IvoryTower	entry.4849d4769ad9f4dcb06f37bb	generated.farm.1f6e197c43cb1167e0087826.anchor	85391	16228	-3672	81482	15546	-5288	NORMAL	data/teleporters/town/30177.xml	NATIVE_ENTRY_RETRY	4285
content.seed.retry.568cbd4604a0042ddfd9d5a4	IVORY_TOWER	IvoryTower	entry.ivory.internal.f6e88eebf32fd703b8287db3	generated.farm.1f6e197c43cb1167e0087826.anchor	85399	16197	-3674	81482	15546	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30162.xml	NATIVE_ENTRY_RETRY	4287
content.seed.retry.36a70b7dfea8eff89fd90caf	IVORY_TOWER	IvoryTower	entry.ivory.internal.aa3ba348d1bb17808151ace0	generated.farm.d3061c6a2f46433e1f69cd79.anchor	84915	15969	-4289	87682	12715	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30716.xml	NATIVE_ENTRY_RETRY	4387
content.seed.retry.9632c8faeb151621a049cbd0	IVORY_TOWER	IvoryTower	entry.ivory.internal.f6e88eebf32fd703b8287db3	generated.farm.d3061c6a2f46433e1f69cd79.anchor	85399	16197	-3674	87682	12715	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30162.xml	NATIVE_ENTRY_RETRY	4466
content.seed.retry.9323d0d68f67e0fd74c0facf	IVORY_TOWER	IvoryTower	entry.ivory.internal.aa3ba348d1bb17808151ace0	generated.farm.88cebd072cae93586e452691.anchor	84915	15969	-4289	81394	18546	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30716.xml	NATIVE_ENTRY_RETRY	4477
content.seed.retry.a3754a6d7404d0d0cb41ead0	IVORY_TOWER	IvoryTower	entry.4849d4769ad9f4dcb06f37bb	generated.farm.d3061c6a2f46433e1f69cd79.anchor	85391	16228	-3672	87682	12715	-5288	NORMAL	data/teleporters/town/30177.xml	NATIVE_ENTRY_RETRY	4495
content.seed.retry.a26624359a6744c4fd3c571e	IVORY_TOWER	IvoryTower	entry.ivory.internal.aa3ba348d1bb17808151ace0	generated.farm.0edead08b5b94aecca08262b.anchor	84915	15969	-4289	81604	18912	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30716.xml	NATIVE_ENTRY_RETRY	4542
content.seed.retry.9c15812e76c8397a1dc23e80	IVORY_TOWER	IvoryTower	entry.ivory.internal.aa3ba348d1bb17808151ace0	generated.farm.c9e3afcc6dac028a689820ed.anchor	84915	15969	-4289	88434	18691	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30716.xml	NATIVE_ENTRY_RETRY	4560
content.seed.retry.afa6d492864a34e2de63e4ba	IVORY_TOWER	IvoryTower	entry.ivory.internal.f6e88eebf32fd703b8287db3	generated.farm.0f728c2ad864ec9ae5a9273c.anchor	85399	16197	-3674	89695	15767	-5288	NORMAL_INTERNAL	data/teleporters/others/IvoryTower/30162.xml	NATIVE_ENTRY_RETRY	4610
content.seed.retry.16d4da0bb91387bf1488aab4	IVORY_TOWER	IvoryTower	entry.4849d4769ad9f4dcb06f37bb	generated.farm.0f728c2ad864ec9ae5a9273c.anchor	85391	16228	-3672	89695	15767	-5288	NORMAL	data/teleporters/town/30177.xml	NATIVE_ENTRY_RETRY	4621
