connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.bridge.610a7446f3c5a5ece68892ea	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.cd8ac97a02164976d3c5bf31.anchor	generated.farm.802a326016a398cb5b4a5d63.anchor	-20207	-249052	-8160	-19058	-249664	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	1302
content.bridge.0754e721d38a8c475c881ab3	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.cd8ac97a02164976d3c5bf31.anchor	generated.farm.bc7e9784940b3766aa645824.anchor	-20207	-249052	-8160	-18925	-248578	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	1367
content.bridge.db593ab73f182005438fda50	SSQ_CATACOMBS_NECROPOLIS	NecropolisOfSacrifice	generated.farm.16d3eaadb00606cc4275c2d2.anchor	generated.farm.d63bf243e2e507045eaa3c69.anchor	-51868	215828	-5080	-50710	216939	-5080	WALK_PASSAGE	dungeon/31095.xml	COMPONENT_BOUNDARY_BRIDGE	1605
content.bridge.dac6b2a81c06ff64d29701c1	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.aa67af71520e0bd13991a7d9.anchor	generated.farm.bb9940c1a587258ea647b64a.anchor	-17841	-250467	-8160	-16271	-249346	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	1930
content.bridge.bb7addb11ef05b371e1ee1e0	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.aa67af71520e0bd13991a7d9.anchor	generated.farm.7c5628622e705f7eb1738296.anchor	-17841	-250467	-8160	-15599	-250786	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	2265
content.bridge.123496a87d2ea584407fdad0	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.aa67af71520e0bd13991a7d9.anchor	generated.farm.5300571cf1c6ca7f0169b404.anchor	-17841	-250467	-8160	-17102	-248064	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	2515
content.bridge.709b9e97b72b55ddee8484b8	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.cd8ac97a02164976d3c5bf31.anchor	generated.farm.1675ffdf5bad34f9390a592a.anchor	-20207	-249052	-8160	-18924	-246831	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	2565
content.bridge.78f2e93c233a616838757026	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.cd8ac97a02164976d3c5bf31.anchor	generated.farm.05bbbe1f28986b0a9c5cc4d0.anchor	-20207	-249052	-8160	-20218	-246174	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	2879
content.bridge.ec2700aaf7fde3cea60600a1	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.aa67af71520e0bd13991a7d9.anchor	generated.farm.baf7c5bee5495fc82d9614cb.anchor	-17841	-250467	-8160	-14517	-250784	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	3340
content.bridge.f6466e04da2d2d93d2ced063	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	generated.farm.cd8ac97a02164976d3c5bf31.anchor	generated.farm.cfd6914dfd15a4669ea5f063.anchor	-20207	-249052	-8160	-20202	-245084	-8160	WALK_PASSAGE	dungeon/31116.xml	COMPONENT_BOUNDARY_BRIDGE	3969
