connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.seed.retry.346c436a3ce5a14595a7f87c	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.cd8ac97a02164976d3c5bf31.anchor	-20230	-250780	-8168	-20207	-249052	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	1729
content.seed.retry.021ce82c13db7088b71a0329	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.aa67af71520e0bd13991a7d9.anchor	-20230	-250780	-8168	-17841	-250467	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	2410
content.seed.retry.27dbc3dfd4c16fd0a2cf96f7	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.bc7e9784940b3766aa645824.anchor	-20230	-250780	-8168	-18925	-248578	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	2560
content.seed.retry.4e59753cc8e1380f688fde6b	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.5300571cf1c6ca7f0169b404.anchor	-20230	-250780	-8168	-17102	-248064	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	4143
content.seed.retry.206df71c9d18e76854aee1a7	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.1675ffdf5bad34f9390a592a.anchor	-20230	-250780	-8168	-18924	-246831	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	4160
content.seed.retry.39dddd39d4ecf69510226e03	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.bb9940c1a587258ea647b64a.anchor	-20230	-250780	-8168	-16271	-249346	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	4211
content.seed.retry.8564b60172b599274a6da685	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.05bbbe1f28986b0a9c5cc4d0.anchor	-20230	-250780	-8168	-20218	-246174	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	4607
content.seed.retry.60dbdff1009dfc18a72c1e7a	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.7c5628622e705f7eb1738296.anchor	-20230	-250780	-8168	-15599	-250786	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	4632
content.seed.retry.d520c75ff58a9071b1393b7b	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.cfd6914dfd15a4669ea5f063.anchor	-20230	-250780	-8168	-20202	-245084	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	5697
content.seed.retry.bd5d1bcb09c54348cefb6a92	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.baf7c5bee5495fc82d9614cb.anchor	-20230	-250780	-8168	-14517	-250784	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	5714
content.seed.retry.7d0f3c231bab77a27bd7dfc6	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.ad73506392073893cbc58889.anchor	-20230	-250780	-8168	-15595	-246178	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	6532
content.seed.retry.0d91237a4d70d59b93b501bf	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.f03c160b3903294d7d14961a.anchor	-20230	-250780	-8168	-18386	-244353	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	6687
content.seed.retry.25b5fcf83d5f9af6d392801b	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.b54585d5af32ec21e2cfb9dd.anchor	-20230	-250780	-8168	-13873	-247777	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	7031
content.seed.retry.9dc44aaa16f02dc287b731fa	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.ba3a26fad14a005429ac9f91.anchor	-20230	-250780	-8168	-17039	-244346	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	7182
content.seed.retry.531397e8db07a4e574655df6	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.7a578e8eaccc938841ee3582.anchor	-20230	-250780	-8168	-15601	-245092	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	7334
content.seed.retry.04aa13b287a03c748b85766e	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.f703a3d167addf7061dd5813.anchor	-20230	-250780	-8168	-14513	-246175	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	7341
content.seed.retry.5d0a3292f27b70b3457cd965	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.e136e59f166960ab1e3c9fc4.anchor	-20230	-250780	-8168	-12687	-250038	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	7580
content.seed.retry.5612bb659690803b20055c78	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.5aea64959cc3502b4b0d8f42.anchor	-20230	-250780	-8168	-14509	-245091	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	8069
content.seed.retry.19696d3766aec32297847f80	SSQ_CATACOMBS_NECROPOLIS	CatacombOfTheApostate	entry.1694f116250079437832523a	generated.farm.73d7d571c6cd5effdfe4cb1f.anchor	-20230	-250780	-8168	-19572	-242081	-8160	SCRIPT_CONDITIONAL	dungeon/31116.xml	NATIVE_ENTRY_RETRY	8724
