connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.bridge.b09ab76ceabd12dfe5f34f8f	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.a1d013d31102ce30d0fc91cc.anchor	generated.farm.9a32fbd45b777193b3b14810.anchor	113477	16850	928	113499	17170	1944	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1066
content.bridge.4675577cdb9075e4c50ad454	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.ee88100ca74c331deca64694.anchor	generated.farm.29e0f904e6b1dcc9bad64bd5.anchor	114648	13646	5984	114880	14272	6992	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1210
content.bridge.a78ddeed85c4e63adb2f07d1	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.7ab80eb28ebca089ca50c741.anchor	generated.farm.c009026cbd1e5bf534699dd0.anchor	114652	18498	5984	114402	17854	6992	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1223
content.bridge.fba6991f60438b4a99eaae5d	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.7ab80eb28ebca089ca50c741.anchor	generated.farm.e2b6adc79412bda9e5aa245a.anchor	114652	18498	5984	114402	17854	6992	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1223
content.bridge.c6b56fc0ed1b71bc8afa726c	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.a1d013d31102ce30d0fc91cc.anchor	generated.farm.15119b73d21e29db70861bab.anchor	113477	16850	928	113369	16068	1944	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1287
content.bridge.da078aeeddf9975bb89fe8bd	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.21dd5b73d1286b655f16b3d3.anchor	generated.farm.67517b42fff71f659760bc0c.anchor	112930	17774	5984	113525	17182	6992	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1312
content.bridge.e264a920c7242e3b5711e9e5	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.21dd5b73d1286b655f16b3d3.anchor	generated.farm.79fb02dd5bf06a305b386770.anchor	112930	17774	5984	113536	17155	4976	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1330
content.bridge.cea4ca5168d1c1b8b249152d	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.ccf6294d235e42a22c702a85.anchor	generated.farm.6f913b14ecac5fd981c4e5e9.anchor	114665	16494	928	114658	17376	1944	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1346
content.bridge.3fd031df70467f6c2ad35c41	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.654e5d244a01edb4a9da3731.anchor	generated.farm.931ad9adfb27a552120adb4b.anchor	115569	13828	5984	115525	14771	4976	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1382
content.bridge.c1e08bdeee50e7073fae98e2	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.ccf6294d235e42a22c702a85.anchor	generated.farm.22894ed980b07d9ed7524684.anchor	114665	16494	928	115926	15866	928	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1409
content.bridge.b17f2d691310742ad7471b1e	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.7ab80eb28ebca089ca50c741.anchor	generated.farm.c021ca40e4797a812d4cd723.anchor	114652	18498	5984	114630	17463	4976	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1445
content.bridge.7a92b0a0ed870212a3b4bf1c	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.f472d34d58785e2d78e6b082.anchor	generated.farm.d2bc674eb203ec3e045d2948.anchor	112222	16061	5984	113273	16063	4976	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1457
content.bridge.9cfe2e02cffb6fb561de10a3	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.003ce483f1390dd1f2c56598.anchor	generated.farm.6d48dc991277ed445252780a.anchor	115568	13868	928	115803	14964	1944	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1513
content.bridge.7e590947ba6753b5c3f7cb4c	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.654e5d244a01edb4a9da3731.anchor	generated.farm.ef6addf07ea8a98e78d368dd.anchor	115569	13828	5984	115755	14949	6992	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1519
content.bridge.1916d5b922200a3b27d8e2fb	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.f472d34d58785e2d78e6b082.anchor	generated.farm.9443fe7b41f131fadf6c2f3c.anchor	112222	16061	5984	113379	16122	4976	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1536
content.bridge.95f74894394fd1b39bee55ba	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.0342f2ab29359668ef4eb46b.anchor	generated.farm.d0b63b05f9bc023f251bd17a.anchor	114647	16068	-2120	114563	16496	-640	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1543
content.bridge.adf8e42c3bc09be778c7f685	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.67666036b83d7efb25ec1ff2.anchor	generated.farm.ee7127508c6d3d4aa824832a.anchor	115958	14775	-2120	116180	15225	-640	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1563
content.bridge.cdfcc928abc03f2282e18f01	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.0342f2ab29359668ef4eb46b.anchor	generated.farm.f3dac0a8425b271bd215a74f.anchor	114647	16068	-2120	114724	15551	-640	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1570
content.bridge.49e26beccdc0ae3926c21b8c	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.c73ba8b86e19409817d24d33.anchor	generated.farm.ceec90fbef6e18a424096cdf.anchor	115975	17355	-2120	115497	17591	-640	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1574
content.bridge.e4075edc75a0dd96001a63a3	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.67666036b83d7efb25ec1ff2.anchor	generated.farm.1f7aa929a57feededa2de9de.anchor	115958	14775	-2120	115430	14533	-640	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1590
content.bridge.3ab52e6046940bc5a17f7d7e	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.a1d013d31102ce30d0fc91cc.anchor	generated.farm.8e6a36e274c4d89be92e1b2f.anchor	113477	16850	928	113111	16856	-640	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1611
content.bridge.26d4d1dfd42ed6ab935849eb	TOWER_OF_INSOLENCE	TowerOfInsolence	generated.farm.c73ba8b86e19409817d24d33.anchor	generated.farm.ec3250071bcce17be04edec5.anchor	115975	17355	-2120	116405	16862	-640	WALK_PASSAGE	data/teleporters/town/30848.xml	COMPONENT_BOUNDARY_BRIDGE	1619
