connector_id	family	source_family	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	entrance_semantic	entrance_owner	selection	straight_distance
content.seed.retry.c5da6e5f0a7e8a3af8e629cf	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.c7040575e3ecb6dc49e2a9d9	generated.farm.1b9733df6a323cccb89ba0fd.anchor	115384	16820	9000	115628	16025	7992	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	1307
content.seed.retry.cc1f1342c419379d58c49896	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.c7040575e3ecb6dc49e2a9d9	generated.farm.73869e4a8432f00797b9d0ee.anchor	115384	16820	9000	114637	16062	7992	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	1466
content.seed.retry.7724ea0ea55c9ea3c7e95139	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.c7040575e3ecb6dc49e2a9d9	generated.farm.639007d287a2a0d44ffd0b66.anchor	115384	16820	9000	115193	16587	6992	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2031
content.seed.retry.133b116d42cf47e4838505fe	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.c7040575e3ecb6dc49e2a9d9	generated.farm.8e322dae5c6d372f9bad251f.anchor	115384	16820	9000	113632	16109	7992	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2143
content.seed.retry.e4f278161560bf969918177a	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.c7040575e3ecb6dc49e2a9d9	generated.farm.8e0b749a8334003e9d88a0c5.anchor	115384	16820	9000	114647	15064	7992	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2155
content.seed.retry.ffb20227b663a16a625b4fc3	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.e35af686d888a75ee8287664	generated.farm.24f120d6ef183ba4092b6220.anchor	118404	15988	832	116631	16046	-640	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2306
content.seed.retry.dd83526725972daefba80051	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.0d4f4faf0d5c0632e18dfc14	generated.farm.403a97d5d0f4793379684a51.anchor	110848	16154	-2120	112654	16058	-640	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2337
content.seed.retry.b9f113113bb7a3b2066cee79	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.c7040575e3ecb6dc49e2a9d9	generated.farm.c009026cbd1e5bf534699dd0.anchor	115384	16820	9000	114402	17854	6992	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2463
content.seed.retry.eedc6ff076968e6e126290ae	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.c7040575e3ecb6dc49e2a9d9	generated.farm.e2b6adc79412bda9e5aa245a.anchor	115384	16820	9000	114402	17854	6992	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2463
content.seed.retry.4ebd64447e32b25f043b08f6	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.e35af686d888a75ee8287664	generated.farm.22894ed980b07d9ed7524684.anchor	118404	15988	832	115926	15866	928	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2483
content.seed.retry.75afed80e2ce0a5eef583722	TOWER_OF_INSOLENCE	TowerOfInsolence	entry.toi.nobles.48e3482d51febfa5f48f425e	generated.farm.c98d04e9094cb21800b191e5.anchor	118525	16455	5984	116360	17765	5984	NOBLESSE_CONDITIONAL	data/teleporters/town/30848.xml	NATIVE_ENTRY_RETRY	2531
