fact_key	teleporter_npc_id	teleporter_spawn_key	teleporter_spawn_x	teleporter_spawn_y	teleporter_spawn_z	teleporter_instance_id	list_name	teleport_type	destination_index	destination_name	destination_x	destination_y	destination_z	fee_id	fee_count	castle_ids	source_path	spawn_source_path	availability_class	condition_summary
fact.001a5891d6af8031f4ba32bc	35586	spawn.890f0e4aaf755cb0802c673c	88664	-143140	-1327	0	tel2	OTHER	6	Den of Evil	68693	-110438	-1946	57	500		data/teleporters/clanhall/Schuttgart/35586.xml	data/spawns/Others/22_13.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.002412a7469b8221905938c9	30134	spawn.ec84dfd485d64270dab85c56	9670	15537	-4568	0	NOBLES_TOKEN	NOBLES_TOKEN	1	Giran Arena	73579	142709	-3768	13722	1		data/teleporters/town/30134.xml	data/spawns/Others/20_18.xml	NOBLESSE	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse
fact.0049051ccb6d28ca1de8ee83	35222	spawn.e2b7f23fff755e19a864323c	78737	36852	-2544	0	OTHER	OTHER	0		78618	36955	-2562	57	0		data/teleporters/doorman/35222.xml	data/spawns/Castles/Oren.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.004a72b1b01122db534c50e8	35445	spawn.26c851bd7b56e4e54a1080ab	150532	26500	-2248	0	tel2	OTHER	7	Enchanted Valley, Northern Region	104426	33746	-3825	57	500	4;5	data/teleporters/clanhall/Aden/35445.xml	data/spawns/Others/24_18.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.00b4f1a39d80db63c062d624	35400	spawn.225f71006ebb17519e83d824	-79587	151436	-3041	0	tel1	OTHER	0	Village Square	-82445	150788	-3129	57	0		data/teleporters/clanhall/Gludin/35400.xml	data/spawns/Others/17_22.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.00fd71fe13960c8a3243d35d	35505	spawn.ba9dffc31cccb584b4c26c9d	12780	-51060	-1088	0	OTHER	OTHER	1		12858	-50860	-1089	57	0		data/teleporters/doorman/35505.xml	data/spawns/Castles/Rune.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.0142fc32865ccbc3a79b14f3	30576	spawn.0ee92d8baebbdfb84d872803	-45264	-112512	-240	0	NOBLES_ADENA	NOBLES_ADENA	2	Immortal Plateau, Northern Region	-25309	-131569	-680	57	1000		data/teleporters/town/30576.xml	data/spawns/Others/18_14.xml	NOBLESSE	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse
fact.014a72571c565ffae2ef7219	35139	spawn.0a563a03f31870a1a7d06b83	22305	159403	-2694	0	OTHER	OTHER	0		22073	159057	-2725	57	0		data/teleporters/doorman/35139.xml	data/spawns/Castles/Dion.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.01670456f5ad7a88193297bf	30233	spawn.059e5b56c979c574aceb06da	117129	76917	-2689	0	NOBLES_ADENA	NOBLES_ADENA	2	The Center of the Forest of Mirrors	166080	75574	-2992	57	1000		data/teleporters/town/30233.xml	data/spawns/Others/23_20.xml	NOBLESSE	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse
fact.018c89b2b7b6a41bf55dff6b	31119	spawn.9009469aa45dbcb48c7e0457	113552	84544	-6544	0	OTHER	OTHER	0		12521	-248481	-9585	57	0		data/teleporters/dungeon/31119.xml	data/spawns/Others/23_20.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.01cfc9ce6148e7a6929b3e36	35566	spawn.fe4abeeb44898d28325a3af7	39442	-48314	898	0	tel2	OTHER	1	South Gate Entrance	43307	-46563	-816	57	0		data/teleporters/clanhall/Rune/35566.xml	data/spawns/Others/21_16.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.02107c89908f3a360fee2125	30256	spawn.c0fbe411a8ad3f8c4ad97ee4	-12736	122816	-3114	0	NORMAL	NORMAL	8	The Village of Gludin	-80684	149770	-3040	57	7300		data/teleporters/town/30256.xml	data/spawns/Others/19_21.xml	NORMAL	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount
fact.021290faa5e209f8f4c4fdc1	35570	spawn.536b8b380e5672dadbe8c479	38589	-50318	900	0	tel2	OTHER	5	Swamp of Screams	69340	-50203	-3314	57	500		data/teleporters/clanhall/Rune/35570.xml	data/spawns/Others/21_16.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.022565d9b0109c5186d8e2b4	31275	spawn.844ddb7500852ef9c1ed2526	147966	-55228	-2728	0	NOBLES_TOKEN	NOBLES_TOKEN	10	Imperial Tomb	186699	-75915	-2826	13722	1		data/teleporters/town/31275.xml	data/spawns/Others/24_16.xml	NOBLESSE	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse
fact.022ae644a7b357d2087da029	35400	spawn.225f71006ebb17519e83d824	-79587	151436	-3041	0	tel2	OTHER	8	Abandoned Camp	-49853	147089	-2784	57	500		data/teleporters/clanhall/Gludin/35400.xml	data/spawns/Others/17_22.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.023e11fdd65787e37187db9c	35574	spawn.2bd809ab31a9a654e3b3b585	39333	-46964	900	0	tel2	OTHER	5	Swamp of Screams	69340	-50203	-3314	57	500		data/teleporters/clanhall/Rune/35574.xml	data/spawns/Others/21_16.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.024d4e3f23cc7d950d231e2a	36172						tel2	OTHER	7	Tanor Canyon	60374	164301	-2856	57	500		data/teleporters/fortress/Oren/Antharas.xml		BLOCKED_SOURCE	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.028479ca3033adf1ff4c17a0	35509	spawn.5e238560d47b088880a258a0	10211	-49084	-307	0	OTHER	OTHER	7	Monastery of Silence	106414	-87799	-2949	57	500		data/teleporters/chamberlain/35509.xml	data/spawns/Castles/Rune.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.028a7c72a5aacb6e1ba5019f	35421	spawn.32a71cec01cdd84fa8a137c1	177598	-18610	-2238	0	tel1	OTHER	2	West Gate Entrance	142593	26344	-2425	57	0		data/teleporters/clanhall/Aden/35421.xml	data/spawns/Others/25_17.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.02c114b8a9e5205f1435a7ca	32714	spawn.5ec71ae062fb709719b08cec	11504	-23344	-3644	0	OTHER	OTHER	0		43835	-47749	-792	57	50000		data/teleporters/others/32714.xml	data/spawns/Others/20_17.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.02c1793f7be91ee3c1fbc6fe	35142	spawn.c856f94f97d537f5182cb047	22172	160923	-2666	0	OTHER	OTHER	0	Front Of Dion Castle	19888	153395	-3144	57	0		data/teleporters/chamberlain/35142.xml	data/spawns/Castles/Dion.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.030d8de8b306bdad724ce5ac	35584	spawn.e2e5ff02c1d400171ece5c9a	87933	-142144	-1327	0	tel2	OTHER	3	East Gate Entrance	89959	-141034	-1536	57	0		data/teleporters/clanhall/Schuttgart/35584.xml	data/spawns/Others/22_13.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.032a803f9a828d622ddf783a	30719	spawn.5683f129deb90cc30bd5bf16	85336	16194	-2285	0	NORMAL	NORMAL	2	2nd Floor Human Wizard Guild	85399	16197	-2804	57	0		data/teleporters/others/IvoryTower/30719.xml	data/spawns/Others/22_18.xml	NORMAL	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount
fact.045e45d52a4dcd4a8688f87f	35451	spawn.63121d2ce78453f15ff12866	78652	148280	-3580	0	tel2	OTHER	0	Village Square	81749	149171	-3464	57	0		data/teleporters/clanhall/Giran/35451.xml	data/spawns/Others/22_22.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.04b23973d19262519921c568	30256	spawn.c0fbe411a8ad3f8c4ad97ee4	-12736	122816	-3114	0	NORMAL	NORMAL	3	Town of Oren	82971	53207	-1488	57	35000	4	data/teleporters/town/30256.xml	data/spawns/Others/19_21.xml	NORMAL	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount
fact.04d7f27713288fe102d86457	30722	spawn.dae60e19b46faa7ad05dfe0f	85336	16194	-1769	0	NORMAL	NORMAL	0	Underground Shopping Area	84915	15969	-4289	57	0		data/teleporters/others/IvoryTower/30722.xml	data/spawns/Others/22_18.xml	NORMAL	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount
fact.05c63694be4b6ae2e6e64b1a	35459	spawn.86b0d293ddbb17f33befc233	81920	151968	-3520	0	tel2	OTHER	4	West Gate Entrance	77305	148636	-3592	57	0		data/teleporters/clanhall/Giran/35459.xml	data/spawns/Others/22_22.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.05e9fbecdb7354874a6db95c	35658						tel2	OTHER	5	Ruins of Despair	-19359	136846	-3760	57	500		data/teleporters/fortress/Gludio/Shanty.xml		BLOCKED_SOURCE	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.060cbca8dbe723f0c6a80acc	35467	spawn.ac310663c394c7d6add8412b	149024	-55456	-2765	0	tel2	OTHER	8	Hot Springs	144880	-113468	-2560	57	500		data/teleporters/clanhall/Goddard/35467.xml	data/spawns/Others/24_16.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.0617577a6173a65d6c38c156	35400	spawn.225f71006ebb17519e83d824	-79587	151436	-3041	0	tel2	OTHER	5	Windmill Hill	-75437	168800	-3632	57	500		data/teleporters/clanhall/Gludin/35400.xml	data/spawns/Others/17_22.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.061cbba1bcd75d81b5a00c69	35407	spawn.c0b873d134bb3c21062e4c73	19996	146216	-3111	0	tel2	OTHER	4	West Gate Entrance	16582	144130	-2960	57	0		data/teleporters/clanhall/Dion/35407.xml	data/spawns/Others/20_22.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
fact.0632e464c110574ca5e57f9d	35578	spawn.fdab72a0711244aa7ea31905	37808	-45879	900	0	tel1	OTHER	1	South Gate Entrance	43307	-46563	-816	57	0		data/teleporters/clanhall/Rune/35578.xml	data/spawns/Others/21_16.xml	SPECIAL_OR_UNMODELED	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee
