band	rank	coverage_key	source_path	source_zone	npc_level_min	npc_level_max	target_anchor_id	anchor_validation_status	active_anchor	current_reachable	teleporter_npc_id	transition_id	native_destination_name	destination_x	destination_y	destination_z	destination_connector_id	source_anchor_id	source_current_reachable	missing_hub	missing_local_route	closed_or_multifloor	estimated_new_geo_checks	selection_status	selection_reason
52-60	1	079a0cb66fadcb6801c9a79b8835ecaac1a83fbf3bc6ab8235349178d9458431	data/spawns/Aden/Cemetery.xml	aden09_2518_24	55	55	generated.farm.079a0cb66fadcb6801c9a79b.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.6e2b7afc29dd5a42c34d3672		false	1	0	false	2	PREFERRED	FACTUAL_JOIN
52-60	2	0bf24506d0bad253a1bef230e25cf44d68cfad19e707bfafa00566949ef74432	data/spawns/Aden/Cemetery.xml	aden09_2518_29	55	55	generated.farm.0bf24506d0bad253a1bef230.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.1290ee193e18a7c609372b30		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	3	195346187bb8cfab214a682029f8fc6fa168c03f5866bf2921b7f24e80e70ad4	data/spawns/Aden/Cemetery.xml	aden09_2518_22	55	55	generated.farm.195346187bb8cfab214a6820.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.6e2b7afc29dd5a42c34d3672		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	4	48397c0d3e43caec906b5c4e86cf4267bb2ea1c295a65959fe7266e1b4a1437f	data/spawns/Aden/Cemetery.xml	aden09_2518_23	55	55	generated.farm.48397c0d3e43caec906b5c4e.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.6e2b7afc29dd5a42c34d3672		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	5	78e488c84e348a45c43ec98b44cdbab4f27b47ee109c9053bfaecb2a1a5e1c11	data/spawns/Aden/Cemetery.xml	aden09_2518_28	55	55	generated.farm.78e488c84e348a45c43ec98b.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.1290ee193e18a7c609372b30		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	6	8fec35df912b586c4d90ffe63b882643fdfc9ccdb8f44fb83b97a6efcaa1a20a	data/spawns/Aden/Cemetery.xml	aden09_2518_25	55	55	generated.farm.8fec35df912b586c4d90ffe6.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.6e2b7afc29dd5a42c34d3672		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	7	e42bb456a398ee48d7a2ed77210798c38d87b74cc245626a71ab2126ab8d1257	data/spawns/Aden/Cemetery.xml	aden09_2518_27	55	55	generated.farm.e42bb456a398ee48d7a2ed77.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.1290ee193e18a7c609372b30		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	8	ffea4c9c27475f93738571c006c10f60a2eac858be919014061f5f1861419725	data/spawns/Aden/Cemetery.xml	aden09_2518_26	55	55	generated.farm.ffea4c9c27475f93738571c0.anchor	VALID	true	false	30848	transition.62bf0a1a73e3a6289cbda513	Seal of Shilen	184742	19745	-3168	connector.1290ee193e18a7c609372b30		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	9	0daa9a698ee69b94550e62d25d76eae4d9df8da7a14dff71d4af534dbfeb7580	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_12	55	57	generated.farm.0daa9a698ee69b94550e62d2.anchor	VALID	true	false	30848	transition.0b68e8519fa2b1efad9e561b	Fields of Massacre	183543	-14974	-2776	connector.81edd5ec4c23364a1ef2037a		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	10	591067a5298457e013a6dfbd1a45b31bd6afb20a0ac2985481bd81e53044bd94	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_13	55	57	generated.farm.591067a5298457e013a6dfbd.anchor	VALID	true	false	30848	transition.0b68e8519fa2b1efad9e561b	Fields of Massacre	183543	-14974	-2776	connector.81edd5ec4c23364a1ef2037a		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	11	2396e2631ee61e620fb3e6a87dfc8bf166db1518d438a3fc4f2c633e9a4802e9	data/spawns/Oren/OutlawForest.xml	oren31_2217_22	50	54	generated.farm.2396e2631ee61e620fb3e6a8.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	12	78f7aae7bba7a04b467a32bd00bb2648799f91fad36a3e88f227747e1de0d669	data/spawns/Oren/OutlawForest.xml	oren31_2217_24	50	54	generated.farm.78f7aae7bba7a04b467a32bd.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
