start_family	level_band	published_ordinary_farms	topology_only_reachable	normal_gk_reachable	closed_area_factual_reachable	final_reachable	blocker_count	witness_coverage_key	witness_path
dark-elf	1-5	43	3	3	0	3	96	36714f071123eedc9cac6c0520e9b4c9bcf2959e34a6c1e8861d76d6027005f8	population.ingress.dark-elf.01|population.travel.dark-elf.i01->population.route.dark-elf.a1|population.travel.dark-elf.a1-a2->population.route.dark-elf.a2|population.travel.dark-elf.a2-a3->population.route.dark-elf.a3|population.travel.dark-elf.a3-farm->population.farming.dark-elf.20529|generated.route.7b289551494b049c4a895f74.r->generated.farm.36714f071123eedc9cac6c05.anchor
dark-elf	6-10	50	0	0	0	0	149		UNREACHABLE
dark-elf	11-19	57	0	0	0	0	223		UNREACHABLE
dark-elf	20-39	192	0	0	0	0	584		UNREACHABLE
dark-elf	40-51	136	0	0	0	0	563		UNREACHABLE
dark-elf	52-60	52	0	0	0	0	254		UNREACHABLE
dark-elf	61-75	337	0	0	0	0	717		UNREACHABLE
dark-elf	76-80	154	0	0	0	0	376		UNREACHABLE
dark-elf	81-85	36	0	0	0	0	81		UNREACHABLE
dwarf	1-5	43	4	4	0	4	95	38c89747141fb9d2d99ed3f325c90565d1e7de5dc51afe28e21a03175357430f	population.ingress.dwarf.01|bridge.2a7e451e36175b54ee6aae0d->generated.farm.dcbfae7bd58c752ca4f1e7ca.anchor|bridge.e1a849f9e1dc13c6b0376e23->population.route.dwarf.a2|population.travel.dwarf.a2-a3->population.route.dwarf.a3|population.travel.dwarf.a3-a4->population.route.dwarf.a4|population.travel.dwarf.a4-farm->population.farming.dwarf.20533
dwarf	6-10	50	0	0	0	0	149		UNREACHABLE
dwarf	11-19	57	0	7	0	7	216	088e8bc59766f22991a08e5d3c7c53d499e6ed75997691ceabef230793bf46a4	population.ingress.dwarf.01|bridge.2a7e451e36175b54ee6aae0d->generated.farm.dcbfae7bd58c752ca4f1e7ca.anchor|bridge.e1a849f9e1dc13c6b0376e23->population.route.dwarf.a2|population.travel.dwarf.a2-a3->population.route.dwarf.a3|population.travel.dwarf.a3-a4->population.route.dwarf.a4|population.travel.dwarf.a4-farm->population.farming.dwarf.20533|generated.route.4e6554c822ccedad3b0e40d8.f->generated.farm.ea72d768f3c8ec3d79c1a530.anchor|normal-gk:leg.d251a83343348fd8765b6f29->generated.farm.088e8bc59766f22991a08e5d.anchor
