metric	value	evidence
RUINS_OF_DESPAIR_REACHABLE_FARM	1	population.ingress.dwarf.01|generated.farm.b729b4b54a41170f2da2aa85.anchor
GLOBAL_ORDINARY_40-51	5	active_topology_and_normal_catalog
GLOBAL_ORDINARY_52-60	13	active_topology_and_normal_catalog
GLOBAL_ORDINARY_61-75	15	active_topology_and_normal_catalog
GLOBAL_ORDINARY_76-80	3	active_topology_and_normal_catalog
GLOBAL_ORDINARY_81-85	1	active_topology_and_normal_catalog
RUINS_ROUTE_STEP_1	BACKGROUND	bridge.2a7e451e36175b54ee6aae0d|population.ingress.dwarf.01|generated.farm.dcbfae7bd58c752ca4f1e7ca.anchor
RUINS_ROUTE_STEP_2	BACKGROUND	bridge.e1a849f9e1dc13c6b0376e23|generated.farm.dcbfae7bd58c752ca4f1e7ca.anchor|population.route.dwarf.a2
RUINS_ROUTE_STEP_3	BACKGROUND	population.travel.dwarf.a2-a3|population.route.dwarf.a2|population.route.dwarf.a3
RUINS_ROUTE_STEP_4	BACKGROUND	population.travel.dwarf.a3-a4|population.route.dwarf.a3|population.route.dwarf.a4
RUINS_ROUTE_STEP_5	BACKGROUND	population.travel.dwarf.a4-farm|population.route.dwarf.a4|population.farming.dwarf.20533
RUINS_ROUTE_STEP_6	BACKGROUND	generated.route.4e6554c822ccedad3b0e40d8.f|population.farming.dwarf.20533|generated.farm.ea72d768f3c8ec3d79c1a530.anchor
RUINS_ROUTE_STEP_7	NORMAL_GATEKEEPER	leg.221a94ff2e728e2751da9b45|generated.farm.ea72d768f3c8ec3d79c1a530.anchor|generated.route.live002.gludio.arrival.anchor
RUINS_ROUTE_STEP_8	NORMAL_GATEKEEPER	leg.4fc6d82e8c024e29ae3b4e64|generated.route.live002.gludio.arrival.anchor|generated.route.live002.ruins.arrival.anchor
RUINS_ROUTE_STEP_9	BACKGROUND	generated.route.live002.ruins.geo.hop-1|generated.route.live002.ruins.arrival.anchor|generated.route.live002.ruins.geo.8eb6d6a79b1bd7bc.anchor
RUINS_ROUTE_STEP_10	BACKGROUND	generated.route.live002.ruins.geo.hop-2|generated.route.live002.ruins.geo.8eb6d6a79b1bd7bc.anchor|generated.route.live002.ruins.geo.a4cce70d7769f2f2.anchor
RUINS_ROUTE_STEP_11	BACKGROUND	generated.route.live002.ruins.geo.hop-3|generated.route.live002.ruins.geo.a4cce70d7769f2f2.anchor|generated.route.live002.ruins.geo.551b71eff3a0043f.anchor
RUINS_ROUTE_STEP_12	BACKGROUND	generated.route.live002.ruins.geo.hop-4|generated.route.live002.ruins.geo.551b71eff3a0043f.anchor|generated.route.live002.ruins.geo.7c92bb94461fa1d2.anchor
RUINS_ROUTE_STEP_13	BACKGROUND	generated.route.live002.ruins.geo.hop-5|generated.route.live002.ruins.geo.7c92bb94461fa1d2.anchor|generated.route.live002.ruins.geo.73e02075fc2fc16d.anchor
RUINS_ROUTE_STEP_14	BACKGROUND	generated.route.live002.ruins.geo.hop-6|generated.route.live002.ruins.geo.73e02075fc2fc16d.anchor|generated.farm.b729b4b54a41170f2da2aa85.anchor
