archetype	level	status	blocker
human_like	1	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
human_like	20	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
human_like	40	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
human_like	76	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
human_like	85	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
dwarf_spoiler	1	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
dwarf_spoiler	20	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
dwarf_spoiler	40	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
dwarf_spoiler	76	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
dwarf_spoiler	85	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
alternate_non_dwarf	1	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
alternate_non_dwarf	20	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
alternate_non_dwarf	40	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
alternate_non_dwarf	76	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
alternate_non_dwarf	85	NOT_PROVEN	PROGRESSION_ROUTE_BLOCKED
