route_id	from_kind	from_id	to_kind	to_id	candidate_mode	candidate_reason	map_region_loc_id	straight_line_distance	teleporter_source	existing_core_edge_id	validation_status	source_refs
generated.route.00075a4f9efd8275aafe2f13	NODE	generated.farm.24dbed74c96b5fa52da7aa2c	NODE	generated.farm.ec6d47e41ee05a7d53356918	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	926	2312			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfWorship.xml|data/spawns/Innadril/AlligatorIsland.xml
generated.route.0008560e8f942bd7ef49f502	NODE	generated.farm.38c53f8eca6872bcfcd4ae69	NODE	generated.farm.5e3039192ecaa01470a6fec4	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1537	1376			NEEDS_GEODATA	data/spawns/Rune/SwampOfScreams.xml|data/spawns/Rune/SwampOfScreams.xml
generated.route.000bc1a69e4b1b2ec1952c23	NODE	generated.farm.acbe32f79f8e2b9390e8dd6e	NODE	generated.farm.951ca360be86b10a4de3dfd7	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	915	4612			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfDevotion.xml|data/spawns/Catacombs/NecropolisOfDevotion.xml
generated.route.001323452204193addaae076	NODE	generated.farm.4c23e39a46e3f0aa455ab8d7	NODE	generated.farm.b4a5941fc179322a76fb53f6	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	918	2226			NEEDS_GEODATA	data/spawns/Catacombs/CatacombOfTheBranded.xml|data/spawns/Catacombs/CatacombOfTheBranded.xml
generated.route.0019740c79123eac5cb25b21	NODE	generated.farm.00e6dc6ffd09813c59b5a8f3	NODE	generated.farm.6bf88f1fc40b2a15d6780862	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	926	857			NEEDS_GEODATA	data/spawns/Innadril/GardenOfEva.xml|data/spawns/Innadril/GardenOfEva.xml
generated.route.003d8a039dd21a1da520ca77	TELEPORTER_NPC	35467	SOURCE_LOCATION	169018,-116303,-2432	TELEPORT_FACT	OTHER|Entrance to the Forge of the Gods			data/teleporters/clanhall/Goddard/35467.xml		FACTUAL_TELEPORT	data/teleporters/clanhall/Goddard/35467.xml
generated.route.0049738e82e93a98f2031171	NODE	generated.farm.1a7f58bdd1e1c7df481e901d	NODE	generated.farm.b62e1d6c576ce4a236ea18c2	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	924	5876			NEEDS_GEODATA	data/spawns/Aden/WarTornPlains.xml|data/spawns/Aden/WarTornPlains.xml
generated.route.004dfe57deeba42b35b3867e	NODE	generated.farm.88a99d2166a845e449a21e58	NODE	generated.farm.94518b187e35bdf69bc512f8	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	919	1216			NEEDS_GEODATA	data/spawns/Giran/DevilsIsle.xml|data/spawns/Giran/DevilsIsle.xml
generated.route.00552ca7ddce70d28db9234b	NODE	generated.farm.e207afbcb5b12be398890690	NODE	generated.farm.f1a5f241341ac527880c93d4	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	912	0			NEEDS_GEODATA	data/spawns/Gludio/Wasteland.xml|data/spawns/Gludio/Wasteland.xml
generated.route.0065a7478931b77a0017a564	NODE	generated.farm.58fb59f14eb6728f01dd73f2	NODE	generated.farm.ce98dc1f164ecfa022e06045	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	916	675			NEEDS_GEODATA	data/spawns/Dion/ExecutionGrounds.xml|data/spawns/Dion/ExecutionGrounds.xml
generated.route.0066838146dd55f6518a0367	NODE	generated.farm.49e7573536e6587ae1232b7f	NODE	generated.farm.de131090212e39b0028f182d	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	2189	4463			NEEDS_GEODATA	data/spawns/Kamael/IsleOfSouls.xml|data/spawns/Kamael/IsleOfSouls.xml
generated.route.0068fe6c0c703dfda8209709	NODE	generated.farm.898b0a48c7323057909dad73	NODE	generated.farm.90d47b1862fa765d578be3e7	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1537	962			NEEDS_GEODATA	data/spawns/Rune/ValleyOfSaints.xml|data/spawns/Rune/ValleyOfSaints.xml
generated.route.0074ff819b13411d6b2d6f1d	NODE	generated.farm.93232e0ce773f62089fe1979	NODE	generated.farm.cbb08c43cbd1980f90e70af6	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	921	1572			NEEDS_GEODATA	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
generated.route.0081520f5a8a84497cc68c3a	NODE	generated.farm.1065c1efd4b13d6c63db1009	NODE	generated.farm.91fed79eada8708e76d45ad8	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	922	2711			NEEDS_GEODATA	data/spawns/Oren/OutlawForest.xml|data/spawns/Oren/OutlawForest.xml
generated.route.0090274e35bd478a94a125f0	NODE	generated.farm.c108283b09b4139540c4a963	NODE	generated.farm.fe18544aadbfe0ce932e5be5	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1537	3140			NEEDS_GEODATA	data/spawns/Rune/ValleyOfSaints.xml|data/spawns/Rune/ValleyOfSaints.xml
generated.route.0094e41d2fc2dd955082bc20	NODE	generated.farm.2bba27b658ad186ee067d4b1	NODE	generated.farm.b8e223341be05b45a19768c2	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1924	2160			NEEDS_GEODATA	data/spawns/Rune/PrimevalIsle.xml|data/spawns/Rune/PrimevalIsle.xml
generated.route.0098e0b069ff7fedb6ab8d3e	NODE	generated.farm.8479ef4ef6bf91c5436a2c5f	NODE	generated.farm.9da97f9c8e94f89a46c35a68	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	918	1099			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfMartyrdom.xml|data/spawns/Catacombs/NecropolisOfMartyrdom.xml
