record_type	source_path	source_group	coverage_key	classification	status	geometry_kind	nearest_xy	candidate_rank	npc_id	x	y	native_z	geo_height_first	geo_height_second	decision
SOURCE	data/spawns/Others/19_21.xml	19_21	c703d17615e9b7009a93a04c80d1d7440cfd26e8c918d8abeb0eee84cebe943d	NON_FARMING	EXCLUDED	POINT	7438.39								MACHINE_EXCLUDED
SOURCE	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	14334.23								SELECTED_GROUP
SOURCE	data/spawns/Gludio/Wasteland.xml			NOT_APPLICABLE	NOT_LOCAL	NPOLY	32480.06								OUTSIDE_16000_XY
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	14334.23	1	20059	-33152	139744	-4044	-3936	-3936	UNSTABLE_NATIVE_Z
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	14367.47	2	20359	-33223	134072	-3774	-3776	-3776	UNSTABLE_NATIVE_Z
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	14402.27	3	20059	-32899	141007	-3988	-3984	-3984	UNSTABLE_NATIVE_Z
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	14446.13	4	20059	-33539	137701	-3479	-3480	-3480	UNSTABLE_NATIVE_Z
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	14745.25	5	20055	-33734	134853	-3817	-3816	-3816	UNSTABLE_NATIVE_Z
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	14892.94	6	20059	-33984	135888	-3919	-3920	-3920	UNSTABLE_NATIVE_Z
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	15169.15	7	20059	-32944	143061	-3934	-3936	-3936	UNSTABLE_NATIVE_Z
POINT	data/spawns/Others/18_22.xml	18_22	b729b4b54a41170f2da2aa85307ff726b04e894296e26e9d3d85be8899dbd4f3	ORDINARY_WORLD	READY_STATIC	POINT	15263.26	8	20050	-34298	135205	-3905	-3904	-3904	UNSTABLE_NATIVE_Z
