connector_id	connector_kind	from_type	from_id	to_type	to_id	instance_id	from_x	from_y	from_z	to_x	to_y	to_z	map_region_from	map_region_to	straight_distance	validation_status	path_length	path_segments	source_refs	reason
connector.2ace2f10fc2c3e4fd31b9ffa	DEST_TO_ANCHOR	DEST	dest.163f0aea44efeffae77fffed	ANCHOR	generated.route.live002.goddard.arrival.anchor	0	148024	-55281	-2728	148024	-55281	-2728			0	VALID_IDENTITY	0	0	data/teleporters/town/31964.xml	CANONICAL_IDENTITY
connector.464bafca0f5aa41450ff5cd8	DEST_TO_ANCHOR	DEST	dest.c9e9b20688dd8d9f20c21335	ANCHOR	generated.route.live002.gludio.arrival.anchor	0	-12787	122779	-3112	-12787	122779	-3112			0	VALID_IDENTITY	0	0	data/teleporters/town/31964.xml	CANONICAL_IDENTITY
connector.73bea2de1609f40ad6b3230e	DEST_TO_ANCHOR	DEST	dest.4ef0e443abec483110ff147f	ANCHOR	generated.route.schuttgart.40.arrival.anchor	0	87126	-143520	-1288	87126	-143520	-1288			0	VALID_IDENTITY	0	0	data/teleporters/town/30540.xml	CANONICAL_IDENTITY
connector.91d9a5db8370f0d7210a1a39	ANCHOR_TO_GK	ANCHOR	generated.route.live002.aden.arrival.anchor	GK	spawn.5374d10b1c24ca1d9b7abce3	0	146783	25808	-2008	146737	25807	-2013			47	VALID_DIRECT	47	1	data/spawns/Others/24_18.xml|data/teleporters/town/31964.xml	GEOENGINE_PROVEN
connector.92ca2c480990a8b06fa07d82	ANCHOR_TO_GK	ANCHOR	generated.route.schuttgart.40.arrival.anchor	GK	spawn.3f94b4ec9d3dbb2e1b66b6de	0	87126	-143520	-1288	87048	-143448	-1293			107	VALID_DIRECT	107	1	data/teleporters/town/30540.xml|data/spawns/Others/22_13.xml	GEOENGINE_PROVEN
connector.b203ec5e1dbcb6a32894021a	DEST_TO_ANCHOR	DEST	dest.2413c81a656c8275e4550c56	ANCHOR	generated.farm.7617d478280b73549ec67bfd.anchor	0	87448	61460	-3664	84902	60870	-3440			2624	VALID_PATH	3010	11	data/spawns/Oren/SelMahums.xml|data/teleporters/town/30177.xml	GEOENGINE_PROVEN
connector.b94558df6e604de3d6db84f4	DEST_TO_ANCHOR	DEST	dest.c5d301d1d1f003289b7f1a7d	ANCHOR	entry.ada5e6ad46b3b68ab18e2aee.anchor	0	43408	206881	-3752	43408	206881	-3752			0	VALID_IDENTITY	0	0	data/teleporters/town/30080.xml	CANONICAL_IDENTITY
connector.bf45a17ef877597afe2fda34	DEST_TO_ANCHOR	DEST	dest.25e5971a4db1bc705e78b0a5	ANCHOR	generated.route.live002.ruins.arrival.anchor	0	-19120	136816	-3752	-19120	136816	-3752			0	VALID_IDENTITY	0	0	data/teleporters/town/30256.xml	CANONICAL_IDENTITY
connector.cdb449bb916990be338baf43	ANCHOR_TO_GK	ANCHOR	generated.route.live002.oren.arrival.anchor	GK	spawn.8118b73cdef3dcf4862abdaa	0	82971	53207	-1488	82992	53171	-1492			42	VALID_DIRECT	42	1	data/spawns/Others/22_19.xml|data/teleporters/town/31964.xml	GEOENGINE_PROVEN
connector.d1ccf14ddb80ed35a2873e11	ANCHOR_TO_GK	ANCHOR	generated.route.live002.goddard.arrival.anchor	GK	spawn.844ddb7500852ef9c1ed2526	0	148024	-55281	-2728	147966	-55228	-2728			79	VALID_DIRECT	79	1	data/spawns/Others/24_16.xml|data/teleporters/town/31964.xml	GEOENGINE_PROVEN
connector.dbf0b3408ba94c55e01a2808	DEST_TO_ANCHOR	DEST	dest.6984ec0ae1183d6b746fcfbf	ANCHOR	generated.route.live002.aden.arrival.anchor	0	146783	25808	-2008	146783	25808	-2008			0	VALID_IDENTITY	0	0	data/teleporters/town/31964.xml	CANONICAL_IDENTITY
connector.fa889d1f58f842263bee2cf3	ANCHOR_TO_GK	ANCHOR	generated.route.live002.gludio.arrival.anchor	GK	spawn.c0fbe411a8ad3f8c4ad97ee4	0	-12787	122779	-3112	-12736	122816	-3114			64	VALID_DIRECT	64	1	data/spawns/Others/19_21.xml|data/teleporters/town/31964.xml	GEOENGINE_PROVEN
connector.fc03819da053131d8bf78952	DEST_TO_ANCHOR	DEST	dest.27eb3b47617b2db73b423713	ANCHOR	generated.route.live002.oren.arrival.anchor	0	82971	53207	-1488	82971	53207	-1488			0	VALID_IDENTITY	0	0	data/teleporters/town/31964.xml	CANONICAL_IDENTITY
