connector_id	connector_kind	from_type	from_id	to_type	to_id	instance_id	from_x	from_y	from_z	to_x	to_y	to_z	map_region_from	map_region_to	straight_distance	validation_status	path_length	path_segments	source_refs	reason
connector.002098efc35e426f72b5e9da	ANCHOR_TO_DEST	ANCHOR	generated.farm.58fb59f14eb6728f01dd73f2.anchor	DEST	dest.a93a05bb8dc5f577fcad0b87	0	46781	145524	-3680	42514	143917	-5385	916	916	4868	NO_PATH	0	0	data/spawns/Dion/ExecutionGrounds.xml|data/teleporters/dungeon/31120.xml	NO_PATH
connector.00226606de048483f108c773	ANCHOR_TO_DEST	ANCHOR	generated.farm.f0514c14d379407f1823f1e7.anchor	DEST	dest.bf858e6767aedc4b3744d67b	0	151576	-62206	-3232	150561	-57489	-2976	1538	1538	4832	NO_PATH	0	0	data/spawns/Goddard/GardenOfBeasts.xml|data/teleporters/clanhall/Goddard/35461.xml	NO_PATH
connector.005ee6bb882d1160109e495e	ANCHOR_TO_DEST	ANCHOR	generated.farm.9325a61d37584f81c64ce8a6.anchor	DEST	dest.c198460adf168f69d59928b8	0	155053	-10779	-4160	155310	-16339	-3320	924	924	5629	NO_PATH	0	0	data/spawns/Aden/BlazingSwamp.xml|data/teleporters/clanhall/Aden/35439.xml	NO_PATH
connector.0074f529e8dfe97f03891206	DEST_TO_ANCHOR	DEST	dest.676f59b862d33902959c4f11	ANCHOR	generated.farm.115e665f5c027e4ca2fb1b2d.anchor	0	11235	-24026	-3640	6184	-21181	-3432	1924	1924	5801	NO_PATH	0	0	data/teleporters/town/31320.xml|data/spawns/Rune/PrimevalIsle.xml	NO_PATH
connector.0076f61022ea2946d7660531	DEST_TO_ANCHOR	DEST	dest.ac389c02ab4f56bc2f4d3487	ANCHOR	generated.farm.21c8e0a71fc1a30fb94fd849.anchor	0	64328	26803	-3768	57402	30692	-3768	922	922	7944	NO_PATH	0	0	data/teleporters/town/30177.xml|data/spawns/Oren/SeaOfSpores.xml	NO_PATH
connector.00d0628b85e55cd51c92a0d3	ANCHOR_TO_GK	ANCHOR	generated.farm.475038779aaee6a2e82aa06b.anchor	GK	spawn.adbf2ddde00443bc89450f43	0	175552	-186630	-1280	178884	-184227	-336	921	921	4216	PATH_SEGMENT_BLOCKED	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/Others/25_12.xml	PATH_SEGMENT_BLOCKED
connector.00d9031298638ff5de0b4e12	DEST_TO_ANCHOR	DEST	dest.fab7b56737a57f4e742112eb	ANCHOR	generated.farm.4cc36c1a22a101feee890b27.anchor	0	65307	-71445	-3696	67087	-72136	-3824	1537	1537	1914	VALID_DIRECT	1914	1	data/teleporters/clanhall/Rune/35576.xml|data/spawns/Rune/ValleyOfSaints.xml	GEOENGINE_PROVEN
connector.00e427e2bc5fab851ffb7609	DEST_TO_ANCHOR	DEST	dest.99c640dbaf880872599d4081	ANCHOR	generated.farm.10cd601a791fee9db8ebd1df.anchor	0	-9959	176184	-4160	-14434	177008	-5304	912	912	4692	NO_PATH	0	0	data/teleporters/clanhall/Gludio/35386.xml|data/spawns/Gludio/Wasteland.xml	NO_PATH
connector.014fa8831a57a1b084218a36	ANCHOR_TO_DEST	ANCHOR	generated.farm.6a87fbbb6822f42a7b78be7d.anchor	DEST	dest.45565ac66d6cf494a00dc6e5	0	81540	-44675	-3232	89513	-44800	-2136	1537	1537	8049	NO_PATH	0	0	data/spawns/Rune/SwampOfScreams.xml|data/teleporters/town/31320.xml	NO_PATH
connector.01932c8980e283f3d9a00dac	DEST_TO_ANCHOR	DEST	dest.97e884732d1831265eceeb3b	ANCHOR	population.farming.orc.20535	0	-44836	-112524	-235	-49106	-115854	-160	920	920	5416	NO_PATH	0	0	data/teleporters/town/32163.xml|data/spawns/OrcTerritory/OrcStarting.xml	NO_PATH
connector.01e23ac08d1c607dfb0357f2	GK_TO_ANCHOR	GK	spawn.5ec71ae062fb709719b08cec	ANCHOR	generated.farm.cd306da76ff484653e1f8b63.anchor	0	11504	-23344	-3644	4679	-19352	-3616	1924	1924	7907	NO_PATH	0	0	data/spawns/Others/20_17.xml|data/spawns/Rune/PrimevalIsle.xml	NO_PATH
connector.0207198c958ca242eb7e5601	DEST_TO_ANCHOR	DEST	dest.137141ac05b457adc3dbb8d1	ANCHOR	generated.farm.f0514c14d379407f1823f1e7.anchor	0	146990	-67128	-3640	151576	-62206	-3232	1538	1538	6740	NO_PATH	0	0	data/teleporters/clanhall/Goddard/35467.xml|data/spawns/Goddard/GardenOfBeasts.xml	NO_PATH
connector.02368e13a8221bc1ba49b49f	DEST_TO_ANCHOR	DEST	dest.a11b765b1fdfbe59148d95d8	ANCHOR	generated.farm.e72c2c1fdf7715981415fcdb.anchor	0	-45158	-112583	-240	-49543	-110784	-240	920	920	4740	NO_PATH	0	0	data/teleporters/town/30320.xml|data/spawns/OrcTerritory/OrcStarting.xml	NO_PATH
connector.023d5049ed46ba07fa9e0a7e	ANCHOR_TO_DEST	ANCHOR	population.farming.human-mystic.20481	DEST	dest.f2250fc66d2e1e4512042557	0	-86478	251343	-3600	-84318	244579	-3730	910	910	7102	NO_PATH	0	0	data/spawns/TalkingIsland/TalkingIslandMonsters.xml|data/teleporters/town/32163.xml	NO_PATH
connector.02424629abf2675ad70ae707	DEST_TO_ANCHOR	DEST	dest.9637163d36bdf4ac9032ff74	ANCHOR	generated.farm.c9688432b997ec0243ec1b3f.anchor	0	147458	2408	219	148203	-1884	-4592	924	924	6491	NO_PATH	0	0	data/teleporters/doorman/35271.xml|data/spawns/Aden/BlazingSwamp.xml	NO_PATH
connector.025527539e1c64e7dfef95f4	ANCHOR_TO_DEST	ANCHOR	generated.farm.6bce7187cbe16e4accd6425c.anchor	DEST	dest.c198460adf168f69d59928b8	0	154819	-21497	-1608	155310	-16339	-3320	924	924	5457	NO_PATH	0	0	data/spawns/Aden/BlazingSwamp.xml|data/teleporters/clanhall/Aden/35439.xml	NO_PATH
connector.02582852e842a9a12d5b0060	GK_TO_ANCHOR	GK	spawn.79dc0be68e2c487320847dde	ANCHOR	generated.farm.5603e92e1fee2a50869a1471.anchor	0	191391	57074	-7616	185546	58931	-7232	924	924	6145	NO_PATH	0	0	data/spawns/Others/25_19.xml|data/spawns/Aden/GiantsCave.xml	NO_PATH
connector.027966081631db0b750a7732	DEST_TO_ANCHOR	DEST	dest.1b10b6e3a3cf02df43ce107b	ANCHOR	generated.farm.00e6dc6ffd09813c59b5a8f3.anchor	0	78721	253309	-9840	79871	255930	-9848	926	926	2863	PATH_SEGMENT_BLOCKED	0	0	data/teleporters/town/30899.xml|data/spawns/Innadril/GardenOfEva.xml	PATH_SEGMENT_BLOCKED
connector.02f03ec9fb57aef22fd4e2b6	DEST_TO_ANCHOR	DEST	dest.b3ded18bbb6e7117c0af9e78	ANCHOR	generated.farm.876a7287c4ce725f1e7eb176.anchor	0	84092	-80084	-3504	79660	-78562	-4040	1537	1537	4717	NO_PATH	0	0	data/teleporters/town/31320.xml|data/spawns/Rune/ValleyOfSaints.xml	NO_PATH
connector.037338d50cfd6ced3622fb39	DEST_TO_ANCHOR	DEST	dest.6a1ddd6bd7f4610f50be2cf8	ANCHOR	generated.farm.8a7bb9fc5fe46b8eedb998ea.anchor	0	144866	-57464	-2976	143516	-61360	-3152	1538	1538	4128	NO_PATH	0	0	data/teleporters/clanhall/Goddard/35461.xml|data/spawns/Goddard/GardenOfBeasts.xml	NO_PATH
connector.037b444062921c9c6c5b4ec6	ANCHOR_TO_DEST	ANCHOR	generated.farm.721be9c9f82200fe629be486.anchor	DEST	dest.18657e72d3afd42f45908db0	0	148815	-63396	-3160	153460	-70055	-3312	1538	1538	8121	NO_PATH	0	0	data/spawns/Goddard/GardenOfBeasts.xml|data/teleporters/chamberlain/35363.xml	NO_PATH
connector.03a154821275282ecb852e80	ANCHOR_TO_DEST	ANCHOR	population.route.human-mystic.b2	DEST	dest.1336b2e6b9a96915db9adc85	0	-89240	249912	-3568	-84141	244623	-3728	910	910	7349	NO_PATH	0	0	data/stats/players/templates/StartingClass/HumanMystic.xml|data/spawns/TalkingIsland/TalkingIslandMonsters.xml|data/teleporters/town/30134.xml	NO_PATH
connector.03a7c883863c3afc6fb56b5c	GK_TO_ANCHOR	GK	spawn.ee82a6e3aa92a4ff7f32794c	ANCHOR	population.route.human-mystic.a1	0	-84108	244604	-3728	-89304	249848	-3568	910	910	7385	NO_PATH	0	0	data/spawns/Others/17_25.xml|data/stats/players/templates/StartingClass/HumanMystic.xml|data/spawns/TalkingIsland/TalkingIslandMonsters.xml	NO_PATH
