start_family	start_anchor_ids	level_band	published_farming_groups	walk_only_reachable	normal_gk_reachable	remaining_unreachable	distinct_gk_transitions	disconnected_components	witness_farm_coverage_key	witness_path
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	1-5	43	2	2	41	0	24	36714f071123eedc9cac6c0520e9b4c9bcf2959e34a6c1e8861d76d6027005f8	population.ingress.dark-elf.01|population.travel.dark-elf.i01->population.route.dark-elf.a1|population.travel.dark-elf.a1-a2->population.route.dark-elf.a2|population.travel.dark-elf.a2-a3->population.route.dark-elf.a3|population.travel.dark-elf.a3-farm->population.farming.dark-elf.20529|generated.route.7b289551494b049c4a895f74.r->generated.farm.36714f071123eedc9cac6c05.anchor
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	6-10	50	0	0	50	0	31		UNREACHABLE
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	11-19	57	0	0	57	0	30		UNREACHABLE
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	20-39	192	0	0	192	0	83		UNREACHABLE
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	40-51	136	0	0	136	0	73		UNREACHABLE
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	52-60	52	0	0	52	0	20		UNREACHABLE
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	61-75	337	0	0	337	0	100		UNREACHABLE
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	76-80	154	0	0	154	0	86		UNREACHABLE
dark-elf	population.ingress.dark-elf.01|population.ingress.dark-elf.02|population.ingress.dark-elf.03|population.ingress.dark-elf.04|population.ingress.dark-elf.05|population.ingress.dark-elf.06	81-85	36	0	0	36	0	28		UNREACHABLE
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	1-5	43	3	3	40	0	24	38c89747141fb9d2d99ed3f325c90565d1e7de5dc51afe28e21a03175357430f	population.ingress.dwarf.01|population.travel.dwarf.i01->population.route.dwarf.a1|population.travel.dwarf.a1-a2->population.route.dwarf.a2|population.travel.dwarf.a2-a3->population.route.dwarf.a3|population.travel.dwarf.a3-a4->population.route.dwarf.a4|population.travel.dwarf.a4-farm->population.farming.dwarf.20533
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	6-10	50	0	0	50	0	31		UNREACHABLE
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	11-19	57	0	6	51	1	30	088e8bc59766f22991a08e5d3c7c53d499e6ed75997691ceabef230793bf46a4	population.ingress.dwarf.01|population.travel.dwarf.i01->population.route.dwarf.a1|population.travel.dwarf.a1-a2->population.route.dwarf.a2|population.travel.dwarf.a2-a3->population.route.dwarf.a3|population.travel.dwarf.a3-a4->population.route.dwarf.a4|population.travel.dwarf.a4-farm->population.farming.dwarf.20533|generated.route.4e6554c822ccedad3b0e40d8.f->generated.farm.ea72d768f3c8ec3d79c1a530.anchor|connector:connector.b0c14ba43d9b0dcc750959ab->spawn.cd48f4a126ad9fb6d9a60ca2|gk:transition.e4b886ff65a767c9d77f3d3f[npc=30540,feeId=57,feeCount=970,type=NORMAL]->dest.c22f3e4ebc26119cb4e14b22|connector:connector.7e6e29d68eef267f072df2f2->generated.farm.088e8bc59766f22991a08e5d.anchor
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	20-39	192	0	4	188	1	83	475038779aaee6a2e82aa06bb07020267f709faa0fe11c99ccc8ece14784ee34	population.ingress.dwarf.01|population.travel.dwarf.i01->population.route.dwarf.a1|population.travel.dwarf.a1-a2->population.route.dwarf.a2|population.travel.dwarf.a2-a3->population.route.dwarf.a3|population.travel.dwarf.a3-a4->population.route.dwarf.a4|population.travel.dwarf.a4-farm->population.farming.dwarf.20533|generated.route.4e6554c822ccedad3b0e40d8.f->generated.farm.ea72d768f3c8ec3d79c1a530.anchor|connector:connector.b0c14ba43d9b0dcc750959ab->spawn.cd48f4a126ad9fb6d9a60ca2|gk:transition.e904d3aed33a9cecd852c15c[npc=30540,feeId=57,feeCount=12000,type=NORMAL]->dest.5a41f45cf22daa12bbd6a4c0|connector:connector.3182520a63d2e193cfb5cbc1->generated.farm.475038779aaee6a2e82aa06b.anchor
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	40-51	136	0	0	136	0	73		UNREACHABLE
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	52-60	52	0	0	52	0	20		UNREACHABLE
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	61-75	337	0	0	337	0	100		UNREACHABLE
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	76-80	154	0	0	154	0	86		UNREACHABLE
dwarf	population.ingress.dwarf.01|population.ingress.dwarf.02|population.ingress.dwarf.03|population.ingress.dwarf.04|population.ingress.dwarf.05|population.ingress.dwarf.06	81-85	36	0	0	36	0	28		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	1-5	43	4	4	39	0	24	428b85922009e44829ae2db0963039941b357ff6f590cf206b566039b4a790aa	population.ingress.elf.01|population.travel.elf.i01->population.farming.elf.20534|generated.route.9409df7aec7f97dc8919f37c.r->generated.farm.428b85922009e44829ae2db0.anchor
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	6-10	50	0	0	50	0	31		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	11-19	57	0	0	57	0	30		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	20-39	192	0	0	192	0	83		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	40-51	136	0	0	136	0	73		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	52-60	52	0	0	52	0	20		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	61-75	337	0	0	337	0	100		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	76-80	154	0	0	154	0	86		UNREACHABLE
elf	population.ingress.elf.01|population.ingress.elf.02|population.ingress.elf.03|population.ingress.elf.04|population.ingress.elf.05|population.ingress.elf.06	81-85	36	0	0	36	0	28		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	1-5	43	0	0	43	0	25		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	6-10	50	0	0	50	0	31		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	11-19	57	0	0	57	0	30		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	20-39	192	0	0	192	0	83		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	40-51	136	0	0	136	0	73		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	52-60	52	0	0	52	0	20		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	61-75	337	0	0	337	0	100		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	76-80	154	0	0	154	0	86		UNREACHABLE
human-fighter	population.ingress.human-fighter.01|population.ingress.human-fighter.02|population.ingress.human-fighter.03|population.ingress.human-fighter.04	81-85	36	0	0	36	0	28		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	1-5	43	3	3	40	0	24	9cd080b5cf6e407d198d7dc55abaf69d8f7736c9af52efdfd2e89337905f9fa9	population.ingress.human-mystic.01|population.travel.human-mystic.i01->population.route.human-mystic.a1|population.travel.human-mystic.a1-a2->population.route.human-mystic.a2|population.travel.human-mystic.a2-c1->population.route.human-mystic.c1|population.travel.human-mystic.c1-guard->population.route.human-mystic.guard.30733|population.travel.human-mystic.guard-farm->population.farming.human-mystic.20481|generated.route.1dea4dbb58100577e50de433.r->generated.farm.9cd080b5cf6e407d198d7dc5.anchor
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	6-10	50	0	0	50	0	31		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	11-19	57	0	0	57	0	30		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	20-39	192	0	0	192	0	83		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	40-51	136	0	0	136	0	73		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	52-60	52	0	0	52	0	20		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	61-75	337	0	0	337	0	100		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	76-80	154	0	0	154	0	86		UNREACHABLE
human-mystic	population.ingress.human-mystic.01|population.ingress.human-mystic.02|population.ingress.human-mystic.03|population.ingress.human-mystic.04	81-85	36	0	0	36	0	28		UNREACHABLE
kamael	population.ingress.kamael.01|population.ingress.kamael.02|population.ingress.kamael.03|population.ingress.kamael.04|population.ingress.kamael.05|population.ingress.kamael.06	1-5	43	0	0	43	0	25		UNREACHABLE
kamael	population.ingress.kamael.01|population.ingress.kamael.02|population.ingress.kamael.03|population.ingress.kamael.04|population.ingress.kamael.05|population.ingress.kamael.06	6-10	50	0	0	50	0	31		UNREACHABLE
kamael	population.ingress.kamael.01|population.ingress.kamael.02|population.ingress.kamael.03|population.ingress.kamael.04|population.ingress.kamael.05|population.ingress.kamael.06	11-19	57	0	0	57	0	30		UNREACHABLE
kamael	population.ingress.kamael.01|population.ingress.kamael.02|population.ingress.kamael.03|population.ingress.kamael.04|population.ingress.kamael.05|population.ingress.kamael.06	20-39	192	0	0	192	0	83		UNREACHABLE
kamael	population.ingress.kamael.01|population.ingress.kamael.02|population.ingress.kamael.03|population.ingress.kamael.04|population.ingress.kamael.05|population.ingress.kamael.06	40-51	136	0	0	136	0	73		UNREACHABLE
kamael	population.ingress.kamael.01|population.ingress.kamael.02|population.ingress.kamael.03|population.ingress.kamael.04|population.ingress.kamael.05|population.ingress.kamael.06	52-60	52	0	0	52	0	20		UNREACHABLE
kamael	population.ingress.kamael.01|population.ingress.kamael.02|population.ingress.kamael.03|population.ingress.kamael.04|population.ingress.kamael.05|population.ingress.kamael.06	61-75	337	0	0	337	0	100		UNREACHABLE
