transition_id	from_gk_fact_key	to_destination_fact_key	teleporter_npc_id	teleport_type	destination_name	fee_id	fee_count	condition_summary	source_path	transition_status	reason
transition.0015980df4d4d5880590fd2f	spawn.d18a9ba08e5427b0fcccb4f0	dest.0078633d4fd88238ef4fcba7	35359	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/doorman/35359.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.005a7a8f16682472b932ecbe	spawn.06384715e69ff99fb3fa7140	dest.f9f1121082c37fde97b25c86	35455	OTHER	Tanor Canyon	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35455.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.00d9569be838b5844e3ced5c			32648	OTHER		57	10000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/32648.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.00e41f80ad0c1b28bfa555de	spawn.d74c52e771072d3a8bd200eb	dest.b8772d5c93e41bb5ca508266	30899	NOBLES_TOKEN	Field of Whispers (Eastern Section)	13722	1	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/30899.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.012726715b481b5e132b61d6	spawn.844ddb7500852ef9c1ed2526	dest.b4e915ca986cbd3d6d092b51	31275	NOBLES_TOKEN	Coliseum	13722	1	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/31275.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.0154a4e187861fff1102c83c	spawn.bd6e9b7fa656f1e550ded751	dest.c109f018f56e30d5971c5075	35457	OTHER	North Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35457.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.015cb84248d5629d3ea67787	spawn.86b0d293ddbb17f33befc233	dest.bc15f24e05184431bde3e1fc	35459	OTHER	West Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35459.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.01cdcaf2ecf82b95341353e8	spawn.ec84dfd485d64270dab85c56	dest.b4e915ca986cbd3d6d092b51	30134	NOBLES_ADENA	Coliseum	57	1000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/30134.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.01d439bc20687d8ad95b8747	spawn.c0fbe411a8ad3f8c4ad97ee4	dest.8421465378395625a7e75642	30256	NOBLES_ADENA	Giran Arena	57	1000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/30256.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.01d657abcca6528a5298f7bf	spawn.978f8bbec92e2b221b7df148	dest.f772b45734db6306f47c4abb	31320	NORMAL	Forest of the Dead	57	1200	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/31320.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.01dd4a0d734e126f2a36bda2	spawn.5245a8bff7bf62ea12f57a77	dest.45f640de9623657709e98cef	31124	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/dungeon/31124.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.01e55ac360165fdfaf23e7b5			36034	OTHER	Plains of Dion	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Gludio/Floran.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.022e659b92e2a87974f5cf9d			50009	OTHER	Field of Silence	57	12000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/50009.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.0275a95619a05568c1736639	spawn.f3a49ab4f7a73dfdea27ae5e	dest.6a1ddd6bd7f4610f50be2cf8	35463	OTHER	West Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Goddard/35463.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.02a9b69df3777303110f5a0a	spawn.bd6e9b7fa656f1e550ded751	dest.c109f018f56e30d5971c5075	35457	OTHER	North Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35457.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.02bd1ff8f7cfa134d0d3d3a8			50009	OTHER	The Town of Giran	57	6800	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/50009.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.02c199cc804a5158e2184ff2	spawn.f0ba279972b0a0e2735de661	dest.11bff8b2ece8b4161284f063	35640	OTHER	Village Square	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Rune/35640.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.02f0ad0995a001267348f724	spawn.844ddb7500852ef9c1ed2526	dest.75c9d3fb9a76edd9c2a47378	31275	NORMAL	The Town of Giran	57	63000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/31275.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.02f2f987dc49a42a85823377	spawn.c0fbe411a8ad3f8c4ad97ee4	dest.c7c9b1504d442b76034e5a91	30256	NOBLES_ADENA	Evil Hunting Grounds	57	1000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/30256.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.038bcad938ba3fcdad8d9f66	spawn.10d329274cbfb087ea2db790	dest.c5b83c9fbef62a1041c22fe6	35441	OTHER	Seal of Shilen	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35441.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.03b52a61ba56d5ba38fe219a	spawn.8118b73cdef3dcf4862abdaa	dest.1e879a713772907ce9c92b95	30177	NORMAL	Outlaw Forest	57	5200	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/30177.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.03cc31bc0481b105500caef3	spawn.1da8428eb5966f18dbfbfba7	dest.2e7ba1cb1976a08cb0160b54	35447	OTHER	North Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35447.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.03d921b2e1a7ca763f167622	spawn.83721c9bc3233206a7157ff8	dest.e3d8a60886c4bb38f939f735	35449	OTHER	East Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35449.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.03dbf94e17f587a434f6097a	spawn.72674b369efdce9a88b4e0a4	dest.ce9044856481d4bc1a457219	35545	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/doorman/35545.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.03e004def6fc6d9af7f1c840	spawn.8118b73cdef3dcf4862abdaa	dest.8421465378395625a7e75642	30177	NOBLES_ADENA	Giran Arena	57	1000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/30177.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.03fd977447a23d0a9db0e415	spawn.c0fbe411a8ad3f8c4ad97ee4	dest.99c640dbaf880872599d4081	30256	NORMAL	The Ant Nest	57	2100	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/30256.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.041b4da54538cb7d3411ac5e	spawn.5374d10b1c24ca1d9b7abce3	dest.146863fc3b3ccafb9b7d7701	30848	NOBLES_TOKEN	Tower of Insolence, 3rd Floor	13722	1	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/30848.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.041e89d9dfb4918064381d20	spawn.e10830aef1c1222837ff89f1	dest.d668b665b9a70dd52f15f257	35388	OTHER	West Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Gludio/35388.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0478c6afc604b9ff5faae72e			50009	OTHER	Obelisk of Victory	57	470	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/50009.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.04cd331c330ae4a61edaa422	spawn.dae60e19b46faa7ad05dfe0f	dest.ef4cff8c6bebebaa33e23980	30722	NORMAL	2nd Floor Human Wizard Guild	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/others/IvoryTower/30722.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.04f8d8214a4d678e4054ff27	spawn.ac310663c394c7d6add8412b	dest.137141ac05b457adc3dbb8d1	35467	OTHER	Ketra Orc Outpost	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Goddard/35467.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
