connector_id	component_id	search_radius	candidate_rank	direction	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	from_instance	to_instance	validation_status	path_length	path_segments	source_refs
bridge.00247e60e2ef5e20ac2e2945	component.79ad21df45b89fa5bb86a4fd	32768	4	F	generated.farm.428b85922009e44829ae2db0.anchor	generated.farm.5dc8ced237dc324aa37b6530.anchor	46131	41458	-3504	51605	70249	-3408	0	0	NO_PATH	0	0	data/spawns/Others/Gremlins.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.005803f2e3789958a3dd7f2c	component.8d68f8cb1139a2f78ddfa119	8192	1	F	generated.farm.1e2d5a3becf8fd2f9e656d54.anchor	generated.farm.9fff903ecebe650521e4e71e.anchor	128484	-211404	-3408	121681	-213476	-3680	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.00a6620ed0f6acd655127829	component.c435207dcf8b2ede40edd139	16384	1	F	generated.farm.c4067c834f12b99e976909a2.anchor	elven.farming.oren04-2019-21	26607	63533	-3552	12638	59980	-3440	0	0	VALID_DIRECT	14415	1	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.00da323c16accfaa642ddbba	component.7e4161a95ce7d75a795e5571	8192	2	F	population.farming.elf.20534	generated.farm.7451e61fe8e94f49afb1f9e2.anchor	44126	42751	-3488	39050	41882	-3592	0	0	VALID_DIRECT	5151	1	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.010e430bef96ee0a60cd54aa	component.18c9e4ee0311769668b2eb74	8192	2	F	population.ingress.kamael.04	generated.farm.74718a641fa7e78154fea892.anchor	-125464	37776	1176	-125620	37399	1176	0	0	VALID_DIRECT	409	1	data/stats/players/templates/StartingClass/KamaelMaleSoldier.xml|data/stats/players/templates/StartingClass/KamaelFemaleSoldier.xml|data/spawns/Others/Gremlins.xml
bridge.0136c704ecfe2f6c3fd2ffec	component.8d68f8cb1139a2f78ddfa119	8192	1	R	generated.farm.9fff903ecebe650521e4e71e.anchor	generated.farm.1e2d5a3becf8fd2f9e656d54.anchor	121681	-213476	-3680	128484	-211404	-3408	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.015503fb9a64537fb4476fda	component.d1bd433314f456b9fe85fbdf	32768	2	F	population.route.orc.a4	generated.farm.0d7c07144eea5c608cf6c8cf.anchor	-50077	-115763	-160	-25035	-119836	-1968	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/OrcTerritory/OrcStarting.xml|data/spawns/OrcTerritory/OrcStarting.xml
bridge.01aa746b3e9a0f660ddc8306	component.58fa7816fe6f000be807e01c	8192	7	R	generated.farm.f66a8a0231b2d83dac29cc4d.anchor	population.ingress.dark-elf.03	24496	9206	-3584	28377	10916	-4232	0	0	NO_PATH	0	0	data/spawns/DarkElfTerritory/DarkElfStarting.xml|data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml
bridge.01b19566ef6537ddf58bc65d	component.a15eac19b29dbd838fc4cf11	32768	9	F	population.ingress.dwarf.05	generated.farm.a4122c4a8bed91d0e6a70bc3.anchor	108549	-174075	-408	107302	-145184	-3656	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/DwarvenFighter.xml|data/spawns/Others/PlunderousPlains.xml
bridge.022437a47e9c20fc82f66260	component.1331db1a6d957945bfb43b8d	8192	5	F	population.ingress.elf.02	generated.farm.9d9291cb563275968a77e851.anchor	46117	41247	-3504	47907	37504	-3544	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
