coverage_key	source_path	source_group	classification	status	reason	instance_id	condition_summary	npc_ids	npc_types	npc_level_min	npc_level_max	attackable_npc_count	targetable_npc_count	configured_amount	respawn_summary	geometry_kind	geometry_fingerprint	sample_x	sample_y	sample_z	map_region	zone_refs	topology_candidate	source_sha256
001430d39e5d91b4bc4520d1ce07359f79edaaa0ed6b835b9f646fd199a5296b	data/spawns/ElvenTerritory/ElvenStarting.xml	oren04_2019_08	ORDINARY_WORLD	READY_STATIC	native_static_facts	0		20013|20019|20472	Monster	12	14	3	3	13	20013:15:0|20019:15:0|20472:15:0	NPOLY	2d110fa43f24f238fb0e6eb6f3b18b29f2a53fbdaa6a9e630abe7ad8be70cb40	19556	45892		elf_town	oren04_2019_08	true	ca7e3ef59f7acfe0706858248550fbe8326908041adbbc0a560fefdd0a104014
003346fcfc2aedc0dd4033c478c2ca70ecd0842ebc826fc1de59f0c9b05c87ec	data/spawns/Others/TreasureBoxes.xml	godard28_tb2316_04	NON_FARMING	EXCLUDED	native_npc_type_or_flags	0		18284|21820	Chest	78	78	2	2	2	18284:7200:0|21820:180:0	NPOLY	fa6e8663b66c0bcfbb8b521f9c9c6366e087ff3c4a273a6e2e1ad3fda402f047	126128	-39936		godard_town	godard28_tb2316_04		da32a9fde6d6327c206deed4cfcf4438d7ec28438f34f6e7d67ddd54ba7479c7
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	data/spawns/Aden/TowerOfInsolence.xml	aden37_2318_05	ORDINARY_WORLD	READY_STATIC	native_static_facts	0		20824|20825|21061	Monster	67	69	3	3	3	20824:190:60|20825:190:60|21061:190:60	NPOLY	cce989307c58533efe5eabc3b4f745b379765f1eb7ab92b5b247651a6a6dc87c	115292	13272		aden_town	aden37_2318_05	true	58b553878ea2aadaed697b62cbdb69a71edee41a5104ca10bb71fd252284f05e
004bf9b0681c8a71c852b23187e8672ae8348909b155a1eba70b23a4e034529e	data/spawns/Goddard/GardenOfBeasts.xml	godard04_2416_83	ORDINARY_WORLD	READY_STATIC	native_static_facts	0		21287|21292	Monster	70	71	2	2	2	21287:40:10|21292:40:10	NPOLY	a6078402a73f8b0181cbc8312280635d31f017ab8c0b12d2e64f7b017c9c021f	135338	-48781		godard_town	godard04_2416_83	true	c0ac6bcf468a1abb61fd2fc15d6d79192162bd720efc725054723fae609a2d1c
005ac2d26aeb83943a51576d14ef4622f7ec93a5c1bb5b2780b6ac86c17ff431	data/spawns/Others/TreasureBoxes.xml	aden03_tb2417_93	NON_FARMING	EXCLUDED	native_npc_type_or_flags	0		18282|21818	Chest	72	72	2	2	2	18282:90:0|21818:90:0	NPOLY	62ad2ad905c7c46f2b7581c4e6faa2d91ffcae38ac02bf95891037282da85a55	139428	-2660		aden_town	aden03_tb2417_93		da32a9fde6d6327c206deed4cfcf4438d7ec28438f34f6e7d67ddd54ba7479c7
006d6ec9615a257883a89e61c0c083c7f5c2b5efce821bf507459964675a4719	data/spawns/Castles/Gludio.xml	GludioCastle	NON_FARMING	EXCLUDED	native_npc_type_or_flags	0		35063|35095|35096|35097|35098|35099|35100|35101|35102|35104|35648|36403	Artefact|CastleDoorman|Folk|Merchant|Warehouse	20	75	1	14	14	35063:60:0|35095:60:0|35096:10800:0|35096:10800:0|35097:10800:0|35097:10800:0|35098:60:0|35099:60:0|35100:60:0|35101:60:0|35102:60:0|35104:60:0|35648:60:0|36403:60:0	POINT	0fb77fc5e91b2bb329a31bd6b97c3d640a4ade3726ab002ff2cbde0b8e8fddc0	-18113	107972	-2480	gludio_castle_town			adcaeea50a6d9dfd875ac0214641b018a0fb452f0437ffeb782a7a355377f176
007050947db80bb33f6da5413c4687dc1986d402cbcbf213991aa408a07c7087	data/spawns/Oren/OutlawForest.xml	oren31_2217_15	ORDINARY_WORLD	READY_STATIC	native_static_facts	0		20161|20241|20573|20574|21261	Monster	50	53	5	5	8	20161:41:5|20241:41:5|20573:41:5|20574:41:5|21261:41:5	NPOLY	9a498a4404b53244272293fb5c8a0cc25403576b927c1cc348b77af26036bbb3	85596	-7840		oren_castle_town	oren31_2217_15	true	456075b93a3d569c91f5e52225e20c8e1870e4bb6f666b81be2de5e6cb556803
007f9057c1ee101b364fff575b64ba8bb3817d44223c54f6a2dac1dcdd34446e	data/spawns/Goddard/GardenOfBeasts.xml	godard04_2416_13	ORDINARY_WORLD	READY_STATIC	native_static_facts	0		21274|21276	Monster	67	67	2	2	2	21274:40:10|21276:40:10	NPOLY	d0709c7e6e61ba4e3717c60fe6cc1cf3af017fca156ba39c5162cb98433d24c6	155518	-49861		godard_town	godard04_2416_13	true	c0ac6bcf468a1abb61fd2fc15d6d79192162bd720efc725054723fae609a2d1c
00895e404b31f67da0a7dbfc58189561395869195ad1b2d29a3cc50971fefc81	data/spawns/Hunters/EnchantedValley.xml	aden08_2319_15	ORDINARY_WORLD	READY_STATIC	native_static_facts	0		20592|20593	Monster	48	49	2	2	3	20592:80:15|20593:80:15	NPOLY	2dd293a9ee6d5d0cb998f5ccb07753dce965b4b56dff42bbc87f4775c1acf08b	109992	57248		hunter_town	aden08_2319_15	true	0811fb185580dad49db84799ef9a8a3330ec22154530f20f500e8deffad54949
0099e8f2c4db6f0f940081b653f718a820ccb7811c68980c512f276a262b8739	data/spawns/Others/TreasureBoxes.xml	aden36_tb2318_06	NON_FARMING	EXCLUDED	native_npc_type_or_flags	0		18279|21815	Chest	63	63	2	2	2	18279:390:0|21815:390:0	NPOLY	85a91aa0bdbe87fc1f9e8bd54e8828e7d2f534495a95924fea7af8e22a341c0a	115788	16344		aden_town	aden36_tb2318_06		da32a9fde6d6327c206deed4cfcf4438d7ec28438f34f6e7d67ddd54ba7479c7
