coverage_key	association_status	topology_ownership	existing_node_id	existing_anchor_id	map_region_loc_id	map_region_source	zone_ids	zone_names	teleporter_ids	teleporter_labels	nearest_landmark_id	nearest_landmark_label	nearest_landmark_distance	association_reason	source_refs
001430d39e5d91b4bc4520d1ce07359f79edaaa0ed6b835b9f646fd199a5296b	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			914	data/mapregion/elf_town.xml		fishing_place_27|oren_2019_001	50009	Elven Forest	50009@21362,51122,-3688	Elven Forest	5533	source_geometry_no_validated_anchor;map_cell=20,19;landmark_proximity_only	data/mapregion/elf_town.xml|data/spawns/ElvenTerritory/ElvenStarting.xml|data/teleporters/others/50009.xml|data/zones/fishing.xml|data/zones/tax.xml
003ce483f1390dd1f2c565980b102a4765c8263bc583596c4fcf793eb2b85ae1	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			924	data/mapregion/aden_town.xml	70051	Tower_of_Insolence|aden_2318_001|baium_no_restart|boss_area_baium|no_bookmark_baium_no_restart	30848	Tower of Insolence, 7th Floor	30848@115064,12181,2960	Tower of Insolence, 7th Floor	1115	source_geometry_no_validated_anchor;map_cell=23,18;landmark_proximity_only	data/mapregion/aden_town.xml|data/spawns/Aden/TowerOfInsolence.xml|data/teleporters/town/30848.xml|data/zones/no_bookmark.xml|data/zones/no_landing.xml|data/zones/no_restart.xml|data/zones/no_summon_friend.xml|data/zones/tax.xml
004bf9b0681c8a71c852b23187e8672ae8348909b155a1eba70b23a4e034529e	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			1538	data/mapregion/godard_town.xml		godard_2416_001	35357		35357@145514,-48241,-2383		10190	source_geometry_no_validated_anchor;map_cell=24,16;landmark_proximity_only	data/mapregion/godard_town.xml|data/spawns/Goddard/GardenOfBeasts.xml|data/teleporters/doorman/35357.xml|data/zones/tax.xml
007050947db80bb33f6da5413c4687dc1986d402cbcbf213991aa408a07c7087	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			922	data/mapregion/oren_castle_town.xml		oren_2217_001	50009	Outlaw Forest	50009@91539,-12204,-2440	Outlaw Forest	7373	source_geometry_no_validated_anchor;map_cell=22,17;landmark_proximity_only	data/mapregion/oren_castle_town.xml|data/spawns/Oren/OutlawForest.xml|data/teleporters/others/50009.xml|data/zones/tax.xml
007f9057c1ee101b364fff575b64ba8bb3817d44223c54f6a2dac1dcdd34446e	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			1538	data/mapregion/godard_town.xml		godard_2416_001	35363	Front Of Goddard Castle	35363@153996,-50182,-2992	Front Of Goddard Castle	1555	source_geometry_no_validated_anchor;map_cell=24,16;landmark_proximity_only	data/mapregion/godard_town.xml|data/spawns/Goddard/GardenOfBeasts.xml|data/teleporters/chamberlain/35363.xml|data/zones/tax.xml
00895e404b31f67da0a7dbfc58189561395869195ad1b2d29a3cc50971fefc81	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			923	data/mapregion/hunter_town.xml		aden_2319_001	30233	The Center of the Enchanted Valley	30233@114674,44150,-3376	The Center of the Enchanted Valley	13910	source_geometry_no_validated_anchor;map_cell=23,19;landmark_proximity_only	data/mapregion/hunter_town.xml|data/spawns/Hunters/EnchantedValley.xml|data/teleporters/town/30233.xml|data/zones/tax.xml
00e29a534fa1355275206452eff844735262b6f485acf6df4197b520e6a119a0	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			1537	data/mapregion/rune_town.xml		rune_2215_001	31320	The Center of the Valley of Saints	31320@84092,-80084,-3504	The Center of the Valley of Saints	6478	source_geometry_no_validated_anchor;map_cell=22,15;landmark_proximity_only	data/mapregion/rune_town.xml|data/spawns/Rune/ValleyOfSaints.xml|data/teleporters/town/31320.xml|data/zones/tax.xml
00e6dc6ffd09813c59b5a8f31fc960bf6b82266038f691468f02c532ed938a06	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			926	data/mapregion/heiness_town.xml		fishing_place_17|innadrile_2225_001	30899	Garden of Eva - 4th Level	30899@78721,253309,-9840	Garden of Eva - 4th Level	3917	source_geometry_no_validated_anchor;map_cell=22,25;landmark_proximity_only	data/mapregion/heiness_town.xml|data/spawns/Innadril/GardenOfEva.xml|data/teleporters/town/30899.xml|data/zones/fishing.xml|data/zones/tax.xml
00f509a79fc457d7db58304825615a3ffa482cc4ec5c45fecd99a890450dce00	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			917	data/mapregion/floran_town.xml		dion_2023_001|fishing_place_25	35727	Fortress North Gate	35727@15383,186025,-2920	Fortress North Gate	4202	source_geometry_no_validated_anchor;map_cell=20,23;landmark_proximity_only	data/mapregion/floran_town.xml|data/spawns/Dion/BeeHive.xml|data/teleporters/fortress/Dion/Hive.xml|data/zones/fishing.xml|data/zones/tax.xml
01135f3ab432f7e089e90637f72a04055cc73e1007f9d93249ec9e5263b217f3	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			2259	data/mapregion/fantasy_island.xml		cratae_no_restart2|crataer_battle2|crate02_17_15|no_bookmark_17_15_cratae_a_001|no_bookmark_17_15_cratae_b_001|no_bookmark_17_15_cratae_c_001|no_bookmark_17_15_cratae_d_001|no_bookmark_17_15_cratae_e_001|no_bookmark_17_15_cratae_f_001|no_bookmark_cratae_no_restart3|no_bookmark_crataer_battle2	32378		32378@-70293,-71029,-1416		22252	source_geometry_no_validated_anchor;map_cell=17,15;landmark_proximity_only	data/mapregion/fantasy_island.xml|data/spawns/Others/KrateisCube.xml|data/teleporters/others/32378.xml|data/zones/krateis_cube.xml|data/zones/no_bookmark.xml|data/zones/respawn.xml
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			924	data/mapregion/aden_town.xml		Tower_of_Insolence|aden_2318_001	30848	Tower of Insolence, 3rd Floor	30848@110848,16154,-2120	Tower of Insolence, 3rd Floor	2169	source_geometry_no_validated_anchor;map_cell=23,18;landmark_proximity_only	data/mapregion/aden_town.xml|data/spawns/Aden/TowerOfInsolence.xml|data/teleporters/town/30848.xml|data/zones/no_landing.xml|data/zones/tax.xml
01203bc2e2ad59b93d25df5f867e45f23cd0f8d1927b9b83b0914cc44b48149d	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			924	data/mapregion/aden_town.xml		aden_2418_001	35268		35268@145616,4614,-436		8600	source_geometry_no_validated_anchor;map_cell=24,18;landmark_proximity_only	data/mapregion/aden_town.xml|data/spawns/Aden/PlainsOfGlory.xml|data/teleporters/doorman/35268.xml|data/zones/tax.xml
012d1742560608518b1a98f7cbf76624e0119940b6ea6b32694ff47aaf269eb2	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			921	data/mapregion/dwarf_town.xml		fishing_place_16|schuttgart_2511_001	50009	Eastern Mining Zone (Northeastern Shore)	50009@169008,-208272,-3504	Eastern Mining Zone (Northeastern Shore)	10262	source_geometry_no_validated_anchor;map_cell=25,11;landmark_proximity_only	data/mapregion/dwarf_town.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/teleporters/others/50009.xml|data/zones/fishing.xml|data/zones/tax.xml
01357667cd5a6320db41d60ad32941bd4d21c4b2be49d908334f99a40a011975	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			1538	data/mapregion/godard_town.xml		godard_2415_001	31275	The Center of the Hot Springs	31275@144625,-101291,-3384	The Center of the Hot Springs	9832	source_geometry_no_validated_anchor;map_cell=24,15;landmark_proximity_only	data/mapregion/godard_town.xml|data/spawns/Goddard/KetraOrcOutpost.xml|data/teleporters/town/31275.xml|data/zones/tax.xml
013f818c1372afc740e3cbc25d246ffd8e7904b115d7417f3bcce88c3ff2c407	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			921	data/mapregion/dwarf_town.xml		fishing_place_16|schuttgart_2512_001	32648		32648@178591,-184615,360		12145	source_geometry_no_validated_anchor;map_cell=25,12;landmark_proximity_only	data/mapregion/dwarf_town.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/teleporters/others/32648.xml|data/zones/fishing.xml|data/zones/tax.xml
0166b0c815eb95495933e8064f03bfbe4c3f9c1e64b72c20a3618a891146d6cc	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			918	data/mapregion/giran_castle_town.xml		giran_2322_001	30080	Gorgon Flower Garden	30080@113553,134813,-3540	Gorgon Flower Garden	10953	source_geometry_no_validated_anchor;map_cell=23,22;landmark_proximity_only	data/mapregion/giran_castle_town.xml|data/spawns/Giran/GorgonFlowerGarden.xml|data/teleporters/town/30080.xml|data/zones/tax.xml
017944854622d1db80e602d2052599eec7750a5472e482f38998e87b4bc0d16e	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			914	data/mapregion/elf_town.xml		fishing_place_27|oren_2019_001	50009	Elven Forest	50009@21362,51122,-3688	Elven Forest	15541	source_geometry_no_validated_anchor;map_cell=20,19;landmark_proximity_only	data/mapregion/elf_town.xml|data/spawns/ElvenTerritory/ElvenStarting.xml|data/teleporters/others/50009.xml|data/zones/fishing.xml|data/zones/tax.xml
0183a335ec46ecc2ae17870c7d7280215b5f2eddfb8e06fac2af95a219c4a790	SOURCE_ASSOCIATED	GENERATED_CANDIDATE			1538	data/mapregion/godard_town.xml		godard_2516_001	31275	The Center of the Wall of Argos	31275@183140,-53307,-1896	The Center of the Wall of Argos	11091	source_geometry_no_validated_anchor;map_cell=25,16;landmark_proximity_only	data/mapregion/godard_town.xml|data/spawns/Goddard/WallOfArgos.xml|data/teleporters/town/31275.xml|data/zones/tax.xml
