time	minute	gamePid	loginPid	gameCpuSeconds	gameWorkingSetBytes	gameThreads	heapUsedM	heapMaxM	heapPercent	dbConnections	managed	linked	distinctNames	distinctAccounts	duplicateNames	duplicateAccounts	fatalMarkers
2026-09-26T20:06:58+03:00	0	17964	22380	190,44	4611969024	166	3606	4096	88,04	13	2668	2668	2668	2668	0	0	0
2026-09-26T20:07:55+03:00	1	17964	22380	208,27	4618690560	164	3604	4096	87,99	14	2727	2725	2725	2725	0	0	0
2026-09-26T20:08:52+03:00	2	17964	22380	228,39	4621701120	162	3400	4096	83,01	15	3043	3041	3041	3041	0	0	0
2026-09-26T20:09:48+03:00	3	17964	22380	246	4616552448	162	3844	4096	93,85	15	3410	3408	3408	3408	0	0	0
2026-09-26T20:10:45+03:00	4	17964	22380	262,33	4623441920	162	3666	4096	89,5	15	3624	3622	3622	3622	0	0	0
2026-09-26T20:11:42+03:00	5	17964	22380	276,8	4626358272	163	3644	4096	88,96	14	3756	3754	3754	3754	0	0	0
2026-09-26T20:12:38+03:00	6	17964	22380	292,58	4628692992	163	3566	4096	87,06	14	4106	4104	4104	4104	0	0	0
2026-09-26T20:13:35+03:00	7	17964	22380	307,92	4627640320	163	3478	4096	84,91	13	4264	4262	4262	4262	0	0	0
2026-09-26T20:14:32+03:00	8	17964	22380	324,78	4630937600	160	3500	4096	85,45	13	4515	4513	4513	4513	0	0	0
2026-09-26T20:15:28+03:00	9	17964	22380	343,28	4600225792	161	3334	4096	81,4	15	4677	4675	4675	4675	0	0	0
2026-09-26T20:16:25+03:00	10	17964	22380	358,7	4618342400	162	3776	4096	92,19	13	4895	4893	4893	4893	0	0	0
2026-09-26T20:17:21+03:00	11	17964	22380	372,22	4590804992	162	3680	4096	89,84	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:17:39+03:00	100	17964	22380	376,38	4590817280	162	3306	4096	80,71	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:18:36+03:00	101	17964	22380	389,47	4591357952	161	3690	4096	90,09	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:19:33+03:00	102	17964	22380	401,89	4598976512	161	3780	4096	92,29	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:20:29+03:00	103	17964	22380	413,81	4599083008	160	3598	4096	87,84	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:21:26+03:00	104	17964	22380	425,67	4599132160	160	3568	4096	87,11	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:22:22+03:00	105	17964	22380	439,28	4581896192	160	3372	4096	82,32	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:23:19+03:00	106	17964	22380	451,84	4581978112	160	3564	4096	87,01	14	5000	5000	5000	5000	0	0	0
2026-09-26T20:24:16+03:00	107	17964	22380	462,97	4582035456	160	3548	4096	86,62	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:25:12+03:00	108	17964	22380	475,55	4582141952	162	3792	4096	92,58	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:26:09+03:00	109	17964	22380	485,81	4582051840	160	3576	4096	87,3	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:27:05+03:00	110	17964	22380	497,5	4576006144	160	3826	4096	93,41	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:28:02+03:00	111	17964	22380	512,19	4587712512	160	3740	4096	91,31	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:28:59+03:00	112	17964	22380	523,88	4587745280	160	3512	4096	85,74	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:29:55+03:00	113	17964	22380	535,34	4589260800	160	3768	4096	91,99	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:30:52+03:00	114	17964	22380	547	4589264896	160	3322	4096	81,1	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:31:48+03:00	115	17964	22380	559,06	4590350336	161	3416	4096	83,4	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:32:23+03:00	116	17964	22380	565,98	4590301184	160	3730	4096	91,06	13	5000	5000	5000	5000	0	0	0
2026-09-26T20:32:24+03:00	117	17964	22380	566,39	4590301184	160	3314	4096	80,91	13	5000	5000	5000	5000	0	0	0
