time	minute	gamePid	loginPid	gameCpuSeconds	gameWorkingSetBytes	gameThreads	heapUsedM	heapMaxM	heapPercent	dbConnections	managed	linked	distinctNames	distinctAccounts	duplicateNames	duplicateAccounts	fatalMarkers	backgroundState	backgroundCatchup	ecology	ready	unfinished
2026-09-26T20:52:25+03:00	0	24844	14096	166,2	4624822272	164	3592	4096	87,7	14	5000	5000	5000	5000	0	0	0	4978	4978	5000	5000	0
2026-09-26T20:52:48+03:00	0	24844	14096	174,3	4627042304	164	3692	4096	90,14	14	5000	5000	5000	5000	0	0	0	4978	4978	5000	5000	0
2026-09-26T20:53:45+03:00	1	24844	14096	190,36	4622045184	162	3568	4096	87,11	14	5156	5154	5154	5154	0	0	0	4978	4978	5157	5156	0
2026-09-26T20:54:42+03:00	2	24844	14096	208,81	4623376384	162	3436	4096	83,89	14	5403	5401	5401	5401	0	0	0	4978	4978	5403	5401	2
2026-09-26T20:55:39+03:00	3	24844	14096	225,66	4624171008	162	3362	4096	82,08	14	5489	5487	5487	5487	0	0	0	4983	4983	5489	5488	1
2026-09-26T20:56:36+03:00	4	24844	14096	243,23	4625502208	162	3554	4096	86,77	13	5814	5812	5812	5812	0	0	0	5361	5361	5814	5813	1
2026-09-26T20:57:33+03:00	5	24844	14096	264,17	4634771456	162	3458	4096	84,42	13	5873	5871	5871	5871	0	0	0	5424	5424	5874	5872	1
2026-09-26T20:58:29+03:00	6	24844	14096	279,69	4635799552	162	3556	4096	86,82	13	6062	6060	6060	6060	0	0	0	5678	5679	6062	6060	2
2026-09-26T20:59:26+03:00	7	24844	14096	296,33	4633792512	162	3600	4096	87,89	13	6179	6177	6177	6177	0	0	0	5815	5815	6179	6177	2
2026-09-26T21:00:23+03:00	8	24844	14096	313,08	4633817088	160	3748	4096	91,5	14	6202	6200	6200	6200	0	0	0	5860	5860	6203	6202	0
